DepSM	T090C	Sal00	Sigma-t00	FlSP	WetStar	SeaTurbMtr	SvCM	Sbeox0PS	Sbeox0Mg/L	TimeJ	Sbeox0ML/L	PrDM
0.112	10.2919	25.4634	19.4733	8.4249e-01	0.1237	0.011	1479.33	102.687	9.7873	113.405000	6.8486	0.113
0.114	10.2915	25.4630	19.4730	9.0354e-01	0.1237	0.011	1479.33	102.626	9.7817	113.405000	6.8446	0.115
0.125	10.2912	25.4689	19.4776	9.4017e-01	0.1224	0.007	1479.33	102.620	9.7808	113.405001	6.8440	0.126
0.137	10.2908	25.4744	19.4820	9.4017e-01	0.1249	0.011	1479.34	102.615	9.7800	113.405001	6.8435	0.138
0.148	10.2901	25.4756	19.4829	9.5238e-01	0.1249	0.011	1479.34	102.609	9.7796	113.405002	6.8432	0.149
0.137	10.2901	25.4822	19.4881	9.6459e-01	0.1237	0.007	1479.35	102.543	9.7729	113.405002	6.8385	0.138
0.149	10.2917	25.4843	19.4895	9.6459e-01	0.1237	0.011	1479.35	102.532	9.7713	113.405003	6.8374	0.151
0.159	10.2927	25.4825	19.4880	9.6459e-01	0.1237	0.011	1479.36	102.522	9.7702	113.405003	6.8366	0.161
0.149	10.2938	25.4909	19.4943	9.7680e-01	0.1237	0.011	1479.37	102.511	9.7685	113.405004	6.8354	0.151
0.185	10.2954	25.4943	19.4967	9.6459e-01	0.1237	0.015	1479.38	102.502	9.7671	113.405004	6.8344	0.187
0.172	10.2969	25.4917	19.4945	1.0012e+00	0.1237	0.011	1479.38	102.432	9.7603	113.405005	6.8297	0.174
0.183	10.2982	25.4969	19.4983	9.7680e-01	0.1237	0.007	1479.39	102.418	9.7583	113.405005	6.8283	0.185
0.185	10.2992	25.4997	19.5003	9.4017e-01	0.1237	0.011	1479.40	102.404	9.7566	113.405006	6.8271	0.187
0.185	10.2993	25.5012	19.5015	9.6459e-01	0.1237	0.011	1479.40	102.391	9.7552	113.405006	6.8261	0.187
0.185	10.2993	25.5103	19.5086	1.3675e+00	0.1224	0.011	1479.41	102.379	9.7535	113.405007	6.8249	0.187
0.195	10.2984	25.5193	19.5157	1.3553e+00	0.1237	0.011	1479.42	102.368	9.7520	113.405007	6.8239	0.197
0.196	10.2980	25.5257	19.5207	1.1722e+00	0.1237	0.011	1479.43	102.297	9.7449	113.405008	6.8189	0.198
0.185	10.2978	25.5397	19.5316	1.0256e+00	0.1237	0.011	1479.44	102.280	9.7426	113.405008	6.8173	0.187
0.196	10.3012	25.5475	19.5372	9.7680e-01	0.1237	0.015	1479.47	102.266	9.7400	113.405009	6.8155	0.198
0.219	10.3025	25.5526	19.5410	8.7912e-01	0.1237	0.011	1479.48	102.252	9.7381	113.405009	6.8141	0.221
0.256	10.2991	25.5648	19.5509	8.7912e-01	0.1224	0.011	1479.48	102.240	9.7369	113.405010	6.8133	0.259
0.245	10.2963	25.5748	19.5592	9.4017e-01	0.1249	0.011	1479.48	102.168	9.7300	113.405010	6.8085	0.247
