DepSM	T090C	Sal00	Sigma-t00	FlSP	WetStar	SeaTurbMtr	SvCM	Sbeox0PS	Sbeox0Mg/L	TimeJ	Sbeox0ML/L	PrDM
0.145	15.3796	18.7558	13.4165	3.1380e+00	0.1249	0.015	1489.09	69.931	6.2372	140.544931	4.3645	0.147
0.145	15.3922	18.7492	13.4089	3.1013e+00	0.1261	0.015	1489.13	70.286	6.2676	140.544931	4.3857	0.147
0.144	15.4011	18.7358	13.3970	3.1013e+00	0.1249	0.015	1489.14	70.729	6.3064	140.544932	4.4129	0.145
0.145	15.4014	18.7246	13.3884	3.0769e+00	0.1261	0.015	1489.13	71.205	6.3492	140.544932	4.4428	0.147
0.134	15.4018	18.7162	13.3819	3.0403e+00	0.1261	0.015	1489.12	71.711	6.3947	140.544932	4.4746	0.135
0.134	15.3927	18.7115	13.3800	3.0037e+00	0.1261	0.015	1489.08	72.247	6.4438	140.544933	4.5090	0.135
0.133	15.3860	18.7023	13.3742	2.9548e+00	0.1261	0.015	1489.05	72.811	6.4954	140.544933	4.5451	0.134
0.134	15.3822	18.6916	13.3669	2.9548e+00	0.1261	0.011	1489.03	73.461	6.5544	140.544934	4.5864	0.135
0.121	15.3825	18.6741	13.3533	2.9548e+00	0.1261	0.015	1489.01	74.023	6.6052	140.544934	4.6219	0.122
0.121	15.3844	18.6539	13.3375	2.9548e+00	0.1261	0.015	1488.99	74.663	6.6628	140.544935	4.6622	0.122
0.133	15.3833	18.6495	13.3344	2.9304e+00	0.1249	0.011	1488.98	75.325	6.7222	140.544935	4.7038	0.134
0.110	15.3813	18.6559	13.3397	2.9182e+00	0.1261	0.015	1488.98	76.008	6.7832	140.544936	4.7465	0.111
0.121	15.3811	18.6628	13.3450	2.9060e+00	0.1261	0.015	1488.99	76.710	6.8456	140.544936	4.7901	0.122
0.084	15.3801	18.6668	13.3482	2.9182e+00	0.1261	0.011	1488.99	77.430	6.9098	140.544937	4.8351	0.085
0.158	15.3778	18.6764	13.3561	2.9304e+00	0.1249	0.015	1488.99	78.227	6.9808	140.544937	4.8848	0.160
0.110	15.3761	18.6836	13.3619	2.9304e+00	0.1261	0.015	1489.00	78.983	7.0482	140.544938	4.9319	0.111
0.110	15.3756	18.6611	13.3447	2.9304e+00	0.1261	0.015	1488.97	79.752	7.1179	140.544938	4.9807	0.111
0.108	15.3764	18.6207	13.3137	2.9426e+00	0.1261	0.015	1488.92	80.474	7.1840	140.544939	5.0270	0.109
0.121	15.3769	18.5962	13.2948	2.9792e+00	0.1261	0.015	1488.90	81.261	7.2553	140.544939	5.0768	0.122
0.110	15.3758	18.5920	13.2918	3.0281e+00	0.1261	0.015	1488.89	82.057	7.3267	140.544940	5.1268	0.111
0.121	15.3744	18.5960	13.2951	3.0525e+00	0.1261	0.015	1488.89	82.802	7.3932	140.544940	5.1733	0.122
0.097	15.3729	18.5954	13.2950	3.0403e+00	0.1261	0.015	1488.88	83.607	7.4653	140.544941	5.2238	0.098
0.121	15.3741	18.5904	13.2909	3.0281e+00	0.1261	0.015	1488.88	84.357	7.5324	140.544941	5.2707	0.122
0.110	15.3751	18.6066	13.3031	3.0525e+00	0.1261	0.015	1488.90	85.165	7.6036	140.544942	5.3206	0.111
0.110	15.3697	18.6318	13.3235	3.0769e+00	0.1249	0.015	1488.92	85.917	7.6704	140.544942	5.3673	0.111
0.121	15.3654	18.6453	13.3346	3.1013e+00	0.1261	0.015	1488.92	86.666	7.7373	140.544943	5.4141	0.122
0.110	15.3634	18.6695	13.3535	3.1013e+00	0.1249	0.015	1488.94	87.408	7.8027	140.544943	5.4599	0.111
0.110	15.3659	18.7088	13.3831	3.0769e+00	0.1261	0.015	1488.99	88.142	7.8660	140.544944	5.5041	0.111
0.110	15.3647	18.7489	13.4141	3.0647e+00	0.1261	0.015	1489.03	88.869	7.9291	140.544944	5.5483	0.111
0.121	15.3645	18.7785	13.4368	3.0647e+00	0.1261	0.015	1489.07	89.587	7.9917	140.544945	5.5921	0.122
0.110	15.3578	18.7994	13.4541	3.0891e+00	0.1261	0.015	1489.07	90.237	8.0498	140.544945	5.6328	0.111
0.121	15.3570	18.8113	13.4633	3.1258e+00	0.1261	0.015	1489.08	90.928	8.1110	140.544946	5.6756	0.122
0.121	15.3583	18.8222	13.4715	3.1258e+00	0.1249	0.015	1489.10	91.605	8.1706	140.544946	5.7173	0.122
0.121	15.3605	18.8385	13.4834	3.1258e+00	0.1261	0.011	1489.12	92.150	8.2180	140.544946	5.7505	0.122
0.121	15.3617	18.8555	13.4963	3.1380e+00	0.1261	0.011	1489.15	92.788	8.2739	140.544947	5.7896	0.122
0.121	15.3615	18.8605	13.5002	3.1502e+00	0.1261	0.011	1489.15	93.351	8.3239	140.544947	5.8245	0.122
0.134	15.3589	18.8544	13.4960	3.1502e+00	0.1261	0.011	1489.14	93.893	8.3730	140.544948	5.8589	0.135
0.133	15.3517	18.8421	13.4879	3.1258e+00	0.1249	0.015	1489.10	94.414	8.4213	140.544948	5.8927	0.134
0.134	15.3437	18.8249	13.4763	3.1136e+00	0.1261	0.015	1489.05	94.912	8.4680	140.544949	5.9254	0.135
0.134	15.3331	18.8312	13.4832	3.1258e+00	0.1261	0.015	1489.03	95.326	8.5065	140.544949	5.9523	0.135
0.134	15.3222	18.8582	13.5060	3.1380e+00	0.1261	0.011	1489.02	95.768	8.5464	140.544950	5.9803	0.135
0.144	15.3059	18.8853	13.5298	3.1502e+00	0.1261	0.015	1489.00	96.186	8.5851	140.544950	6.0074	0.145
0.145	15.2929	18.9231	13.5613	3.1868e+00	0.1261	0.015	1489.00	96.515	8.6148	140.544951	6.0281	0.147
0.145	15.2947	18.9750	13.6007	3.2357e+00	0.1261	0.011	1489.07	96.801	8.6373	140.544951	6.0439	0.147
0.121	15.2974	19.0240	13.6377	3.2723e+00	0.1261	0.011	1489.13	97.051	8.6566	140.544952	6.0574	0.122
0.181	15.2989	19.0428	13.6518	3.2845e+00	0.1261	0.011	1489.16	97.268	8.6746	140.544952	6.0700	0.183
0.145	15.3080	19.0289	13.6394	3.2845e+00	0.1261	0.011	1489.17	97.442	8.6892	140.544953	6.0802	0.147
0.145	15.3178	18.9969	13.6130	3.2601e+00	0.1261	0.011	1489.17	97.578	8.7013	140.544953	6.0887	0.147
0.157	15.3236	18.9535	13.5787	3.1990e+00	0.1261	0.011	1489.14	97.678	8.7115	140.544954	6.0958	0.158
0.145	15.3213	18.9075	13.5438	3.1624e+00	0.1261	0.011	1489.07	97.743	8.7201	140.544954	6.1018	0.147
0.158	15.3158	18.8800	13.5239	3.1380e+00	0.1249	0.015	1489.03	97.800	8.7278	140.544955	6.1072	0.160
