DepSM	T090C	Sal00	Sigma-t00	FlSP	WetStar	SeaTurbMtr	SvCM	Sbeox0PS	Sbeox0Mg/L	TimeJ	Sbeox0ML/L	PrDM
0.067	9.6763	25.1240	19.3012	1.3309e+00	0.1249	0.015	1476.64	119.962	11.6165	113.385961	8.1285	0.067
0.057	9.6768	25.1244	19.3014	1.2088e+00	0.1249	0.015	1476.64	119.962	11.6163	113.385961	8.1284	0.058
0.068	9.6771	25.1277	19.3040	1.1355e+00	0.1249	0.015	1476.65	119.962	11.6160	113.385962	8.1282	0.069
0.057	9.6773	25.1322	19.3075	1.1600e+00	0.1249	0.015	1476.66	119.962	11.6156	113.385962	8.1279	0.058
0.043	9.6778	25.1323	19.3075	1.1600e+00	0.1249	0.015	1476.66	119.962	11.6154	113.385963	8.1278	0.043
0.044	9.6778	25.1354	19.3099	1.2454e+00	0.1249	0.015	1476.66	119.962	11.6152	113.385963	8.1276	0.045
0.033	9.6762	25.1526	19.3235	1.3187e+00	0.1249	0.015	1476.68	120.022	11.6202	113.385964	8.1311	0.033
0.043	9.6737	25.1845	19.3487	1.0501e+00	0.1249	0.015	1476.71	120.029	11.6191	113.385964	8.1304	0.043
0.033	9.6714	25.2162	19.3737	1.1233e+00	0.1249	0.015	1476.74	120.035	11.6179	113.385965	8.1295	0.033
0.020	9.6691	25.2319	19.3863	1.1355e+00	0.1249	0.015	1476.75	120.041	11.6179	113.385965	8.1295	0.020
0.033	9.6685	25.2273	19.3828	1.0379e+00	0.1249	0.015	1476.74	120.046	11.6190	113.385965	8.1303	0.033
0.018	9.6692	25.2009	19.3622	1.0623e+00	0.1237	0.015	1476.71	120.051	11.6212	113.385966	8.1319	0.018
0.044	9.6707	25.1679	19.3362	1.1233e+00	0.1249	0.015	1476.67	119.996	11.6179	113.385966	8.1296	0.045
0.020	9.6728	25.1387	19.3131	1.1844e+00	0.1249	0.015	1476.65	120.054	11.6252	113.385967	8.1347	0.020
-0.064	9.6744	25.1150	19.2945	1.2454e+00	0.1249	0.015	1476.62	120.057	11.6269	113.385967	8.1358	-0.065
0.080	9.6755	25.1016	19.2839	1.1844e+00	0.1249	0.015	1476.61	120.064	11.6283	113.385968	8.1368	0.081
0.020	9.6763	25.0954	19.2789	9.6459e-01	0.1249	0.015	1476.61	120.067	11.6288	113.385968	8.1372	0.020
-0.016	9.6768	25.0930	19.2770	1.0501e+00	0.1249	0.015	1476.60	120.010	11.6233	113.385969	8.1333	-0.016
0.055	9.6776	25.0941	19.2777	1.1844e+00	0.1249	0.015	1476.61	120.069	11.6287	113.385969	8.1371	0.056
0.020	9.6779	25.0958	19.2790	1.1722e+00	0.1249	0.015	1476.61	120.011	11.6229	113.385970	8.1330	0.020
-0.003	9.6794	25.0858	19.2710	1.0623e+00	0.1249	0.015	1476.61	120.068	11.6288	113.385970	8.1372	-0.003
0.020	9.6801	25.0757	19.2631	1.0867e+00	0.1261	0.015	1476.60	120.072	11.6298	113.385971	8.1378	0.020
0.018	9.6794	25.0650	19.2548	1.1600e+00	0.1249	0.015	1476.58	120.075	11.6310	113.385971	8.1387	0.018
0.009	9.6792	25.0575	19.2490	1.1844e+00	0.1249	0.015	1476.57	120.017	11.6260	113.385972	8.1352	0.009
0.044	9.6796	25.0643	19.2542	1.0256e+00	0.1249	0.015	1476.58	120.074	11.6310	113.385972	8.1387	0.045
0.018	9.6804	25.0693	19.2580	1.0623e+00	0.1249	0.015	1476.59	120.076	11.6306	113.385973	8.1384	0.018
0.033	9.6818	25.0635	19.2533	1.3431e+00	0.1249	0.015	1476.59	120.018	11.6250	113.385973	8.1345	0.033
0.020	9.6823	25.0644	19.2540	1.4652e+00	0.1249	0.015	1476.59	120.013	11.6243	113.385974	8.1340	0.020
0.033	9.6826	25.0635	19.2531	1.2210e+00	0.1249	0.015	1476.59	120.070	11.6298	113.385974	8.1378	0.033
0.031	9.6825	25.0222	19.2211	1.0745e+00	0.1249	0.015	1476.54	120.072	11.6331	113.385975	8.1402	0.032
0.044	9.6813	24.9810	19.1891	1.2821e+00	0.1249	0.015	1476.49	120.013	11.6308	113.385975	8.1385	0.045
0.044	9.6801	24.9739	19.1838	1.4042e+00	0.1249	0.015	1476.47	120.008	11.6312	113.385976	8.1388	0.045
0.044	9.6802	24.9441	19.1605	1.3797e+00	0.1249	0.015	1476.44	120.003	11.6329	113.385976	8.1400	0.045
0.043	9.6812	24.8665	19.1000	1.2943e+00	0.1249	0.015	1476.35	119.998	11.6379	113.385977	8.1435	0.043
0.044	9.6831	24.7673	19.0224	1.1477e+00	0.1249	0.015	1476.23	119.993	11.6444	113.385977	8.1480	0.045
0.068	9.6834	24.7306	18.9938	1.0623e+00	0.1249	0.018	1476.19	119.988	11.6466	113.385978	8.1496	0.069
0.067	9.6836	24.7489	19.0080	1.1722e+00	0.1249	0.015	1476.21	119.983	11.6447	113.385978	8.1483	0.067
0.068	9.6839	24.7607	19.0172	1.2454e+00	0.1249	0.015	1476.23	119.979	11.6432	113.385978	8.1473	0.069
0.093	9.6846	24.7488	19.0078	1.3431e+00	0.1249	0.015	1476.22	119.974	11.6435	113.385979	8.1474	0.094
0.115	9.6852	24.7274	18.9910	1.4042e+00	0.1249	0.015	1476.19	119.969	11.6445	113.385979	8.1481	0.116
0.127	9.6870	24.6961	18.9664	1.4164e+00	0.1249	0.015	1476.16	119.964	11.6459	113.385980	8.1491	0.128
0.128	9.6865	24.6862	18.9588	1.4164e+00	0.1261	0.015	1476.15	119.960	11.6463	113.385980	8.1494	0.130
0.115	9.6863	24.6833	18.9566	1.4164e+00	0.1249	0.015	1476.15	119.954	11.6461	113.385981	8.1492	0.116
0.068	9.6817	24.7370	18.9990	1.3675e+00	0.1249	0.015	1476.19	119.949	11.6427	113.385981	8.1469	0.069
0.162	9.6791	24.7849	19.0367	8.7912e-01	0.1249	0.015	1476.24	119.946	11.6395	113.385982	8.1446	0.164
0.211	9.6789	24.7824	19.0348	8.1807e-01	0.1249	0.015	1476.24	119.942	11.6393	113.385982	8.1445	0.213
0.188	9.6750	24.8418	19.0816	1.1111e+00	0.1249	0.015	1476.30	119.876	11.6295	113.385983	8.1377	0.190
0.259	9.6658	25.0170	19.2194	1.2210e+00	0.1249	0.015	1476.48	119.927	11.6238	113.385983	8.1337	0.262
0.306	9.6588	25.1857	19.3518	1.1600e+00	0.1249	0.015	1476.66	119.863	11.6068	113.385984	8.1218	0.309
0.271	9.6530	25.2896	19.4336	1.0989e+00	0.1249	0.015	1476.76	119.912	11.6054	113.385984	8.1208	0.273
0.284	9.6489	25.3554	19.4854	1.0501e+00	0.1249	0.015	1476.82	119.848	11.5953	113.385985	8.1137	0.286
0.319	9.6460	25.3961	19.5176	1.0379e+00	0.1249	0.015	1476.86	119.838	11.5921	113.385985	8.1114	0.322
0.353	9.6449	25.4160	19.5333	1.1355e+00	0.1249	0.015	1476.88	119.889	11.5958	113.385986	8.1140	0.357
