DepSM	T090C	Sal00	Sigma-t00	FlSP	WetStar	SeaTurbMtr	SvCM	Sbeox0PS	Sbeox0Mg/L	TimeJ	Sbeox0ML/L	PrDM
0.173	12.9792	25.3693	18.9497	2.6984e+00	0.1237	0.011	1488.74	97.853	8.8068	140.360984	6.1625	0.175
0.173	12.9794	25.3713	18.9512	2.7106e+00	0.1249	0.011	1488.75	97.853	8.8066	140.360984	6.1624	0.175
0.172	12.9790	25.3722	18.9519	2.7228e+00	0.1237	0.015	1488.75	97.793	8.8013	140.360985	6.1586	0.173
0.173	12.9784	25.3722	18.9520	2.7350e+00	0.1249	0.015	1488.74	97.847	8.8063	140.360985	6.1621	0.175
0.173	12.9780	25.3720	18.9519	2.7228e+00	0.1249	0.011	1488.74	97.848	8.8064	140.360986	6.1622	0.175
0.173	12.9774	25.3722	18.9522	2.7106e+00	0.1237	0.015	1488.74	97.848	8.8065	140.360986	6.1623	0.175
0.172	12.9754	25.3737	18.9537	2.6984e+00	0.1249	0.015	1488.74	97.848	8.8068	140.360987	6.1625	0.173
0.162	12.9742	25.3748	18.9548	2.7106e+00	0.1237	0.015	1488.73	97.848	8.8070	140.360987	6.1626	0.163
0.173	12.9747	25.3747	18.9547	2.7106e+00	0.1249	0.015	1488.73	97.789	8.8016	140.360988	6.1588	0.175
0.149	12.9741	25.3757	18.9556	2.6862e+00	0.1249	0.015	1488.73	97.783	8.8012	140.360988	6.1585	0.150
0.172	12.9716	25.3784	18.9581	2.6496e+00	0.1249	0.011	1488.73	97.779	8.8010	140.360989	6.1585	0.173
0.162	12.9673	25.3831	18.9625	2.6252e+00	0.1249	0.011	1488.72	97.774	8.8011	140.360989	6.1585	0.163
0.162	12.9635	25.3901	18.9686	2.6129e+00	0.1249	0.011	1488.71	97.769	8.8011	140.360990	6.1585	0.163
0.147	12.9620	25.3953	18.9729	2.6007e+00	0.1237	0.015	1488.71	97.765	8.8006	140.360990	6.1582	0.149
0.149	12.9598	25.3991	18.9762	2.6007e+00	0.1249	0.015	1488.71	97.761	8.8005	140.360991	6.1580	0.150
0.149	12.9585	25.4008	18.9777	2.5885e+00	0.1237	0.015	1488.71	97.757	8.8003	140.360991	6.1579	0.150
0.138	12.9587	25.4013	18.9781	2.5885e+00	0.1249	0.011	1488.71	97.753	8.7999	140.360992	6.1576	0.139
0.136	12.9608	25.4011	18.9776	2.5641e+00	0.1237	0.015	1488.72	97.750	8.7992	140.360992	6.1572	0.137
0.138	12.9593	25.4071	18.9824	2.5641e+00	0.1249	0.011	1488.72	97.687	8.7935	140.360992	6.1532	0.139
0.138	12.9557	25.4192	18.9924	2.5519e+00	0.1249	0.015	1488.72	97.679	8.7928	140.360993	6.1527	0.139
0.125	12.9541	25.4297	19.0008	2.5519e+00	0.1249	0.015	1488.73	97.671	8.7918	140.360993	6.1520	0.126
0.136	12.9507	25.4390	19.0086	2.5519e+00	0.1249	0.015	1488.73	97.664	8.7912	140.360994	6.1516	0.137
0.113	12.9429	25.4507	19.0191	2.5519e+00	0.1237	0.015	1488.71	97.657	8.7914	140.360994	6.1517	0.114
0.125	12.9274	25.4711	19.0376	2.5397e+00	0.1237	0.011	1488.68	97.650	8.7926	140.360995	6.1525	0.126
0.123	12.9181	25.4875	19.0520	2.5275e+00	0.1249	0.011	1488.67	97.644	8.7928	140.360995	6.1527	0.124
0.125	12.9132	25.4967	19.0600	2.5519e+00	0.1249	0.015	1488.67	97.638	8.7927	140.360996	6.1526	0.126
0.125	12.9097	25.5002	19.0633	2.5885e+00	0.1249	0.015	1488.66	97.574	8.7874	140.360996	6.1489	0.126
0.113	12.9054	25.5035	19.0667	2.6129e+00	0.1249	0.015	1488.65	97.623	8.7924	140.360997	6.1524	0.114
0.123	12.9008	25.5077	19.0707	2.6129e+00	0.1249	0.011	1488.64	97.560	8.7874	140.360997	6.1489	0.124
0.125	12.8965	25.5126	19.0752	2.6007e+00	0.1237	0.011	1488.63	97.551	8.7871	140.360998	6.1487	0.126
0.125	12.8930	25.5166	19.0790	2.6129e+00	0.1249	0.015	1488.62	97.543	8.7868	140.360998	6.1485	0.126
0.123	12.8937	25.5160	19.0784	2.6252e+00	0.1237	0.015	1488.62	97.536	8.7860	140.360999	6.1479	0.124
0.138	12.8972	25.5126	19.0751	2.6374e+00	0.1249	0.015	1488.63	97.529	8.7850	140.360999	6.1472	0.139
0.125	12.9001	25.5097	19.0724	2.6374e+00	0.1249	0.015	1488.64	97.523	8.7841	140.361000	6.1466	0.126
0.125	12.8998	25.5095	19.0723	2.6496e+00	0.1249	0.015	1488.64	97.518	8.7837	140.361000	6.1463	0.126
0.136	12.8994	25.5092	19.0721	2.6740e+00	0.1249	0.011	1488.63	97.514	8.7834	140.361001	6.1461	0.137
0.138	12.9003	25.5074	19.0706	2.6862e+00	0.1249	0.011	1488.63	97.450	8.7776	140.361001	6.1421	0.139
0.125	12.9013	25.5047	19.0683	2.6862e+00	0.1249	0.015	1488.63	97.442	8.7768	140.361002	6.1415	0.126
0.138	12.9003	25.5028	19.0670	2.6740e+00	0.1249	0.015	1488.63	97.434	8.7764	140.361002	6.1412	0.139
0.136	12.9005	25.5008	19.0654	2.6618e+00	0.1249	0.011	1488.63	97.428	8.7759	140.361003	6.1409	0.137
0.149	12.9026	25.4976	19.0626	2.6740e+00	0.1249	0.011	1488.63	97.422	8.7752	140.361003	6.1404	0.150
0.138	12.9069	25.4933	19.0584	2.6984e+00	0.1249	0.011	1488.64	97.418	8.7742	140.361004	6.1397	0.139
0.147	12.9087	25.4909	19.0563	2.6862e+00	0.1249	0.011	1488.64	97.414	8.7737	140.361004	6.1393	0.149
0.138	12.9120	25.4875	19.0531	2.6984e+00	0.1249	0.015	1488.65	97.411	8.7730	140.361005	6.1388	0.139
0.149	12.9113	25.4868	19.0526	2.6984e+00	0.1249	0.011	1488.65	97.409	8.7730	140.361005	6.1388	0.150
0.149	12.9137	25.4838	19.0499	2.7228e+00	0.1249	0.011	1488.65	97.349	8.7673	140.361005	6.1348	0.150
0.147	12.9148	25.4802	19.0470	2.7717e+00	0.1237	0.015	1488.65	97.343	8.7668	140.361006	6.1345	0.149
0.149	12.9135	25.4784	19.0458	2.8205e+00	0.1249	0.011	1488.65	97.339	8.7667	140.361006	6.1344	0.150
0.149	12.9108	25.4784	19.0462	2.8449e+00	0.1237	0.011	1488.64	97.396	8.7723	140.361007	6.1383	0.150
0.149	12.9095	25.4769	19.0453	2.8449e+00	0.1237	0.011	1488.63	97.340	8.7676	140.361007	6.1350	0.150
0.160	12.9120	25.4718	19.0410	2.8449e+00	0.1249	0.015	1488.63	97.339	8.7673	140.361008	6.1349	0.162
0.149	12.9185	25.4646	19.0342	2.8205e+00	0.1237	0.011	1488.65	97.333	8.7660	140.361008	6.1339	0.150
0.162	12.9201	25.4623	19.0321	2.8083e+00	0.1249	0.011	1488.65	97.394	8.7714	140.361009	6.1377	0.163
0.160	12.9234	25.4599	19.0297	2.8327e+00	0.1237	0.015	1488.66	97.402	8.7716	140.361009	6.1378	0.162
0.149	12.9286	25.4564	19.0261	2.8327e+00	0.1237	0.011	1488.67	97.351	8.7662	140.361010	6.1341	0.150
0.149	12.9302	25.4555	19.0251	2.8327e+00	0.1249	0.015	1488.68	97.415	8.7717	140.361010	6.1379	0.150
0.162	12.9267	25.4585	19.0280	2.8083e+00	0.1249	0.011	1488.67	97.426	8.7732	140.361011	6.1390	0.163
0.147	12.9234	25.4617	19.0311	2.7839e+00	0.1237	0.011	1488.66	97.432	8.7741	140.361011	6.1396	0.149
0.173	12.9237	25.4617	19.0311	2.7717e+00	0.1249	0.015	1488.66	97.379	8.7693	140.361012	6.1363	0.175
0.149	12.9246	25.4606	19.0301	2.7350e+00	0.1237	0.011	1488.66	97.440	8.7747	140.361012	6.1401	0.150
