DepSM	T090C	Sal00	Sigma-t00	FlSP	WetStar	SeaTurbMtr	SvCM	Sbeox0PS	Sbeox0Mg/L	TimeJ	Sbeox0ML/L	PrDM
0.040	12.6944	25.5492	19.1399	2.3687e+00	0.1261	0.015	1487.97	81.205	7.3443	140.521042	5.1391	0.041
0.053	12.6770	25.5617	19.1527	2.3932e+00	0.1261	0.015	1487.93	81.444	7.3681	140.521042	5.1557	0.054
0.042	12.6789	25.5598	19.1509	2.4054e+00	0.1261	0.015	1487.93	81.705	7.3914	140.521043	5.1721	0.042
0.066	12.6867	25.5531	19.1443	2.4054e+00	0.1261	0.015	1487.95	81.927	7.4107	140.521043	5.1855	0.067
0.052	12.6951	25.5464	19.1377	2.3932e+00	0.1261	0.015	1487.97	82.224	7.4364	140.521044	5.2036	0.052
0.053	12.6916	25.5486	19.1400	2.3932e+00	0.1261	0.015	1487.96	82.539	7.4654	140.521044	5.2239	0.054
0.053	12.6855	25.5531	19.1446	2.3932e+00	0.1249	0.015	1487.95	82.873	7.4964	140.521045	5.2455	0.054
0.066	12.6731	25.5622	19.1538	2.4298e+00	0.1249	0.011	1487.92	83.225	7.5297	140.521045	5.2689	0.067
0.052	12.6592	25.5708	19.1630	2.4542e+00	0.1249	0.015	1487.88	83.652	7.5702	140.521046	5.2972	0.052
0.066	12.6709	25.5622	19.1542	2.4786e+00	0.1261	0.015	1487.91	83.981	7.5985	140.521046	5.3170	0.067
0.053	12.6842	25.5524	19.1443	2.4908e+00	0.1261	0.011	1487.94	84.438	7.6382	140.521046	5.3447	0.054
0.066	12.6863	25.5511	19.1428	2.5153e+00	0.1249	0.015	1487.95	84.854	7.6756	140.521047	5.3709	0.067
0.076	12.6914	25.5481	19.1396	2.5519e+00	0.1261	0.015	1487.96	85.283	7.7137	140.521047	5.3976	0.077
0.066	12.6948	25.5465	19.1378	2.5885e+00	0.1249	0.015	1487.97	85.723	7.7530	140.521048	5.4251	0.067
0.053	12.6939	25.5473	19.1386	2.6374e+00	0.1261	0.015	1487.97	86.174	7.7938	140.521048	5.4537	0.054
0.077	12.6908	25.5498	19.1410	2.6618e+00	0.1261	0.011	1487.96	86.634	7.8359	140.521049	5.4831	0.078
0.065	12.6911	25.5491	19.1405	2.6252e+00	0.1249	0.011	1487.96	87.103	7.8783	140.521049	5.5127	0.065
0.066	12.6961	25.5452	19.1366	2.5641e+00	0.1261	0.015	1487.98	87.519	7.9152	140.521050	5.5386	0.067
0.077	12.6997	25.5420	19.1334	2.4908e+00	0.1249	0.015	1487.98	87.996	7.9579	140.521050	5.5685	0.078
0.076	12.7021	25.5397	19.1312	2.4420e+00	0.1249	0.015	1487.99	88.479	8.0013	140.521051	5.5989	0.077
0.066	12.7016	25.5405	19.1319	2.4298e+00	0.1249	0.015	1487.99	88.968	8.0456	140.521051	5.6298	0.067
0.077	12.7001	25.5426	19.1338	2.4176e+00	0.1261	0.015	1487.99	89.460	8.0903	140.521052	5.6611	0.078
0.077	12.6974	25.5450	19.1362	2.3810e+00	0.1261	0.015	1487.98	89.956	8.1355	140.521052	5.6927	0.078
0.076	12.7016	25.5422	19.1332	2.3443e+00	0.1261	0.015	1487.99	90.393	8.1744	140.521053	5.7200	0.077
0.066	12.7166	25.5309	19.1219	2.3443e+00	0.1249	0.015	1488.03	90.884	8.2167	140.521053	5.7496	0.067
0.077	12.7349	25.5179	19.1085	2.3565e+00	0.1261	0.015	1488.08	91.374	8.2585	140.521054	5.7788	0.078
0.077	12.7484	25.5087	19.0989	2.3687e+00	0.1249	0.015	1488.11	91.804	8.2955	140.521054	5.8047	0.078
0.052	12.7607	25.5000	19.0901	2.3810e+00	0.1261	0.011	1488.14	92.227	8.3320	140.521055	5.8302	0.052
0.077	12.7701	25.4933	19.0832	2.3932e+00	0.1261	0.015	1488.17	92.643	8.3683	140.521055	5.8556	0.078
0.066	12.7777	25.4875	19.0774	2.4176e+00	0.1261	0.011	1488.19	93.111	8.4095	140.521056	5.8845	0.067
0.066	12.7816	25.4842	19.0741	2.4664e+00	0.1249	0.015	1488.20	93.516	8.4456	140.521056	5.9097	0.067
0.065	12.7844	25.4807	19.0709	2.5031e+00	0.1261	0.015	1488.20	93.971	8.4864	140.521057	5.9383	0.065
0.077	12.7885	25.4785	19.0685	2.5153e+00	0.1261	0.015	1488.22	94.361	8.5210	140.521057	5.9625	0.078
0.053	12.7915	25.4771	19.0668	2.4908e+00	0.1249	0.015	1488.22	94.740	8.5547	140.521058	5.9861	0.054
0.027	12.7941	25.4741	19.0640	2.4664e+00	0.1249	0.011	1488.23	95.106	8.5874	140.521058	6.0090	0.028
0.102	12.7958	25.4727	19.0626	2.4664e+00	0.1249	0.015	1488.23	95.460	8.6192	140.521059	6.0312	0.103
0.066	12.7963	25.4733	19.0630	2.5031e+00	0.1249	0.015	1488.24	95.800	8.6497	140.521059	6.0526	0.067
0.066	12.7953	25.4748	19.0644	2.5397e+00	0.1249	0.015	1488.23	96.126	8.6793	140.521060	6.0733	0.067
0.065	12.7948	25.4766	19.0659	2.5885e+00	0.1261	0.015	1488.23	96.437	8.7074	140.521060	6.0929	0.065
0.053	12.7956	25.4767	19.0658	2.6129e+00	0.1249	0.015	1488.24	96.791	8.7392	140.521060	6.1152	0.054
0.066	12.7946	25.4774	19.0664	2.6374e+00	0.1261	0.015	1488.24	97.016	8.7596	140.521061	6.1295	0.067
0.066	12.7933	25.4787	19.0677	2.6374e+00	0.1249	0.015	1488.23	97.277	8.7834	140.521061	6.1461	0.067
0.065	12.7940	25.4783	19.0673	2.6374e+00	0.1249	0.015	1488.23	97.520	8.8052	140.521062	6.1613	0.065
0.053	12.7956	25.4756	19.0649	2.5885e+00	0.1249	0.015	1488.24	97.743	8.8252	140.521062	6.1753	0.054
0.066	12.7978	25.4732	19.0627	2.5275e+00	0.1261	0.015	1488.24	97.947	8.8433	140.521063	6.1880	0.067
0.053	12.7986	25.4725	19.0620	2.5031e+00	0.1249	0.015	1488.24	98.131	8.8598	140.521063	6.1996	0.054
0.065	12.7975	25.4739	19.0633	2.4908e+00	0.1261	0.015	1488.24	98.236	8.8694	140.521064	6.2063	0.065
0.066	12.7925	25.4803	19.0691	2.4786e+00	0.1261	0.015	1488.23	98.375	8.8825	140.521064	6.2155	0.067
0.053	12.7871	25.4882	19.0762	2.4542e+00	0.1261	0.015	1488.22	98.431	8.8882	140.521065	6.2194	0.054
0.066	12.7851	25.4908	19.0786	2.4420e+00	0.1249	0.015	1488.22	98.519	8.8964	140.521065	6.2251	0.067
0.065	12.7872	25.4869	19.0752	2.4298e+00	0.1249	0.015	1488.22	98.545	8.8986	140.521066	6.2267	0.065
0.053	12.7895	25.4821	19.0710	2.4298e+00	0.1249	0.015	1488.22	98.627	8.9058	140.521066	6.2317	0.054
0.053	12.7897	25.4808	19.0700	2.4176e+00	0.1261	0.015	1488.22	98.644	8.9074	140.521067	6.2329	0.054
0.065	12.7900	25.4808	19.0699	2.4176e+00	0.1261	0.015	1488.22	98.658	8.9086	140.521067	6.2337	0.065
0.066	12.7911	25.4801	19.0692	2.4176e+00	0.1249	0.015	1488.23	98.727	8.9146	140.521068	6.2379	0.067
0.053	12.7913	25.4805	19.0695	2.4298e+00	0.1249	0.015	1488.23	98.739	8.9156	140.521068	6.2386	0.054
0.077	12.7889	25.4826	19.0716	2.4420e+00	0.1261	0.015	1488.22	98.749	8.9169	140.521069	6.2395	0.078
0.052	12.7885	25.4833	19.0722	2.4420e+00	0.1261	0.011	1488.22	98.761	8.9180	140.521069	6.2403	0.052
0.066	12.7905	25.4813	19.0702	2.4420e+00	0.1249	0.015	1488.23	98.765	8.9181	140.521070	6.2403	0.067
0.066	12.7903	25.4811	19.0701	2.4420e+00	0.1249	0.015	1488.22	98.773	8.9189	140.521070	6.2409	0.067
0.053	12.7923	25.4786	19.0678	2.4298e+00	0.1261	0.015	1488.23	98.780	8.9193	140.521071	6.2412	0.054
0.065	12.7968	25.4739	19.0634	2.4298e+00	0.1261	0.015	1488.24	98.846	8.9246	140.521071	6.2449	0.065
0.053	12.7989	25.4721	19.0616	2.4420e+00	0.1261	0.015	1488.24	98.858	8.9254	140.521072	6.2455	0.054
0.053	12.7991	25.4731	19.0624	2.4542e+00	0.1261	0.015	1488.25	98.811	8.9211	140.521072	6.2424	0.054
0.053	12.7975	25.4753	19.0644	2.4420e+00	0.1249	0.015	1488.24	98.819	8.9220	140.521073	6.2431	0.054
0.052	12.7936	25.4802	19.0688	2.4054e+00	0.1249	0.015	1488.23	98.830	8.9234	140.521073	6.2441	0.052
0.042	12.7889	25.4852	19.0736	2.3810e+00	0.1249	0.015	1488.22	98.837	8.9247	140.521073	6.2450	0.042
0.053	12.7867	25.4880	19.0761	2.3810e+00	0.1261	0.015	1488.22	98.845	8.9257	140.521074	6.2457	0.054
0.005	12.7852	25.4906	19.0784	2.3932e+00	0.1261	0.015	1488.22	98.855	8.9267	140.521074	6.2464	0.005
0.077	12.7826	25.4947	19.0820	2.3810e+00	0.1249	0.015	1488.21	98.870	8.9284	140.521075	6.2475	0.078
0.042	12.7806	25.4984	19.0852	2.3687e+00	0.1261	0.011	1488.21	98.828	8.9246	140.521075	6.2449	0.042
0.042	12.7775	25.5027	19.0891	2.3443e+00	0.1249	0.015	1488.21	98.844	8.9265	140.521076	6.2462	0.042
0.040	12.7752	25.5058	19.0919	2.3443e+00	0.1249	0.015	1488.20	98.859	8.9281	140.521076	6.2473	0.041
0.042	12.7731	25.5085	19.0944	2.3443e+00	0.1261	0.015	1488.20	98.878	8.9301	140.521077	6.2488	0.042
0.018	12.7713	25.5100	19.0959	2.3321e+00	0.1261	0.015	1488.19	98.843	8.9272	140.521077	6.2467	0.018
0.042	12.7704	25.5106	19.0965	2.3687e+00	0.1261	0.015	1488.19	98.863	8.9291	140.521078	6.2481	0.042
0.027	12.7704	25.5102	19.0962	2.4176e+00	0.1261	0.015	1488.19	98.883	8.9309	140.521078	6.2493	0.028
0.029	12.7706	25.5102	19.0961	2.4664e+00	0.1249	0.015	1488.19	98.843	8.9273	140.521079	6.2468	0.029
0.029	12.7704	25.5104	19.0963	2.5031e+00	0.1249	0.015	1488.19	98.805	8.9239	140.521079	6.2444	0.029
0.029	12.7699	25.5109	19.0968	2.5153e+00	0.1261	0.015	1488.19	98.824	8.9256	140.521080	6.2456	0.029
0.040	12.7703	25.5089	19.0952	2.5153e+00	0.1261	0.015	1488.19	98.850	8.9280	140.521080	6.2473	0.041
0.018	12.7713	25.5051	19.0921	2.5031e+00	0.1261	0.015	1488.19	98.818	8.9252	140.521081	6.2453	0.018
0.042	12.7729	25.5004	19.0882	2.4542e+00	0.1249	0.015	1488.19	98.844	8.9275	140.521081	6.2469	0.042
0.027	12.7772	25.4942	19.0826	2.4298e+00	0.1261	0.015	1488.19	98.813	8.9242	140.521082	6.2446	0.028
0.053	12.7838	25.4856	19.0748	2.4176e+00	0.1261	0.015	1488.21	98.779	8.9204	140.521082	6.2420	0.054
0.042	12.7882	25.4799	19.0696	2.4176e+00	0.1261	0.015	1488.22	98.745	8.9168	140.521083	6.2394	0.042
0.053	12.7883	25.4801	19.0697	2.4176e+00	0.1261	0.011	1488.22	98.770	8.9190	140.521083	6.2410	0.054
0.064	12.7757	25.4951	19.0835	2.4176e+00	0.1261	0.015	1488.19	98.743	8.9181	140.521084	6.2404	0.065
0.053	12.7673	25.5083	19.0953	2.4054e+00	0.1249	0.015	1488.18	98.721	8.9170	140.521084	6.2396	0.054
0.053	12.7652	25.5121	19.0986	2.4054e+00	0.1261	0.015	1488.17	98.692	8.9145	140.521085	6.2379	0.054
0.066	12.7699	25.5067	19.0936	2.3932e+00	0.1261	0.015	1488.18	98.722	8.9167	140.521085	6.2394	0.067
0.064	12.7699	25.5054	19.0926	2.3810e+00	0.1249	0.015	1488.18	98.700	8.9147	140.521086	6.2380	0.065
0.077	12.7636	25.5127	19.0994	2.3810e+00	0.1249	0.015	1488.17	98.681	8.9138	140.521086	6.2373	0.078
0.077	12.7576	25.5221	19.1077	2.4054e+00	0.1261	0.015	1488.16	98.663	8.9128	140.521087	6.2366	0.078
0.066	12.7525	25.5288	19.1138	2.4176e+00	0.1261	0.015	1488.15	98.647	8.9120	140.521087	6.2361	0.067
0.076	12.7487	25.5335	19.1181	2.4176e+00	0.1261	0.015	1488.14	98.688	8.9161	140.521087	6.2390	0.077
0.077	12.7462	25.5359	19.1204	2.3932e+00	0.1249	0.015	1488.14	98.618	8.9101	140.521088	6.2348	0.078
0.077	12.7450	25.5375	19.1218	2.3932e+00	0.1261	0.015	1488.14	98.599	8.9085	140.521088	6.2337	0.078
0.066	12.7441	25.5387	19.1230	2.3810e+00	0.1249	0.015	1488.13	98.584	8.9073	140.521089	6.2328	0.067
0.076	12.7424	25.5410	19.1250	2.3687e+00	0.1261	0.011	1488.13	98.567	8.9060	140.521089	6.2319	0.077
0.077	12.7418	25.5425	19.1263	2.3687e+00	0.1261	0.015	1488.13	98.555	8.9049	140.521090	6.2311	0.078
0.077	12.7411	25.5436	19.1272	2.3443e+00	0.1261	0.015	1488.13	98.542	8.9038	140.521090	6.2303	0.078
0.064	12.7406	25.5437	19.1274	2.3443e+00	0.1261	0.015	1488.13	98.528	8.9026	140.521091	6.2295	0.065
0.077	12.7406	25.5432	19.1270	2.3443e+00	0.1249	0.015	1488.13	98.519	8.9018	140.521091	6.2290	0.078
0.066	12.7406	25.5423	19.1263	2.3565e+00	0.1249	0.015	1488.13	98.510	8.9011	140.521092	6.2285	0.067
0.066	12.7421	25.5400	19.1243	2.3810e+00	0.1261	0.015	1488.13	98.502	8.9002	140.521092	6.2278	0.067
0.076	12.7441	25.5377	19.1222	2.3932e+00	0.1249	0.015	1488.13	98.434	8.8938	140.521093	6.2233	0.077
0.066	12.7446	25.5370	19.1215	2.4176e+00	0.1261	0.015	1488.13	98.421	8.8926	140.521093	6.2225	0.067
0.066	12.7452	25.5361	19.1207	2.4542e+00	0.1261	0.015	1488.13	98.410	8.8915	140.521094	6.2217	0.067
0.077	12.7468	25.5351	19.1196	2.4786e+00	0.1261	0.011	1488.14	98.399	8.8903	140.521094	6.2209	0.078
0.064	12.7479	25.5343	19.1188	2.4908e+00	0.1261	0.015	1488.14	98.337	8.8845	140.521095	6.2169	0.065
0.066	12.7494	25.5326	19.1172	2.4664e+00	0.1261	0.015	1488.14	98.331	8.8838	140.521095	6.2163	0.067
0.066	12.7509	25.5310	19.1157	2.4542e+00	0.1261	0.015	1488.15	98.322	8.8827	140.521096	6.2156	0.067
0.077	12.7516	25.5299	19.1148	2.4420e+00	0.1261	0.015	1488.15	98.315	8.8821	140.521096	6.2152	0.078
0.076	12.7534	25.5275	19.1126	2.4420e+00	0.1261	0.015	1488.15	98.252	8.8762	140.521097	6.2110	0.077
0.077	12.7549	25.5254	19.1107	2.4298e+00	0.1249	0.015	1488.16	98.246	8.8754	140.521097	6.2105	0.078
0.089	12.7573	25.5222	19.1078	2.4054e+00	0.1261	0.015	1488.16	98.243	8.8749	140.521098	6.2102	0.090
0.077	12.7589	25.5189	19.1050	2.3810e+00	0.1261	0.015	1488.16	98.244	8.8749	140.521098	6.2101	0.078
0.087	12.7607	25.5170	19.1032	2.3810e+00	0.1261	0.015	1488.17	98.190	8.8698	140.521099	6.2065	0.088
0.077	12.7604	25.5175	19.1036	2.3932e+00	0.1261	0.015	1488.16	98.188	8.8696	140.521099	6.2064	0.078
0.102	12.7583	25.5198	19.1058	2.4176e+00	0.1249	0.015	1488.16	98.132	8.8648	140.521100	6.2031	0.103
