DepSM	T090C	Sal00	Sigma-t00	FlSP	WetStar	SeaTurbMtr	SvCM	Sbeox0PS	Sbeox0Mg/L	TimeJ	Sbeox0ML/L	PrDM
0.066	10.9659	24.8358	18.8804	1.3065e+00	0.1237	0.011	1481.02	86.994	8.2025	113.436377	5.7396	0.066
0.075	10.9701	24.8223	18.8692	1.3065e+00	0.1224	0.007	1481.02	87.114	8.2138	113.436378	5.7475	0.076
0.066	10.9776	24.8246	18.8698	1.2943e+00	0.1224	0.007	1481.05	87.246	8.2248	113.436378	5.7552	0.066
0.053	10.9837	24.8320	18.8745	1.3187e+00	0.1249	0.015	1481.08	87.390	8.2368	113.436379	5.7636	0.053
0.066	10.9877	24.8239	18.8676	1.3187e+00	0.1224	0.011	1481.09	87.484	8.2454	113.436379	5.7697	0.066
0.064	10.9868	24.8214	18.8658	1.3309e+00	0.1224	0.004	1481.08	87.582	8.2550	113.436380	5.7764	0.065
0.066	10.9794	24.8384	18.8802	1.3675e+00	0.1237	0.007	1481.08	87.806	8.2765	113.436380	5.7914	0.066
0.066	10.9712	24.8480	18.8889	1.3675e+00	0.1237	0.015	1481.06	87.925	8.2887	113.436381	5.7999	0.066
0.041	10.9667	24.8439	18.8865	1.3553e+00	0.1224	0.007	1481.04	88.166	8.3125	113.436381	5.8166	0.042
0.064	10.9578	24.8574	18.8984	1.3309e+00	0.1224	0.007	1481.02	88.303	8.3263	113.436382	5.8263	0.065
0.053	10.9485	24.8748	18.9134	1.3187e+00	0.1237	0.011	1481.01	88.502	8.3458	113.436382	5.8399	0.053
0.066	10.9413	24.8774	18.9165	1.3187e+00	0.1237	0.011	1480.99	88.709	8.3665	113.436383	5.8544	0.066
0.040	10.9331	24.8757	18.9165	1.3187e+00	0.1224	0.007	1480.95	88.923	8.3883	113.436383	5.8696	0.040
0.053	10.9287	24.8854	18.9247	1.3065e+00	0.1224	0.007	1480.95	89.083	8.4037	113.436384	5.8804	0.053
0.066	10.9295	24.8947	18.9318	1.3187e+00	0.1237	0.015	1480.96	89.304	8.4239	113.436384	5.8946	0.066
0.053	10.9310	24.8935	18.9307	1.3309e+00	0.1237	0.011	1480.97	89.531	8.4450	113.436385	5.9093	0.053
0.100	10.9326	24.8985	18.9343	1.3431e+00	0.1237	0.007	1480.98	89.763	8.4664	113.436385	5.9243	0.100
0.112	10.9360	24.9133	18.9452	1.3431e+00	0.1237	0.011	1481.01	90.000	8.4873	113.436386	5.9389	0.114
0.112	10.9382	24.9230	18.9524	1.3431e+00	0.1237	0.011	1481.03	90.181	8.5034	113.436386	5.9502	0.114
0.124	10.9389	24.9234	18.9526	1.3309e+00	0.1224	0.007	1481.03	90.420	8.5258	113.436386	5.9659	0.125
0.051	10.9349	24.9301	18.9584	1.3309e+00	0.1224	0.007	1481.03	90.662	8.5491	113.436387	5.9821	0.051
0.101	10.9295	24.9408	18.9676	1.3553e+00	0.1237	0.015	1481.02	90.909	8.5728	113.436387	5.9987	0.102
0.148	10.9252	24.9463	18.9726	1.3675e+00	0.1237	0.011	1481.01	91.159	8.5968	113.436388	6.0155	0.149
0.161	10.9209	24.9507	18.9767	1.3797e+00	0.1224	0.007	1481.00	91.350	8.6154	113.436388	6.0286	0.163
0.182	10.9184	24.9581	18.9828	1.3919e+00	0.1224	0.007	1481.00	91.597	8.6388	113.436389	6.0449	0.184
0.219	10.9171	24.9672	18.9900	1.4042e+00	0.1249	0.011	1481.01	91.845	8.6619	113.436389	6.0611	0.221
0.208	10.9169	24.9711	18.9931	1.4164e+00	0.1237	0.011	1481.01	92.093	8.6852	113.436390	6.0774	0.210
0.197	10.9119	24.9789	19.0000	1.4652e+00	0.1224	0.007	1481.00	92.343	8.7092	113.436390	6.0942	0.198
0.219	10.9007	24.9935	19.0131	1.5018e+00	0.1237	0.007	1480.98	92.533	8.7284	113.436391	6.1076	0.221
0.256	10.8921	25.0043	19.0228	1.5018e+00	0.1249	0.015	1480.96	92.776	8.7525	113.436391	6.1245	0.259
0.244	10.8857	25.0129	19.0305	1.5140e+00	0.1237	0.007	1480.95	93.018	8.7760	113.436392	6.1409	0.246
0.303	10.8803	25.0236	19.0397	1.5140e+00	0.1237	0.007	1480.94	93.259	8.7992	113.436392	6.1572	0.306
0.326	10.8777	25.0312	19.0460	1.5263e+00	0.1237	0.011	1480.94	93.437	8.8160	113.436393	6.1689	0.329
0.328	10.8731	25.0350	19.0497	1.5263e+00	0.1237	0.007	1480.93	93.666	8.8384	113.436393	6.1846	0.331
0.339	10.8668	25.0384	19.0533	1.5385e+00	0.1224	0.007	1480.91	93.894	8.8609	113.436394	6.2003	0.342
0.352	10.8633	25.0407	19.0556	1.5629e+00	0.1249	0.011	1480.90	94.057	8.8768	113.436394	6.2115	0.355
0.350	10.8610	25.0401	19.0555	1.5629e+00	0.1237	0.011	1480.90	94.270	8.8974	113.436395	6.2259	0.354
0.399	10.8593	25.0394	19.0553	1.5629e+00	0.1224	0.007	1480.89	94.419	8.9119	113.436395	6.2360	0.403
0.399	10.8558	25.0406	19.0568	1.5629e+00	0.1224	0.007	1480.88	94.618	8.9312	113.436396	6.2496	0.403
0.410	10.8534	25.0409	19.0574	1.5751e+00	0.1249	0.015	1480.87	94.812	8.9500	113.436396	6.2627	0.414
0.447	10.8514	25.0406	19.0575	1.5873e+00	0.1237	0.011	1480.86	94.940	8.9625	113.436397	6.2714	0.452
0.446	10.8475	25.0423	19.0594	1.5873e+00	0.1224	0.007	1480.85	95.056	8.9741	113.436397	6.2796	0.450
0.459	10.8436	25.0436	19.0610	1.5507e+00	0.1249	0.011	1480.84	95.221	8.9904	113.436398	6.2909	0.463
0.483	10.8413	25.0437	19.0615	1.5385e+00	0.1237	0.015	1480.83	95.379	9.0057	113.436398	6.3017	0.488
0.483	10.8395	25.0445	19.0624	1.5140e+00	0.1237	0.007	1480.83	95.529	9.0202	113.436399	6.3118	0.488
0.506	10.8377	25.0452	19.0632	1.5018e+00	0.1237	0.007	1480.82	95.612	9.0284	113.436399	6.3175	0.510
0.530	10.8364	25.0454	19.0636	1.4896e+00	0.1249	0.015	1480.82	95.681	9.0352	113.436399	6.3223	0.535
0.543	10.8351	25.0453	19.0637	1.4896e+00	0.1237	0.011	1480.81	95.736	9.0406	113.436400	6.3261	0.548
0.554	10.8342	25.0451	19.0637	1.4896e+00	0.1224	0.007	1480.81	95.776	9.0445	113.436400	6.3288	0.559
0.566	10.8338	25.0442	19.0630	1.4896e+00	0.1237	0.011	1480.81	95.861	9.0527	113.436401	6.3345	0.571
0.577	10.8334	25.0429	19.0621	1.5018e+00	0.1249	0.011	1480.80	95.890	9.0556	113.436401	6.3366	0.582
0.590	10.8319	25.0436	19.0629	1.5263e+00	0.1237	0.007	1480.80	95.977	9.0641	113.436402	6.3425	0.595
0.601	10.8289	25.0447	19.0642	1.5629e+00	0.1237	0.007	1480.79	96.008	9.0676	113.436402	6.3450	0.607
0.625	10.8268	25.0454	19.0651	1.5873e+00	0.1249	0.015	1480.78	96.032	9.0702	113.436403	6.3468	0.631
0.650	10.8258	25.0453	19.0651	1.6117e+00	0.1237	0.011	1480.78	96.107	9.0774	113.436403	6.3519	0.656
0.672	10.8229	25.0469	19.0668	1.6239e+00	0.1224	0.007	1480.77	96.132	9.0803	113.436404	6.3539	0.679
0.661	10.8182	25.0496	19.0697	1.6117e+00	0.1249	0.011	1480.76	96.150	9.0828	113.436404	6.3556	0.667
0.685	10.8144	25.0515	19.0718	1.6117e+00	0.1237	0.011	1480.75	96.233	9.0913	113.436405	6.3615	0.692
0.710	10.8110	25.0536	19.0740	1.6239e+00	0.1224	0.007	1480.74	96.254	9.0938	113.436405	6.3633	0.716
0.684	10.8102	25.0540	19.0744	1.6117e+00	0.1237	0.007	1480.73	96.333	9.1014	113.436406	6.3686	0.690
0.769	10.8098	25.0537	19.0742	1.6117e+00	0.1237	0.011	1480.73	96.358	9.1038	113.436406	6.3703	0.777
0.745	10.8090	25.0542	19.0747	1.6117e+00	0.1237	0.007	1480.73	96.440	9.1118	113.436407	6.3759	0.752
0.756	10.8075	25.0550	19.0756	1.6117e+00	0.1224	0.007	1480.73	96.462	9.1141	113.436407	6.3775	0.764
0.781	10.8059	25.0558	19.0765	1.6117e+00	0.1237	0.015	1480.72	96.483	9.1164	113.436408	6.3791	0.788
0.781	10.8050	25.0562	19.0770	1.6117e+00	0.1237	0.011	1480.72	96.563	9.1241	113.436408	6.3845	0.788
0.803	10.8048	25.0563	19.0770	1.6239e+00	0.1224	0.007	1480.72	96.588	9.1265	113.436409	6.3862	0.811
0.816	10.8048	25.0560	19.0768	1.6239e+00	0.1237	0.011	1480.72	96.613	9.1288	113.436409	6.3878	0.824
0.828	10.8055	25.0547	19.0757	1.6239e+00	0.1237	0.011	1480.72	96.631	9.1304	113.436410	6.3889	0.836
0.852	10.8063	25.0541	19.0751	1.6361e+00	0.1237	0.007	1480.72	96.648	9.1320	113.436410	6.3900	0.860
0.852	10.8077	25.0528	19.0738	1.6361e+00	0.1224	0.007	1480.73	96.726	9.1391	113.436411	6.3950	0.860
0.863	10.8098	25.0512	19.0723	1.6239e+00	0.1237	0.015	1480.73	96.749	9.1410	113.436411	6.3963	0.871
0.876	10.8133	25.0489	19.0699	1.6117e+00	0.1237	0.007	1480.74	96.772	9.1426	113.436412	6.3975	0.885
0.888	10.8195	25.0471	19.0676	1.6117e+00	0.1237	0.007	1480.76	96.789	9.1431	113.436412	6.3978	0.896
0.912	10.8234	25.0479	19.0676	1.6484e+00	0.1237	0.011	1480.78	96.807	9.1439	113.436413	6.3984	0.920
0.912	10.8258	25.0473	19.0667	1.6972e+00	0.1237	0.011	1480.79	96.826	9.1453	113.436413	6.3993	0.920
0.947	10.8271	25.0506	19.0691	1.7094e+00	0.1224	0.007	1480.80	96.847	9.1468	113.436413	6.4004	0.956
0.947	10.8292	25.0578	19.0743	1.6972e+00	0.1237	0.011	1480.81	96.868	9.1479	113.436414	6.4012	0.956
0.960	10.8310	25.0593	19.0752	1.7094e+00	0.1237	0.011	1480.82	96.884	9.1490	113.436414	6.4020	0.969
0.983	10.8287	25.0633	19.0787	1.7216e+00	0.1224	0.007	1480.82	96.963	9.1567	113.436415	6.4073	0.992
0.983	10.8226	25.0793	19.0921	1.7460e+00	0.1237	0.007	1480.81	96.930	9.1539	113.436415	6.4054	0.992
1.007	10.8193	25.0871	19.0986	1.7827e+00	0.1249	0.011	1480.81	96.953	9.1563	113.436416	6.4070	1.017
1.030	10.8175	25.0861	19.0981	1.7949e+00	0.1224	0.007	1480.80	96.971	9.1584	113.436416	6.4085	1.040
1.032	10.8174	25.0964	19.1062	1.7949e+00	0.1224	0.007	1480.82	96.992	9.1597	113.436417	6.4094	1.041
1.056	10.8174	25.1110	19.1175	1.7827e+00	0.1237	0.011	1480.83	96.954	9.1554	113.436417	6.4064	1.066
1.056	10.8174	25.1172	19.1224	1.7827e+00	0.1237	0.011	1480.84	96.967	9.1562	113.436418	6.4070	1.066
1.079	10.8167	25.1326	19.1344	1.7949e+00	0.1224	0.007	1480.86	96.984	9.1570	113.436418	6.4076	1.089
1.091	10.8139	25.1654	19.1603	1.8193e+00	0.1237	0.011	1480.89	96.997	9.1570	113.436419	6.4075	1.102
1.103	10.8118	25.1867	19.1772	1.8071e+00	0.1237	0.011	1480.91	96.954	9.1521	113.436419	6.4041	1.113
1.125	10.8097	25.2161	19.2003	1.7949e+00	0.1237	0.007	1480.93	96.969	9.1522	113.436420	6.4041	1.136
1.138	10.8050	25.2644	19.2386	1.7582e+00	0.1237	0.011	1480.98	96.981	9.1515	113.436420	6.4037	1.149
1.138	10.8007	25.2911	19.2600	1.7460e+00	0.1237	0.011	1480.99	96.991	9.1517	113.436421	6.4038	1.149
