DepSM	T090C	Sal00	Sigma-t00	FlSP	WetStar	SeaTurbMtr	SvCM	Sbeox0PS	Sbeox0Mg/L	TimeJ	Sbeox0ML/L	PrDM
0.863	10.4394	25.9421	19.8225	1.4042e+00	0.1249	0.011	1480.46	99.069	9.3832	113.643750	6.5658	0.871
0.851	10.4404	25.9427	19.8228	1.5140e+00	0.1237	0.007	1480.46	99.069	9.3830	113.643750	6.5656	0.859
0.851	10.4426	25.9412	19.8214	1.5507e+00	0.1249	0.011	1480.47	99.069	9.3826	113.643751	6.5654	0.859
0.863	10.4435	25.9439	19.8233	1.5507e+00	0.1249	0.011	1480.48	99.069	9.3822	113.643751	6.5651	0.871
0.840	10.4439	25.9455	19.8245	1.5629e+00	0.1249	0.011	1480.48	99.069	9.3820	113.643752	6.5650	0.848
0.850	10.4439	25.9478	19.8263	1.6117e+00	0.1249	0.007	1480.48	99.009	9.3762	113.643752	6.5609	0.858
0.851	10.4436	25.9507	19.8286	1.6484e+00	0.1249	0.007	1480.48	99.003	9.3755	113.643753	6.5604	0.859
0.840	10.4434	25.9514	19.8292	1.5995e+00	0.1249	0.007	1480.48	98.997	9.3749	113.643753	6.5600	0.848
0.851	10.4419	25.9549	19.8321	1.5018e+00	0.1249	0.011	1480.48	98.991	9.3745	113.643754	6.5597	0.859
0.840	10.4409	25.9571	19.8340	1.4286e+00	0.1249	0.007	1480.48	98.926	9.3684	113.643754	6.5554	0.848
0.803	10.4392	25.9579	19.8349	1.3675e+00	0.1249	0.011	1480.48	98.854	9.3619	113.643755	6.5509	0.810
0.876	10.4363	25.9618	19.8384	1.3553e+00	0.1249	0.011	1480.47	98.838	9.3608	113.643755	6.5501	0.884
0.840	10.4338	25.9622	19.8391	1.3797e+00	0.1249	0.011	1480.46	98.822	9.3597	113.643756	6.5494	0.848
0.840	10.4314	25.9627	19.8398	1.3553e+00	0.1249	0.011	1480.45	98.807	9.3588	113.643756	6.5487	0.848
0.840	10.4290	25.9650	19.8420	1.3553e+00	0.1249	0.011	1480.45	98.732	9.3520	113.643757	6.5440	0.848
0.827	10.4254	25.9646	19.8422	1.3797e+00	0.1249	0.007	1480.43	98.713	9.3510	113.643757	6.5432	0.835
0.827	10.4217	25.9662	19.8440	1.4652e+00	0.1249	0.011	1480.42	98.694	9.3499	113.643758	6.5425	0.835
0.840	10.4189	25.9660	19.8444	1.4896e+00	0.1249	0.011	1480.41	98.617	9.3431	113.643758	6.5377	0.848
0.827	10.4145	25.9648	19.8441	1.4408e+00	0.1249	0.011	1480.39	98.534	9.3362	113.643759	6.5329	0.835
0.840	10.4115	25.9664	19.8458	1.4042e+00	0.1261	0.011	1480.39	98.507	9.3342	113.643759	6.5315	0.848
0.827	10.4076	25.9650	19.8453	1.3797e+00	0.1249	0.007	1480.37	98.481	9.3326	113.643760	6.5304	0.835
0.827	10.4014	25.9678	19.8484	1.3919e+00	0.1249	0.011	1480.35	98.397	9.3257	113.643760	6.5256	0.835
0.840	10.3957	25.9715	19.8523	1.3675e+00	0.1249	0.011	1480.33	98.368	9.3240	113.643761	6.5244	0.848
0.827	10.3875	25.9731	19.8547	1.2821e+00	0.1249	0.011	1480.31	98.341	9.3231	113.643761	6.5237	0.835
0.840	10.3760	25.9839	19.8650	1.2454e+00	0.1249	0.011	1480.28	98.257	9.3167	113.643762	6.5193	0.848
0.840	10.3660	25.9936	19.8740	1.2698e+00	0.1237	0.011	1480.25	98.228	9.3154	113.643762	6.5184	0.848
0.827	10.3546	26.0019	19.8823	1.3919e+00	0.1249	0.011	1480.22	98.201	9.3147	113.643763	6.5179	0.835
0.838	10.3485	26.0121	19.8911	1.5751e+00	0.1249	0.011	1480.21	98.115	9.3073	113.643763	6.5127	0.846
0.827	10.3429	26.0191	19.8974	1.6239e+00	0.1237	0.007	1480.20	98.086	9.3053	113.643764	6.5113	0.835
0.840	10.3386	26.0253	19.9029	1.5385e+00	0.1249	0.011	1480.19	98.060	9.3033	113.643764	6.5099	0.848
0.840	10.3359	26.0316	19.9083	1.4286e+00	0.1249	0.011	1480.19	97.976	9.2955	113.643764	6.5044	0.848
0.827	10.3341	26.0343	19.9106	1.3675e+00	0.1249	0.007	1480.18	97.948	9.2930	113.643765	6.5027	0.835
0.838	10.3357	26.0353	19.9111	1.3309e+00	0.1249	0.011	1480.19	97.922	9.2903	113.643765	6.5008	0.846
0.827	10.3427	26.0312	19.9069	1.3309e+00	0.1261	0.011	1480.21	97.839	9.2812	113.643766	6.4944	0.835
0.840	10.3502	26.0249	19.9009	1.3065e+00	0.1249	0.011	1480.23	97.813	9.2775	113.643766	6.4919	0.848
0.840	10.3570	26.0214	19.8971	1.3309e+00	0.1249	0.011	1480.25	97.730	9.2684	113.643767	6.4855	0.848
0.840	10.3619	26.0148	19.8912	1.3919e+00	0.1249	0.011	1480.26	97.704	9.2653	113.643767	6.4833	0.848
0.840	10.3654	26.0103	19.8871	1.4164e+00	0.1249	0.015	1480.27	97.620	9.2570	113.643768	6.4775	0.848
0.838	10.3673	26.0089	19.8857	1.3675e+00	0.1249	0.011	1480.28	97.594	9.2542	113.643768	6.4755	0.846
0.851	10.3742	26.0004	19.8781	1.3187e+00	0.1249	0.007	1480.29	97.572	9.2512	113.643769	6.4734	0.859
0.840	10.3832	25.9941	19.8718	1.3309e+00	0.1249	0.015	1480.32	97.492	9.2422	113.643769	6.4671	0.848
0.840	10.3931	25.9860	19.8639	1.3187e+00	0.1249	0.011	1480.34	97.470	9.2386	113.643770	6.4646	0.848
0.851	10.4043	25.9752	19.8538	1.2943e+00	0.1249	0.011	1480.37	97.392	9.2295	113.643770	6.4583	0.859
0.838	10.4089	25.9738	19.8520	1.2821e+00	0.1249	0.011	1480.38	97.372	9.2267	113.643771	6.4563	0.846
0.851	10.3998	25.9800	19.8582	1.2821e+00	0.1249	0.007	1480.36	97.355	9.2267	113.643771	6.4563	0.859
0.851	10.3855	25.9906	19.8687	1.2821e+00	0.1249	0.011	1480.32	97.282	9.2220	113.643772	6.4530	0.859
0.851	10.3751	26.0015	19.8787	1.2943e+00	0.1249	0.011	1480.30	97.268	9.2221	113.643772	6.4531	0.859
0.851	10.3665	26.0084	19.8854	1.2821e+00	0.1249	0.007	1480.27	97.257	9.2225	113.643773	6.4533	0.859
0.851	10.3607	26.0148	19.8913	1.2698e+00	0.1249	0.011	1480.26	97.191	9.2170	113.643773	6.4495	0.859
0.863	10.3574	26.0198	19.8958	1.2454e+00	0.1249	0.011	1480.25	97.183	9.2166	113.643774	6.4492	0.871
0.851	10.3533	26.0245	19.9001	1.2698e+00	0.1249	0.011	1480.24	97.179	9.2168	113.643774	6.4494	0.859
0.863	10.3536	26.0271	19.9020	1.2698e+00	0.1249	0.011	1480.25	97.180	9.2167	113.643775	6.4493	0.871
0.851	10.3570	26.0259	19.9006	1.2454e+00	0.1249	0.007	1480.26	97.126	9.2109	113.643775	6.4452	0.859
0.863	10.3626	26.0224	19.8970	1.2210e+00	0.1249	0.015	1480.27	97.069	9.2046	113.643776	6.4408	0.871
0.863	10.3699	26.0184	19.8927	1.2210e+00	0.1249	0.011	1480.30	97.065	9.2030	113.643776	6.4397	0.871
0.863	10.3766	26.0119	19.8866	1.2332e+00	0.1249	0.011	1480.31	97.066	9.2021	113.643777	6.4391	0.871
0.863	10.3818	26.0073	19.8822	1.2576e+00	0.1249	0.011	1480.33	97.011	9.1961	113.643777	6.4349	0.871
0.863	10.3851	26.0034	19.8787	1.2698e+00	0.1249	0.011	1480.33	97.016	9.1961	113.643777	6.4349	0.871
0.863	10.3865	25.9982	19.8744	1.2821e+00	0.1249	0.011	1480.33	97.018	9.1964	113.643778	6.4351	0.871
0.863	10.3914	25.9944	19.8707	1.2698e+00	0.1249	0.011	1480.35	97.019	9.1957	113.643778	6.4346	0.871
0.863	10.4102	25.9777	19.8548	1.2332e+00	0.1237	0.007	1480.39	96.964	9.1876	113.643779	6.4290	0.871
0.863	10.4311	25.9597	19.8376	1.2088e+00	0.1249	0.011	1480.45	96.908	9.1791	113.643779	6.4230	0.871
0.863	10.4439	25.9489	19.8271	1.1966e+00	0.1249	0.011	1480.48	96.910	9.1774	113.643780	6.4218	0.871
0.863	10.4600	25.9303	19.8102	1.1844e+00	0.1249	0.011	1480.52	96.911	9.1753	113.643780	6.4204	0.871
0.863	10.4726	25.9203	19.8004	1.1844e+00	0.1249	0.011	1480.55	96.856	9.1682	113.643781	6.4154	0.871
0.850	10.4821	25.9112	19.7919	1.1966e+00	0.1249	0.011	1480.58	96.861	9.1672	113.643781	6.4147	0.858
0.863	10.4960	25.8978	19.7793	1.1844e+00	0.1249	0.011	1480.61	96.803	9.1598	113.643782	6.4095	0.871
0.851	10.5089	25.8932	19.7737	1.1722e+00	0.1249	0.011	1480.65	96.798	9.1569	113.643782	6.4075	0.859
0.851	10.5182	25.8870	19.7674	1.1722e+00	0.1249	0.007	1480.68	96.737	9.1497	113.643783	6.4024	0.859
0.851	10.5262	25.8845	19.7642	1.1722e+00	0.1249	0.011	1480.70	96.735	9.1481	113.643783	6.4013	0.859
0.851	10.5310	25.8893	19.7672	1.2088e+00	0.1249	0.011	1480.73	96.732	9.1465	113.643784	6.4002	0.859
0.850	10.5358	25.8899	19.7669	1.2332e+00	0.1237	0.007	1480.75	96.673	9.1399	113.643784	6.3956	0.858
0.840	10.5373	25.8938	19.7697	1.2454e+00	0.1249	0.011	1480.76	96.673	9.1394	113.643785	6.3952	0.848
0.840	10.5355	25.8968	19.7723	1.2332e+00	0.1249	0.011	1480.75	96.611	9.1337	113.643785	6.3912	0.848
0.840	10.5322	25.9002	19.7754	1.2088e+00	0.1249	0.011	1480.75	96.608	9.1339	113.643786	6.3914	0.848
0.840	10.5257	25.9067	19.7816	1.2088e+00	0.1249	0.011	1480.73	96.550	9.1293	113.643786	6.3881	0.848
0.827	10.5194	25.9102	19.7853	1.1966e+00	0.1249	0.011	1480.71	96.544	9.1298	113.643787	6.3885	0.835
0.827	10.5130	25.9160	19.7907	1.1966e+00	0.1249	0.011	1480.69	96.483	9.1250	113.643787	6.3851	0.835
0.827	10.5067	25.9214	19.7960	1.1844e+00	0.1261	0.011	1480.68	96.421	9.1201	113.643788	6.3817	0.835
0.827	10.5024	25.9221	19.7972	1.1844e+00	0.1249	0.011	1480.66	96.412	9.1200	113.643788	6.3817	0.835
0.816	10.4990	25.9268	19.8014	1.2088e+00	0.1261	0.011	1480.66	96.348	9.1144	113.643789	6.3777	0.823
0.803	10.4944	25.9294	19.8041	1.2332e+00	0.1249	0.011	1480.64	96.343	9.1147	113.643789	6.3779	0.810
0.827	10.4959	25.9258	19.8011	1.2576e+00	0.1261	0.011	1480.64	96.338	9.1141	113.643790	6.3775	0.835
0.816	10.4975	25.9246	19.7999	1.2821e+00	0.1261	0.015	1480.65	96.277	9.1081	113.643790	6.3733	0.823
0.816	10.4990	25.9177	19.7943	1.2698e+00	0.1249	0.011	1480.65	96.209	9.1018	113.643791	6.3689	0.823
0.816	10.5084	25.9086	19.7858	1.2454e+00	0.1249	0.011	1480.67	96.201	9.0996	113.643791	6.3674	0.823
0.803	10.5176	25.9002	19.7778	1.2332e+00	0.1249	0.011	1480.69	96.191	9.0974	113.643791	6.3658	0.810
0.803	10.5227	25.8925	19.7710	1.2210e+00	0.1249	0.011	1480.70	96.127	9.0907	113.643792	6.3611	0.810
0.803	10.5200	25.8946	19.7731	1.2332e+00	0.1249	0.011	1480.69	96.122	9.0907	113.643792	6.3611	0.810
0.803	10.5170	25.8928	19.7721	1.2332e+00	0.1249	0.011	1480.68	96.055	9.0851	113.643793	6.3572	0.810
0.803	10.5197	25.8879	19.7679	1.2088e+00	0.1249	0.011	1480.68	95.988	9.0785	113.643793	6.3526	0.810
0.816	10.5228	25.8878	19.7673	1.2210e+00	0.1249	0.011	1480.70	95.974	9.0766	113.643794	6.3512	0.823
0.803	10.5226	25.8828	19.7634	1.2210e+00	0.1249	0.011	1480.69	95.966	9.0761	113.643794	6.3509	0.810
0.816	10.5226	25.8830	19.7636	1.2454e+00	0.1249	0.011	1480.69	95.963	9.0758	113.643795	6.3507	0.823
0.803	10.5223	25.8859	19.7659	1.2698e+00	0.1249	0.011	1480.69	95.899	9.0696	113.643795	6.3464	0.810
0.816	10.5245	25.8846	19.7646	1.2821e+00	0.1249	0.007	1480.70	95.894	9.0688	113.643796	6.3458	0.823
0.803	10.5268	25.8914	19.7695	1.3065e+00	0.1249	0.011	1480.71	95.834	9.0623	113.643796	6.3413	0.810
0.803	10.5294	25.8959	19.7726	1.3187e+00	0.1249	0.007	1480.73	95.828	9.0609	113.643797	6.3403	0.810
0.814	10.5327	25.8988	19.7743	1.3553e+00	0.1249	0.007	1480.74	95.767	9.0544	113.643797	6.3357	0.822
0.816	10.5334	25.9025	19.7770	1.3675e+00	0.1249	0.007	1480.75	95.766	9.0539	113.643798	6.3354	0.823
0.827	10.5325	25.9054	19.7795	1.3553e+00	0.1249	0.007	1480.75	95.710	9.0486	113.643798	6.3317	0.835
0.816	10.5283	25.9113	19.7847	1.3797e+00	0.1249	0.011	1480.74	95.707	9.0489	113.643799	6.3319	0.823
0.827	10.5208	25.9165	19.7899	1.4164e+00	0.1249	0.011	1480.72	95.704	9.0498	113.643799	6.3325	0.835
0.827	10.5140	25.9171	19.7914	1.4042e+00	0.1249	0.011	1480.70	95.646	9.0456	113.643800	6.3296	0.835
0.827	10.5084	25.9202	19.7947	1.3675e+00	0.1249	0.011	1480.68	95.648	9.0467	113.643800	6.3303	0.835
0.827	10.5029	25.9200	19.7955	1.3187e+00	0.1249	0.007	1480.66	95.588	9.0422	113.643801	6.3272	0.835
0.840	10.4983	25.9200	19.7962	1.2943e+00	0.1249	0.011	1480.65	95.589	9.0431	113.643801	6.3278	0.848
0.827	10.4957	25.9209	19.7973	1.2698e+00	0.1249	0.011	1480.64	95.535	9.0384	113.643802	6.3246	0.835
0.850	10.4990	25.9148	19.7920	1.2698e+00	0.1249	0.011	1480.64	95.541	9.0388	113.643802	6.3248	0.858
0.827	10.5044	25.9087	19.7865	1.2698e+00	0.1249	0.015	1480.65	95.546	9.0385	113.643803	6.3246	0.835
0.851	10.5088	25.8995	19.7786	1.2698e+00	0.1249	0.011	1480.66	95.491	9.0330	113.643803	6.3207	0.859
0.840	10.5104	25.8877	19.7692	1.2698e+00	0.1249	0.011	1480.65	95.435	9.0280	113.643804	6.3173	0.848
0.840	10.5081	25.8873	19.7692	1.2454e+00	0.1261	0.011	1480.64	95.439	9.0289	113.643804	6.3179	0.848
0.840	10.5076	25.8808	19.7642	1.2210e+00	0.1249	0.007	1480.63	95.442	9.0297	113.643804	6.3184	0.848
0.850	10.5103	25.8784	19.7620	1.1966e+00	0.1249	0.011	1480.64	95.391	9.0244	113.643805	6.3148	0.858
0.851	10.5123	25.8814	19.7640	1.2088e+00	0.1249	0.011	1480.65	95.394	9.0241	113.643805	6.3145	0.859
