DepSM	T090C	Sal00	Sigma-t00	FlSP	WetStar	SeaTurbMtr	SvCM	Sbeox0PS	Sbeox0Mg/L	TimeJ	Sbeox0ML/L	PrDM
0.082	12.9034	25.5463	19.1000	2.4054e+00	0.1261	0.015	1488.69	96.770	8.7136	140.568160	6.0973	0.083
0.084	12.9032	25.5466	19.1003	2.3932e+00	0.1261	0.015	1488.69	96.770	8.7136	140.568160	6.0973	0.084
0.072	12.9032	25.5467	19.1004	2.3932e+00	0.1261	0.015	1488.69	96.770	8.7136	140.568161	6.0973	0.073
0.084	12.9032	25.5467	19.1004	2.3687e+00	0.1261	0.015	1488.69	96.770	8.7136	140.568161	6.0973	0.084
0.082	12.9029	25.5473	19.1009	2.3932e+00	0.1261	0.015	1488.69	96.770	8.7136	140.568162	6.0973	0.083
0.084	12.9031	25.5473	19.1009	2.4420e+00	0.1261	0.011	1488.69	96.770	8.7136	140.568162	6.0973	0.084
0.084	12.9029	25.5474	19.1010	2.4908e+00	0.1261	0.011	1488.69	96.770	8.7136	140.568163	6.0973	0.084
0.084	12.9030	25.5472	19.1008	2.5275e+00	0.1273	0.011	1488.69	96.770	8.7136	140.568163	6.0973	0.084
0.082	12.9026	25.5479	19.1014	2.5275e+00	0.1261	0.015	1488.69	96.770	8.7137	140.568164	6.0973	0.083
0.084	12.9028	25.5476	19.1012	2.4908e+00	0.1261	0.011	1488.69	96.710	8.7083	140.568164	6.0935	0.084
0.084	12.9026	25.5482	19.1016	2.4542e+00	0.1273	0.011	1488.69	96.705	8.7078	140.568165	6.0932	0.084
0.082	12.9028	25.5481	19.1015	2.4420e+00	0.1261	0.011	1488.69	96.699	8.7073	140.568165	6.0928	0.083
0.084	12.9031	25.5484	19.1017	2.4786e+00	0.1273	0.011	1488.69	96.695	8.7068	140.568166	6.0925	0.084
0.084	12.9032	25.5485	19.1018	2.5275e+00	0.1261	0.015	1488.69	96.690	8.7063	140.568166	6.0922	0.084
0.084	12.9029	25.5487	19.1020	2.5397e+00	0.1261	0.015	1488.69	96.685	8.7060	140.568166	6.0919	0.084
0.082	12.9029	25.5487	19.1020	2.5275e+00	0.1261	0.015	1488.69	96.681	8.7056	140.568167	6.0916	0.083
0.084	12.9032	25.5485	19.1018	2.5153e+00	0.1273	0.015	1488.69	96.677	8.7052	140.568167	6.0914	0.084
0.096	12.9031	25.5486	19.1019	2.4908e+00	0.1261	0.011	1488.69	96.673	8.7049	140.568168	6.0912	0.097
0.084	12.9037	25.5480	19.1012	2.4664e+00	0.1261	0.011	1488.69	96.670	8.7044	140.568168	6.0909	0.084
0.082	12.9039	25.5473	19.1007	2.4664e+00	0.1261	0.015	1488.69	96.666	8.7041	140.568169	6.0907	0.083
0.084	12.9037	25.5477	19.1011	2.4664e+00	0.1261	0.015	1488.69	96.663	8.7039	140.568169	6.0905	0.084
0.084	12.9036	25.5480	19.1013	2.4908e+00	0.1261	0.015	1488.69	96.661	8.7037	140.568170	6.0903	0.084
0.084	12.9036	25.5480	19.1013	2.5153e+00	0.1273	0.011	1488.69	96.658	8.7034	140.568170	6.0901	0.084
0.082	12.9037	25.5477	19.1010	2.5397e+00	0.1273	0.015	1488.69	96.596	8.6978	140.568171	6.0862	0.083
0.084	12.9041	25.5478	19.1011	2.5397e+00	0.1261	0.015	1488.69	96.588	8.6971	140.568171	6.0857	0.084
0.096	12.9037	25.5482	19.1014	2.5397e+00	0.1273	0.015	1488.69	96.582	8.6965	140.568172	6.0853	0.097
0.072	12.9039	25.5478	19.1011	2.5397e+00	0.1261	0.015	1488.69	96.575	8.6959	140.568172	6.0848	0.073
0.082	12.9036	25.5478	19.1012	2.5397e+00	0.1273	0.011	1488.69	96.569	8.6954	140.568173	6.0845	0.083
0.084	12.9039	25.5475	19.1009	2.5275e+00	0.1261	0.015	1488.69	96.623	8.7002	140.568173	6.0879	0.084
0.084	12.9037	25.5474	19.1008	2.5153e+00	0.1273	0.011	1488.69	96.563	8.6949	140.568174	6.0842	0.084
0.084	12.9039	25.5474	19.1008	2.5031e+00	0.1261	0.015	1488.69	96.558	8.6944	140.568174	6.0838	0.084
0.082	12.9036	25.5474	19.1008	2.4786e+00	0.1261	0.015	1488.69	96.554	8.6941	140.568175	6.0836	0.083
0.084	12.9036	25.5476	19.1010	2.4664e+00	0.1273	0.015	1488.69	96.550	8.6937	140.568175	6.0833	0.084
0.084	12.9037	25.5470	19.1005	2.4786e+00	0.1261	0.011	1488.69	96.546	8.6934	140.568176	6.0831	0.084
