DepSM	T090C	Sal00	Sigma-t00	FlSP	WetStar	SeaTurbMtr	SvCM	Sbeox0PS	Sbeox0Mg/L	TimeJ	Sbeox0ML/L	PrDM
0.606	13.5823	25.6353	19.0432	3.9805e+00	0.1237	0.011	1491.11	89.172	7.9117	140.444479	5.5361	0.612
0.606	13.5828	25.6352	19.0430	3.9316e+00	0.1249	0.015	1491.11	89.291	7.9221	140.444480	5.5434	0.612
0.617	13.5825	25.6354	19.0433	3.8462e+00	0.1237	0.015	1491.11	89.420	7.9337	140.444480	5.5515	0.623
0.617	13.5821	25.6356	19.0434	3.7851e+00	0.1249	0.015	1491.11	89.620	7.9514	140.444481	5.5639	0.623
0.606	13.5823	25.6353	19.0432	3.7363e+00	0.1237	0.015	1491.11	89.774	7.9651	140.444481	5.5735	0.612
0.630	13.5821	25.6347	19.0427	3.6874e+00	0.1249	0.015	1491.11	89.997	7.9849	140.444482	5.5874	0.636
0.617	13.5818	25.6347	19.0428	3.6630e+00	0.1249	0.015	1491.11	90.174	8.0007	140.444482	5.5984	0.623
0.630	13.5818	25.6347	19.0429	3.6630e+00	0.1249	0.011	1491.11	90.359	8.0171	140.444483	5.6099	0.636
0.630	13.5815	25.6345	19.0427	3.6752e+00	0.1249	0.015	1491.11	90.611	8.0395	140.444483	5.6256	0.636
0.630	13.5809	25.6348	19.0430	3.7118e+00	0.1237	0.015	1491.11	90.874	8.0630	140.444484	5.6420	0.636
0.606	13.5807	25.6347	19.0431	3.7851e+00	0.1249	0.011	1491.11	91.090	8.0821	140.444484	5.6554	0.612
0.617	13.5803	25.6349	19.0433	3.8706e+00	0.1237	0.011	1491.11	91.370	8.1071	140.444484	5.6729	0.623
0.606	13.5803	25.6351	19.0434	3.9438e+00	0.1249	0.011	1491.11	91.602	8.1276	140.444485	5.6872	0.612
0.606	13.5803	25.6347	19.0431	3.9683e+00	0.1237	0.011	1491.11	91.837	8.1485	140.444485	5.7018	0.612
0.606	13.5800	25.6349	19.0433	3.9805e+00	0.1249	0.015	1491.10	92.077	8.1698	140.444486	5.7168	0.612
0.582	13.5797	25.6347	19.0433	3.9683e+00	0.1249	0.011	1491.10	92.379	8.1967	140.444486	5.7356	0.587
0.593	13.5788	25.6342	19.0430	3.9194e+00	0.1249	0.015	1491.10	92.571	8.2139	140.444487	5.7476	0.599
0.582	13.5772	25.6343	19.0434	3.8584e+00	0.1249	0.011	1491.09	92.879	8.2415	140.444487	5.7669	0.587
0.570	13.5760	25.6350	19.0441	3.7851e+00	0.1249	0.015	1491.09	93.135	8.2643	140.444488	5.7829	0.576
0.559	13.5760	25.6353	19.0444	3.7118e+00	0.1249	0.015	1491.09	93.332	8.2818	140.444488	5.7951	0.564
0.559	13.5768	25.6353	19.0442	3.6630e+00	0.1249	0.011	1491.09	93.644	8.3094	140.444489	5.8144	0.564
0.557	13.5785	25.6347	19.0435	3.6386e+00	0.1249	0.011	1491.10	93.843	8.3268	140.444489	5.8266	0.563
0.546	13.5797	25.6343	19.0429	3.6264e+00	0.1237	0.015	1491.10	94.156	8.3543	140.444490	5.8459	0.551
0.546	13.5803	25.6345	19.0430	3.6142e+00	0.1249	0.011	1491.10	94.414	8.3771	140.444490	5.8618	0.551
0.546	13.5805	25.6346	19.0430	3.6020e+00	0.1249	0.015	1491.10	94.612	8.3947	140.444491	5.8741	0.551
0.545	13.5808	25.6342	19.0426	3.5897e+00	0.1249	0.015	1491.11	94.803	8.4116	140.444491	5.8859	0.550
0.535	13.5807	25.6340	19.0425	3.6142e+00	0.1249	0.011	1491.10	95.047	8.4333	140.444492	5.9011	0.540
0.546	13.5808	25.6332	19.0419	3.6386e+00	0.1237	0.015	1491.10	95.349	8.4600	140.444492	5.9198	0.551
0.522	13.5809	25.6328	19.0415	3.6752e+00	0.1249	0.015	1491.10	95.534	8.4765	140.444493	5.9313	0.527
0.546	13.5805	25.6330	19.0418	3.6874e+00	0.1249	0.011	1491.10	95.771	8.4976	140.444493	5.9461	0.551
0.533	13.5806	25.6329	19.0417	3.6996e+00	0.1249	0.011	1491.10	95.945	8.5130	140.444494	5.9569	0.538
0.546	13.5802	25.6334	19.0421	3.7363e+00	0.1249	0.011	1491.10	96.170	8.5330	140.444494	5.9709	0.551
0.535	13.5797	25.6338	19.0426	3.7729e+00	0.1249	0.011	1491.10	96.391	8.5527	140.444495	5.9847	0.540
0.546	13.5793	25.6342	19.0429	3.8095e+00	0.1249	0.011	1491.10	96.548	8.5667	140.444495	5.9945	0.551
0.557	13.5793	25.6337	19.0425	3.8462e+00	0.1249	0.015	1491.10	96.755	8.5850	140.444496	6.0073	0.563
0.546	13.5791	25.6342	19.0430	3.8706e+00	0.1237	0.011	1491.10	96.896	8.5976	140.444496	6.0161	0.551
0.546	13.5791	25.6350	19.0436	3.8584e+00	0.1249	0.011	1491.10	97.087	8.6145	140.444497	6.0279	0.551
0.559	13.5797	25.6349	19.0434	3.8584e+00	0.1249	0.015	1491.10	97.213	8.6256	140.444497	6.0357	0.564
0.546	13.5798	25.6348	19.0433	3.8584e+00	0.1249	0.015	1491.10	97.327	8.6357	140.444497	6.0427	0.551
0.569	13.5803	25.6342	19.0427	3.8706e+00	0.1249	0.011	1491.10	97.429	8.6447	140.444498	6.0491	0.574
0.559	13.5805	25.6342	19.0427	3.8828e+00	0.1249	0.011	1491.10	97.520	8.6527	140.444498	6.0547	0.564
0.570	13.5800	25.6345	19.0430	3.9072e+00	0.1249	0.011	1491.10	97.658	8.6651	140.444499	6.0633	0.576
0.570	13.5798	25.6345	19.0431	3.9438e+00	0.1249	0.015	1491.10	97.730	8.6714	140.444499	6.0677	0.576
0.570	13.5802	25.6348	19.0432	3.9560e+00	0.1249	0.015	1491.10	97.788	8.6765	140.444500	6.0713	0.576
0.569	13.5798	25.6354	19.0438	3.9438e+00	0.1249	0.015	1491.10	97.834	8.6806	140.444500	6.0742	0.574
0.582	13.5797	25.6353	19.0437	3.9194e+00	0.1249	0.011	1491.10	97.866	8.6835	140.444501	6.0762	0.587
0.570	13.5795	25.6352	19.0436	3.9072e+00	0.1249	0.011	1491.10	97.885	8.6852	140.444501	6.0774	0.576
0.595	13.5795	25.6354	19.0438	3.9072e+00	0.1249	0.015	1491.10	97.891	8.6857	140.444502	6.0778	0.600
0.582	13.5791	25.6357	19.0441	3.9194e+00	0.1249	0.015	1491.10	97.882	8.6850	140.444502	6.0772	0.587
0.582	13.5788	25.6357	19.0442	3.9438e+00	0.1249	0.011	1491.10	97.859	8.6830	140.444503	6.0759	0.587
0.582	13.5786	25.6354	19.0440	3.9805e+00	0.1249	0.015	1491.10	97.833	8.6808	140.444503	6.0743	0.587
0.582	13.5790	25.6347	19.0433	4.0415e+00	0.1249	0.011	1491.10	97.804	8.6782	140.444504	6.0725	0.587
0.595	13.5786	25.6348	19.0435	4.0781e+00	0.1249	0.011	1491.10	97.779	8.6760	140.444504	6.0710	0.600
0.582	13.5786	25.6346	19.0433	4.1026e+00	0.1249	0.015	1491.10	97.751	8.6736	140.444505	6.0693	0.587
