DepSM	T090C	Sal00	Sigma-t00	FlSP	WetStar	SeaTurbMtr	SvCM	Sbeox0PS	Sbeox0Mg/L	TimeJ	Sbeox0ML/L	PrDM
0.088	13.5575	25.2245	18.7313	4.0415e+00	0.1261	0.011	1490.54	77.871	6.9302	140.654352	4.8494	0.089
0.086	13.5575	25.2244	18.7312	4.0659e+00	0.1261	0.011	1490.54	78.168	6.9567	140.654352	4.8679	0.087
0.088	13.5574	25.2245	18.7313	4.0904e+00	0.1261	0.015	1490.54	78.492	6.9855	140.654353	4.8881	0.089
0.088	13.5573	25.2245	18.7313	4.1026e+00	0.1261	0.011	1490.54	78.841	7.0166	140.654353	4.9098	0.089
0.064	13.5571	25.2249	18.7317	4.1026e+00	0.1273	0.011	1490.54	79.155	7.0445	140.654354	4.9293	0.064
0.086	13.5574	25.2246	18.7313	4.1026e+00	0.1261	0.011	1490.54	79.545	7.0793	140.654354	4.9537	0.087
0.088	13.5580	25.2241	18.7309	4.0781e+00	0.1273	0.011	1490.54	79.958	7.1159	140.654355	4.9793	0.089
0.075	13.5575	25.2246	18.7314	4.0781e+00	0.1273	0.015	1490.54	80.391	7.1545	140.654355	5.0063	0.076
0.075	13.5572	25.2247	18.7315	4.0904e+00	0.1273	0.011	1490.54	80.785	7.1896	140.654356	5.0309	0.076
0.062	13.5568	25.2247	18.7316	4.1148e+00	0.1261	0.011	1490.54	81.251	7.2311	140.654356	5.0599	0.063
0.075	13.5567	25.2249	18.7317	4.1514e+00	0.1261	0.015	1490.54	81.735	7.2742	140.654357	5.0901	0.076
0.064	13.5567	25.2248	18.7317	4.1514e+00	0.1273	0.011	1490.54	82.116	7.3082	140.654357	5.1138	0.064
0.062	13.5565	25.2245	18.7314	4.1148e+00	0.1261	0.011	1490.54	82.681	7.3585	140.654358	5.1490	0.063
0.064	13.5564	25.2244	18.7314	4.0781e+00	0.1261	0.011	1490.53	83.146	7.3999	140.654358	5.1780	0.064
0.064	13.5564	25.2244	18.7314	4.0659e+00	0.1261	0.011	1490.53	83.620	7.4421	140.654359	5.2075	0.064
0.064	13.5563	25.2245	18.7315	4.0293e+00	0.1261	0.015	1490.53	84.101	7.4848	140.654359	5.2374	0.064
0.062	13.5564	25.2244	18.7314	4.0171e+00	0.1261	0.011	1490.53	84.647	7.5335	140.654360	5.2715	0.063
0.052	13.5564	25.2244	18.7314	4.0171e+00	0.1261	0.011	1490.53	85.144	7.5777	140.654360	5.3024	0.053
0.064	13.5566	25.2246	18.7315	4.0049e+00	0.1273	0.011	1490.54	85.645	7.6223	140.654361	5.3336	0.064
0.064	13.5567	25.2248	18.7316	4.0293e+00	0.1261	0.011	1490.54	86.150	7.6672	140.654361	5.3650	0.064
0.062	13.5569	25.2248	18.7316	4.0659e+00	0.1273	0.011	1490.54	86.657	7.7122	140.654361	5.3966	0.063
0.064	13.5572	25.2245	18.7313	4.1148e+00	0.1261	0.011	1490.54	87.165	7.7574	140.654362	5.4282	0.064
0.064	13.5575	25.2244	18.7312	4.1392e+00	0.1273	0.011	1490.54	87.674	7.8027	140.654362	5.4598	0.064
0.064	13.5572	25.2245	18.7313	4.1392e+00	0.1261	0.011	1490.54	88.123	7.8426	140.654363	5.4878	0.064
0.073	13.5573	25.2245	18.7313	4.1392e+00	0.1261	0.015	1490.54	88.624	7.8873	140.654363	5.5191	0.074
0.075	13.5575	25.2244	18.7312	4.1148e+00	0.1261	0.011	1490.54	89.124	7.9317	140.654364	5.5501	0.076
0.075	13.5580	25.2240	18.7308	4.0904e+00	0.1261	0.011	1490.54	89.620	7.9758	140.654364	5.5810	0.076
0.075	13.5579	25.2241	18.7309	4.0659e+00	0.1261	0.011	1490.54	90.053	8.0144	140.654365	5.6080	0.076
0.073	13.5582	25.2242	18.7309	4.0537e+00	0.1261	0.011	1490.54	90.476	8.0520	140.654365	5.6343	0.074
0.088	13.5585	25.2240	18.7307	4.0537e+00	0.1273	0.011	1490.54	90.948	8.0940	140.654366	5.6637	0.089
0.088	13.5584	25.2239	18.7306	4.0537e+00	0.1261	0.011	1490.54	91.355	8.1301	140.654366	5.6890	0.089
0.038	13.5584	25.2239	18.7306	4.0537e+00	0.1273	0.011	1490.54	91.807	8.1704	140.654367	5.7172	0.038
0.110	13.5583	25.2241	18.7308	4.0415e+00	0.1273	0.011	1490.54	92.195	8.2049	140.654367	5.7413	0.112
0.075	13.5579	25.2244	18.7312	4.0415e+00	0.1261	0.011	1490.54	92.566	8.2380	140.654368	5.7645	0.076
0.088	13.5580	25.2240	18.7308	4.0293e+00	0.1261	0.011	1490.54	92.983	8.2751	140.654368	5.7905	0.089
0.073	13.5582	25.2238	18.7306	4.0171e+00	0.1261	0.011	1490.54	93.331	8.3060	140.654369	5.8121	0.074
0.075	13.5580	25.2239	18.7307	4.0171e+00	0.1261	0.011	1490.54	93.662	8.3355	140.654369	5.8327	0.076
0.075	13.5584	25.2236	18.7304	4.0293e+00	0.1261	0.011	1490.54	93.917	8.3581	140.654370	5.8485	0.076
0.075	13.5578	25.2242	18.7310	4.0537e+00	0.1261	0.011	1490.54	94.208	8.3842	140.654370	5.8668	0.076
0.062	13.5580	25.2237	18.7306	4.1148e+00	0.1273	0.011	1490.54	94.482	8.4085	140.654371	5.8838	0.063
0.075	13.5582	25.2240	18.7308	4.1636e+00	0.1261	0.011	1490.54	94.736	8.4311	140.654371	5.8996	0.076
0.052	13.5577	25.2248	18.7314	4.1636e+00	0.1261	0.011	1490.54	94.971	8.4521	140.654372	5.9143	0.053
0.064	13.5580	25.2244	18.7311	4.1636e+00	0.1261	0.011	1490.54	95.187	8.4712	140.654372	5.9276	0.064
0.062	13.5575	25.2247	18.7314	4.1270e+00	0.1273	0.011	1490.54	95.322	8.4833	140.654373	5.9361	0.063
0.052	13.5572	25.2249	18.7317	4.0659e+00	0.1273	0.011	1490.54	95.489	8.4982	140.654373	5.9466	0.053
0.052	13.5574	25.2248	18.7315	4.0659e+00	0.1273	0.011	1490.54	95.635	8.5112	140.654374	5.9556	0.053
0.052	13.5574	25.2246	18.7314	4.0659e+00	0.1261	0.011	1490.54	95.698	8.5168	140.654374	5.9596	0.053
