DepSM	T090C	Sal00	Sigma-t00	FlSP	WetStar	SeaTurbMtr	SvCM	Sbeox0PS	Sbeox0Mg/L	TimeJ	Sbeox0ML/L	PrDM
0.111	12.0708	26.0578	19.6432	5.2625e+00	0.1261	0.011	1486.41	82.769	7.5615	140.639433	5.2911	0.112
0.100	12.0739	26.0552	19.6406	5.2259e+00	0.1261	0.011	1486.42	83.069	7.5884	140.639433	5.3099	0.101
0.111	12.0743	26.0551	19.6405	5.2381e+00	0.1261	0.011	1486.42	83.277	7.6074	140.639434	5.3232	0.112
0.098	12.0721	26.0562	19.6417	5.3114e+00	0.1261	0.011	1486.41	83.560	7.6336	140.639434	5.3415	0.099
0.111	12.0698	26.0577	19.6433	5.3968e+00	0.1261	0.011	1486.41	83.864	7.6617	140.639435	5.3612	0.112
0.100	12.0682	26.0583	19.6440	5.4335e+00	0.1261	0.011	1486.40	84.128	7.6860	140.639435	5.3782	0.101
0.100	12.0677	26.0584	19.6442	5.4335e+00	0.1261	0.011	1486.40	84.464	7.7168	140.639436	5.3998	0.101
0.098	12.0662	26.0594	19.6452	5.4335e+00	0.1261	0.011	1486.40	84.819	7.7494	140.639436	5.4226	0.099
0.111	12.0634	26.0606	19.6466	5.4701e+00	0.1261	0.011	1486.39	85.190	7.7838	140.639437	5.4466	0.112
0.100	12.0621	26.0607	19.6469	5.5067e+00	0.1261	0.011	1486.38	85.518	7.8139	140.639437	5.4677	0.101
0.100	12.0617	26.0607	19.6470	5.5678e+00	0.1261	0.011	1486.38	85.914	7.8502	140.639438	5.4931	0.101
0.111	12.0613	26.0610	19.6473	5.6166e+00	0.1261	0.011	1486.38	86.266	7.8823	140.639438	5.5156	0.112
0.100	12.0617	26.0607	19.6470	5.6654e+00	0.1261	0.011	1486.38	86.684	7.9205	140.639439	5.5423	0.101
0.111	12.0631	26.0593	19.6457	5.6899e+00	0.1261	0.011	1486.39	87.055	7.9542	140.639439	5.5659	0.112
0.100	12.0629	26.0593	19.6457	5.7143e+00	0.1261	0.011	1486.39	87.432	7.9887	140.639440	5.5900	0.101
0.098	12.0606	26.0607	19.6472	5.6777e+00	0.1261	0.011	1486.38	87.874	8.0294	140.639440	5.6185	0.099
0.111	12.0575	26.0630	19.6495	5.6288e+00	0.1261	0.011	1486.37	88.266	8.0657	140.639441	5.6439	0.112
0.100	12.0548	26.0651	19.6516	5.5678e+00	0.1261	0.011	1486.36	88.662	8.1022	140.639441	5.6694	0.101
0.111	12.0554	26.0652	19.6516	5.4823e+00	0.1261	0.011	1486.37	89.060	8.1385	140.639442	5.6949	0.112
0.111	12.0562	26.0647	19.6510	5.3602e+00	0.1273	0.011	1486.37	89.461	8.1750	140.639442	5.7204	0.112
0.100	12.0567	26.0640	19.6504	5.2259e+00	0.1261	0.011	1486.37	89.862	8.2116	140.639443	5.7460	0.101
0.100	12.0568	26.0640	19.6504	5.2015e+00	0.1261	0.011	1486.37	90.264	8.2483	140.639443	5.7717	0.101
0.111	12.0575	26.0632	19.6497	5.1770e+00	0.1261	0.011	1486.37	90.665	8.2849	140.639443	5.7973	0.112
0.100	12.0580	26.0629	19.6494	5.1160e+00	0.1261	0.011	1486.37	91.066	8.3214	140.639444	5.8228	0.101
0.111	12.0580	26.0628	19.6493	5.0183e+00	0.1261	0.011	1486.37	91.465	8.3579	140.639444	5.8484	0.112
0.088	12.0588	26.0624	19.6488	4.9573e+00	0.1261	0.011	1486.37	91.861	8.3940	140.639445	5.8736	0.089
0.098	12.0596	26.0619	19.6483	4.9451e+00	0.1261	0.011	1486.38	92.195	8.4243	140.639445	5.8948	0.099
0.100	12.0596	26.0616	19.6481	4.9206e+00	0.1273	0.011	1486.38	92.578	8.4594	140.639446	5.9194	0.101
0.100	12.0594	26.0613	19.6479	4.9573e+00	0.1261	0.011	1486.38	92.958	8.4941	140.639446	5.9437	0.101
0.100	12.0575	26.0623	19.6490	5.0794e+00	0.1261	0.011	1486.37	93.332	8.5287	140.639447	5.9679	0.101
0.098	12.0570	26.0628	19.6495	5.1404e+00	0.1273	0.011	1486.37	93.701	8.5624	140.639447	5.9915	0.099
0.088	12.0580	26.0624	19.6490	5.2137e+00	0.1261	0.011	1486.37	94.002	8.5898	140.639448	6.0106	0.089
0.100	12.0590	26.0624	19.6488	5.3114e+00	0.1261	0.011	1486.38	94.351	8.6215	140.639448	6.0328	0.101
0.088	12.0590	26.0636	19.6498	5.4090e+00	0.1261	0.011	1486.38	94.632	8.6471	140.639449	6.0507	0.089
0.087	12.0600	26.0633	19.6493	5.4701e+00	0.1261	0.011	1486.38	94.958	8.6767	140.639449	6.0715	0.088
0.100	12.0611	26.0629	19.6488	5.4701e+00	0.1261	0.011	1486.38	95.276	8.7055	140.639450	6.0916	0.101
0.088	12.0623	26.0624	19.6482	5.3968e+00	0.1261	0.011	1486.39	95.523	8.7280	140.639450	6.1073	0.089
0.100	12.0634	26.0623	19.6479	5.2991e+00	0.1261	0.011	1486.39	95.815	8.7544	140.639451	6.1258	0.101
0.087	12.0629	26.0624	19.6481	5.2259e+00	0.1261	0.011	1486.39	96.095	8.7801	140.639451	6.1438	0.088
0.100	12.0619	26.0633	19.6490	5.1648e+00	0.1273	0.011	1486.39	96.305	8.7994	140.639452	6.1573	0.101
0.100	12.0632	26.0634	19.6488	5.0916e+00	0.1261	0.011	1486.39	96.555	8.8220	140.639452	6.1731	0.101
