DepSM	T090C	Sal00	Sigma-t00	FlSP	WetStar	SeaTurbMtr	SvCM	Sbeox0PS	Sbeox0Mg/L	TimeJ	Sbeox0ML/L	PrDM
0.028	15.1515	22.0710	16.0009	1.2991e+01	0.1249	0.011	1492.17	90.687	7.9630	140.477674	5.5720	0.028
0.026	15.1498	22.0700	16.0004	1.3089e+01	0.1249	0.011	1492.16	91.160	8.0049	140.477674	5.6013	0.027
0.028	15.1493	22.0704	16.0008	1.3138e+01	0.1249	0.011	1492.16	91.613	8.0447	140.477675	5.6292	0.028
0.028	15.1491	22.0733	16.0031	1.3162e+01	0.1249	0.011	1492.16	92.158	8.0925	140.477675	5.6626	0.028
0.017	15.1491	22.0754	16.0047	1.3150e+01	0.1249	0.007	1492.16	92.680	8.1382	140.477676	5.6946	0.017
0.015	15.1492	22.0754	16.0047	1.3175e+01	0.1249	0.011	1492.16	93.290	8.1917	140.477676	5.7321	0.015
0.028	15.1489	22.0729	16.0029	1.3223e+01	0.1249	0.011	1492.16	93.933	8.2484	140.477677	5.7717	0.028
0.017	15.1488	22.0695	16.0003	1.3309e+01	0.1249	0.011	1492.16	94.607	8.3077	140.477677	5.8133	0.017
0.015	15.1483	22.0652	15.9971	1.3358e+01	0.1249	0.011	1492.15	95.310	8.3698	140.477677	5.8567	0.015
0.028	15.1480	22.0609	15.9938	1.3419e+01	0.1249	0.011	1492.14	95.982	8.4291	140.477678	5.8982	0.028
-0.008	15.1481	22.0568	15.9906	1.3504e+01	0.1249	0.011	1492.14	96.733	8.4952	140.477678	5.9445	-0.008
0.041	15.1480	22.0538	15.9884	1.3578e+01	0.1249	0.007	1492.14	97.510	8.5637	140.477679	5.9923	0.041
0.015	15.1481	22.0522	15.9871	1.3626e+01	0.1237	0.007	1492.13	98.309	8.6339	140.477679	6.0415	0.015
0.017	15.1478	22.0512	15.9864	1.3651e+01	0.1249	0.011	1492.13	99.070	8.7008	140.477680	6.0883	0.017
0.005	15.1476	22.0512	15.9865	1.3687e+01	0.1249	0.007	1492.13	99.904	8.7741	140.477680	6.1396	0.005
0.017	15.1476	22.0516	15.9868	1.3748e+01	0.1249	0.011	1492.13	100.697	8.8438	140.477681	6.1883	0.017
0.004	15.1475	22.0516	15.9868	1.3846e+01	0.1249	0.011	1492.13	101.561	8.9196	140.477681	6.2414	0.004
0.017	15.1471	22.0523	15.9874	1.3944e+01	0.1237	0.011	1492.13	102.380	8.9916	140.477682	6.2918	0.017
0.005	15.1469	22.0531	15.9880	1.4029e+01	0.1249	0.007	1492.13	103.207	9.0642	140.477682	6.3426	0.005
0.005	15.1466	22.0527	15.9878	1.4090e+01	0.1249	0.011	1492.13	104.041	9.1375	140.477683	6.3939	0.005
0.015	15.1464	22.0525	15.9877	1.4115e+01	0.1249	0.007	1492.13	104.880	9.2113	140.477683	6.4455	0.015
0.005	15.1469	22.0509	15.9864	1.4066e+01	0.1249	0.011	1492.13	105.722	9.2852	140.477684	6.4973	0.005
0.005	15.1471	22.0496	15.9853	1.3980e+01	0.1249	0.007	1492.13	106.567	9.3594	140.477684	6.5492	0.005
0.015	15.1478	22.0484	15.9842	1.3907e+01	0.1249	0.007	1492.13	107.412	9.4336	140.477685	6.6011	0.015
0.005	15.1481	22.0469	15.9831	1.3932e+01	0.1249	0.011	1492.13	108.197	9.5026	140.477685	6.6493	0.005
0.005	15.1485	22.0457	15.9820	1.4005e+01	0.1237	0.007	1492.13	109.034	9.5761	140.477686	6.7008	0.005
0.005	15.1493	22.0441	15.9807	1.4054e+01	0.1249	0.007	1492.13	109.808	9.6440	140.477686	6.7483	0.005
0.004	15.1500	22.0423	15.9792	1.4066e+01	0.1249	0.007	1492.13	110.631	9.7163	140.477687	6.7989	0.004
0.017	15.1500	22.0408	15.9781	1.4078e+01	0.1249	0.011	1492.13	111.389	9.7829	140.477687	6.8455	0.017
0.005	15.1501	22.0402	15.9776	1.4127e+01	0.1249	0.011	1492.13	112.134	9.8484	140.477688	6.8913	0.005
0.017	15.1507	22.0402	15.9774	1.4200e+01	0.1249	0.011	1492.13	112.865	9.9125	140.477688	6.9362	0.017
0.015	15.1515	22.0402	15.9773	1.4237e+01	0.1261	0.011	1492.13	113.521	9.9700	140.477689	6.9764	0.015
0.005	15.1516	22.0420	15.9786	1.4261e+01	0.1249	0.007	1492.13	114.216	10.0308	140.477689	7.0189	0.005
0.028	15.1520	22.0432	15.9795	1.4249e+01	0.1249	0.011	1492.14	114.833	10.0849	140.477690	7.0568	0.028
0.004	15.1521	22.0441	15.9801	1.4249e+01	0.1249	0.011	1492.14	115.486	10.1421	140.477690	7.0968	0.004
0.017	15.1523	22.0451	15.9809	1.4274e+01	0.1249	0.007	1492.14	116.060	10.1924	140.477690	7.1320	0.017
0.028	15.1515	22.0473	15.9827	1.4335e+01	0.1249	0.011	1492.14	116.608	10.2406	140.477691	7.1658	0.028
0.017	15.1510	22.0492	15.9843	1.4408e+01	0.1249	0.007	1492.14	117.129	10.2863	140.477691	7.1978	0.017
0.015	15.1501	22.0504	15.9854	1.4457e+01	0.1249	0.011	1492.14	117.562	10.3245	140.477692	7.2245	0.015
0.028	15.1523	22.0498	15.9845	1.4493e+01	0.1249	0.007	1492.15	118.079	10.3694	140.477692	7.2559	0.028
