DepSM	T090C	Sal00	Sigma-t00	FlSP	WetStar	SeaTurbMtr	SvCM	Sbeox0PS	Sbeox0Mg/L	TimeJ	Sbeox0ML/L	PrDM
0.013	12.6756	25.8906	19.4071	3.6142e+00	0.1261	0.015	1488.31	71.047	6.4144	140.683773	4.4884	0.013
0.013	12.6753	25.8910	19.4074	3.6264e+00	0.1273	0.015	1488.31	71.107	6.4199	140.683774	4.4922	0.013
0.026	12.6753	25.8909	19.4073	3.6386e+00	0.1261	0.011	1488.31	71.232	6.4312	140.683774	4.5001	0.026
0.011	12.6753	25.8907	19.4072	3.6386e+00	0.1261	0.011	1488.31	71.308	6.4380	140.683775	4.5049	0.011
0.026	12.6753	25.8903	19.4068	3.6386e+00	0.1261	0.015	1488.31	71.448	6.4507	140.683775	4.5138	0.026
0.013	12.6758	25.8898	19.4064	3.6508e+00	0.1261	0.015	1488.31	71.599	6.4642	140.683776	4.5233	0.013
0.026	12.6768	25.8893	19.4058	3.6142e+00	0.1261	0.015	1488.32	71.699	6.4732	140.683776	4.5295	0.026
0.024	12.6773	25.8892	19.4056	3.5653e+00	0.1249	0.015	1488.32	71.922	6.4933	140.683777	4.5436	0.024
0.026	12.6777	25.8890	19.4054	3.5531e+00	0.1261	0.011	1488.32	72.160	6.5147	140.683777	4.5586	0.026
0.037	12.6777	25.8889	19.4054	3.5409e+00	0.1261	0.011	1488.32	72.411	6.5373	140.683777	4.5744	0.037
0.026	12.6777	25.8886	19.4051	3.5165e+00	0.1261	0.015	1488.32	72.615	6.5558	140.683778	4.5874	0.026
0.035	12.6770	25.8891	19.4057	3.5165e+00	0.1261	0.015	1488.32	72.946	6.5857	140.683778	4.6083	0.036
0.037	12.6764	25.8890	19.4056	3.5409e+00	0.1273	0.015	1488.31	73.234	6.6118	140.683779	4.6265	0.037
0.050	12.6756	25.8892	19.4059	3.5653e+00	0.1261	0.015	1488.31	73.592	6.6442	140.683779	4.6492	0.050
0.035	12.6746	25.8902	19.4069	3.5775e+00	0.1249	0.011	1488.31	73.906	6.6727	140.683780	4.6691	0.036
0.050	12.6745	25.8899	19.4067	3.6142e+00	0.1261	0.011	1488.31	74.289	6.7073	140.683780	4.6933	0.050
0.050	12.6758	25.8896	19.4062	3.6508e+00	0.1261	0.015	1488.31	74.685	6.7429	140.683781	4.7183	0.050
0.050	12.6751	25.8903	19.4069	3.6264e+00	0.1261	0.011	1488.31	75.095	6.7799	140.683781	4.7442	0.050
0.060	12.6729	25.8913	19.4081	3.5775e+00	0.1261	0.011	1488.31	75.457	6.8129	140.683782	4.7672	0.060
0.061	12.6715	25.8915	19.4085	3.5409e+00	0.1261	0.015	1488.30	75.883	6.8516	140.683782	4.7944	0.062
0.061	12.6710	25.8917	19.4087	3.5531e+00	0.1261	0.011	1488.30	76.380	6.8966	140.683783	4.8258	0.062
0.050	12.6705	25.8921	19.4091	3.5897e+00	0.1273	0.015	1488.30	76.832	6.9374	140.683783	4.8544	0.050
0.060	12.6705	25.8922	19.4092	3.6020e+00	0.1261	0.011	1488.30	77.292	6.9789	140.683784	4.8835	0.060
0.061	12.6700	25.8923	19.4094	3.5897e+00	0.1261	0.015	1488.30	77.819	7.0266	140.683784	4.9168	0.062
0.061	12.6706	25.8920	19.4090	3.5775e+00	0.1261	0.015	1488.30	78.298	7.0697	140.683785	4.9470	0.062
0.050	12.6716	25.8917	19.4086	3.5653e+00	0.1261	0.011	1488.30	78.841	7.1186	140.683785	4.9812	0.050
0.048	12.6728	25.8914	19.4082	3.5409e+00	0.1261	0.015	1488.30	79.334	7.1630	140.683786	5.0122	0.049
0.050	12.6749	25.8909	19.4074	3.5287e+00	0.1261	0.011	1488.31	79.890	7.2128	140.683786	5.0471	0.050
0.037	12.6783	25.8896	19.4058	3.5409e+00	0.1261	0.015	1488.32	80.452	7.2632	140.683787	5.0823	0.037
0.050	12.6804	25.8889	19.4048	3.5531e+00	0.1261	0.015	1488.33	80.961	7.3089	140.683787	5.1143	0.050
0.024	12.6807	25.8888	19.4047	3.5775e+00	0.1261	0.015	1488.33	81.530	7.3601	140.683788	5.1502	0.024
0.037	12.6814	25.8889	19.4047	3.5897e+00	0.1261	0.011	1488.33	82.043	7.4064	140.683788	5.1825	0.037
0.050	12.6821	25.8880	19.4039	3.5897e+00	0.1261	0.011	1488.33	82.613	7.4578	140.683789	5.2185	0.050
0.035	12.6819	25.8878	19.4037	3.5775e+00	0.1273	0.015	1488.33	83.185	7.5094	140.683789	5.2547	0.036
0.026	12.6810	25.8879	19.4040	3.5897e+00	0.1261	0.011	1488.33	83.699	7.5559	140.683790	5.2872	0.026
0.037	12.6809	25.8882	19.4043	3.6264e+00	0.1261	0.015	1488.33	84.266	7.6071	140.683790	5.3230	0.037
0.037	12.6809	25.8886	19.4045	3.6508e+00	0.1261	0.015	1488.33	84.831	7.6581	140.683791	5.3587	0.037
0.035	12.6812	25.8886	19.4045	3.6386e+00	0.1261	0.011	1488.33	85.334	7.7035	140.683791	5.3905	0.036
0.037	12.6809	25.8891	19.4049	3.5897e+00	0.1273	0.011	1488.33	85.888	7.7535	140.683791	5.4255	0.037
0.037	12.6809	25.8890	19.4049	3.5409e+00	0.1261	0.011	1488.33	86.377	7.7977	140.683792	5.4564	0.037
0.037	12.6819	25.8884	19.4042	3.4921e+00	0.1261	0.011	1488.33	86.914	7.8460	140.683792	5.4902	0.037
0.035	12.6837	25.8879	19.4035	3.4799e+00	0.1261	0.015	1488.34	87.444	7.8936	140.683793	5.5235	0.036
0.050	12.6850	25.8878	19.4032	3.4921e+00	0.1261	0.015	1488.34	87.906	7.9351	140.683793	5.5525	0.050
0.037	12.6855	25.8880	19.4032	3.4921e+00	0.1261	0.011	1488.34	88.414	7.9808	140.683794	5.5845	0.037
0.037	12.6863	25.8880	19.4031	3.4676e+00	0.1261	0.015	1488.35	88.791	8.0147	140.683794	5.6082	0.037
0.048	12.6872	25.8877	19.4027	3.4554e+00	0.1261	0.015	1488.35	89.266	8.0575	140.683795	5.6381	0.049
0.037	12.6870	25.8881	19.4031	3.4799e+00	0.1261	0.011	1488.35	89.669	8.0939	140.683795	5.6636	0.037
0.037	12.6869	25.8881	19.4031	3.4921e+00	0.1261	0.015	1488.35	89.994	8.1232	140.683796	5.6841	0.037
0.035	12.6865	25.8881	19.4032	3.5043e+00	0.1273	0.015	1488.35	90.413	8.1611	140.683796	5.7106	0.036
0.061	12.6862	25.8883	19.4033	3.4921e+00	0.1273	0.015	1488.35	90.757	8.1922	140.683797	5.7324	0.062
0.037	12.6847	25.8884	19.4037	3.4799e+00	0.1261	0.011	1488.34	91.086	8.2221	140.683797	5.7534	0.037
