DepSM	T090C	Sal00	Sigma-t00	FlSP	WetStar	SeaTurbMtr	SvCM	Sbeox0PS	Sbeox0Mg/L	TimeJ	Sbeox0ML/L	PrDM
0.107	11.1492	27.2202	20.7008	3.2723e+00	0.1261	0.015	1484.54	58.407	5.4029	140.701331	3.7806	0.108
0.118	11.1430	27.2251	20.7057	3.2601e+00	0.1261	0.015	1484.53	58.769	5.4368	140.701332	3.8044	0.119
0.107	11.1389	27.2284	20.7089	3.2601e+00	0.1261	0.015	1484.52	59.045	5.4627	140.701332	3.8225	0.108
0.107	11.1374	27.2290	20.7096	3.2479e+00	0.1261	0.015	1484.51	59.463	5.5016	140.701332	3.8497	0.108
0.107	11.1371	27.2288	20.7095	3.2234e+00	0.1261	0.015	1484.51	59.914	5.5434	140.701333	3.8789	0.108
0.107	11.1425	27.2224	20.7036	3.1746e+00	0.1261	0.015	1484.52	60.336	5.5820	140.701333	3.9059	0.108
0.095	11.1543	27.2094	20.6916	3.1502e+00	0.1273	0.011	1484.55	60.841	5.6277	140.701334	3.9380	0.096
0.107	11.1634	27.2000	20.6828	3.1746e+00	0.1261	0.015	1484.57	61.375	5.6763	140.701334	3.9720	0.108
0.107	11.1688	27.1950	20.6780	3.2112e+00	0.1261	0.011	1484.58	61.936	5.7277	140.701335	4.0079	0.108
0.107	11.1693	27.1946	20.6776	3.2357e+00	0.1261	0.015	1484.58	62.582	5.7874	140.701335	4.0497	0.108
0.107	11.1739	27.1931	20.6757	3.2234e+00	0.1261	0.011	1484.60	63.197	5.8438	140.701336	4.0892	0.108
0.119	11.1764	27.1936	20.6757	3.1990e+00	0.1261	0.015	1484.61	63.895	5.9080	140.701336	4.1341	0.121
0.107	11.1765	27.1947	20.6765	3.1502e+00	0.1261	0.015	1484.61	64.559	5.9693	140.701337	4.1770	0.108
0.107	11.1752	27.1959	20.6776	3.1380e+00	0.1261	0.011	1484.61	65.242	6.0326	140.701337	4.2212	0.108
0.107	11.1747	27.1964	20.6781	3.1502e+00	0.1261	0.011	1484.61	66.002	6.1029	140.701338	4.2704	0.108
0.107	11.1659	27.2036	20.6852	3.1868e+00	0.1261	0.011	1484.58	66.724	6.1706	140.701338	4.3178	0.108
0.119	11.1559	27.2114	20.6929	3.1990e+00	0.1261	0.011	1484.56	67.522	6.2454	140.701339	4.3701	0.121
0.107	11.1502	27.2155	20.6970	3.1990e+00	0.1273	0.011	1484.54	68.276	6.3158	140.701339	4.4194	0.108
0.107	11.1494	27.2160	20.6976	3.1990e+00	0.1261	0.015	1484.54	69.040	6.3866	140.701340	4.4689	0.108
