DepSM	T090C	Sal00	Sigma-t00	FlSP	WetStar	SeaTurbMtr	SvCM	Sbeox0PS	Sbeox0Mg/L	TimeJ	Sbeox0ML/L	PrDM
0.000	2.8527	27.3913	21.8272	4.6293e-01	0.1266	0.012	1451.90	46.454	5.2100	59.370638	3.6456	-0.000
1.000	2.8089	27.4234	21.8558	4.8229e-01	0.1267	0.013	1451.76	46.499	5.2196	59.370656	3.6523	1.010
2.000	2.7928	27.3030	21.7609	4.7529e-01	0.1271	0.014	1451.55	48.226	5.4201	59.370675	3.7927	2.019
3.000	2.9291	27.6724	22.0457	4.4905e-01	0.1272	0.015	1452.64	53.573	5.9838	59.370697	4.1871	3.028
4.000	3.1385	28.5609	22.7384	4.3195e-01	0.1276	0.016	1454.72	65.183	7.2007	59.370721	5.0386	4.038
5.000	3.1438	28.7920	22.9221	4.2704e-01	0.1277	0.015	1455.06	71.217	7.8538	59.370743	5.4956	5.047
6.000	3.1761	29.0361	23.1140	3.8397e-01	0.1276	0.050	1455.53	73.163	8.0486	59.370765	5.6319	6.057
7.000	3.2363	29.1957	23.2364	3.8148e-01	0.1276	0.063	1456.01	72.692	7.9761	59.370786	5.5812	7.067
8.000	3.2371	29.2526	23.2816	4.4104e-01	0.1277	0.066	1456.11	72.108	7.9088	59.370808	5.5341	8.076
9.000	3.3113	29.3112	23.3224	4.9874e-01	0.1277	0.070	1456.52	71.553	7.8304	59.370828	5.4793	9.086
10.000	3.4264	29.4029	23.3860	3.4884e-01	0.1276	0.067	1457.15	70.851	7.7266	59.370849	5.4066	10.095
11.000	3.4846	29.5154	23.4707	3.4049e-01	0.1276	0.064	1457.56	70.367	7.6569	59.370871	5.3579	11.104
12.000	3.6107	29.7046	23.6106	3.1880e-01	0.1277	0.063	1458.36	70.527	7.6407	59.370891	5.3465	12.114
13.000	3.7780	29.9872	23.8208	3.1100e-01	0.1277	0.061	1459.45	70.180	7.5573	59.370912	5.2882	13.124
14.000	4.0102	30.2969	24.0457	3.1341e-01	0.1278	0.059	1460.84	69.729	7.4507	59.370935	5.2136	14.133
15.000	4.4511	30.8113	24.4121	2.7761e-01	0.1278	0.061	1463.37	69.055	7.2746	59.370955	5.0903	15.143
16.000	4.7632	31.1382	24.6397	2.6456e-01	0.1280	0.070	1465.10	68.184	7.1132	59.370976	4.9774	16.152
17.000	5.4540	31.6797	24.9931	2.3756e-01	0.1279	0.064	1468.63	66.953	6.8462	59.370998	4.7906	17.162
18.000	5.9850	32.0502	25.2241	2.2151e-01	0.1280	0.060	1471.26	64.232	6.4697	59.371018	4.5271	18.172
19.000	6.2007	32.1990	25.3153	2.1053e-01	0.1279	0.056	1472.32	61.932	6.2003	59.371039	4.3386	19.181
20.000	6.4831	32.3425	25.3931	1.9800e-01	0.1278	0.052	1473.64	57.496	5.7131	59.371062	3.9977	20.191
21.000	6.6704	32.4400	25.4459	1.9513e-01	0.1278	0.049	1474.51	52.910	5.2313	59.371081	3.6606	21.200
22.000	6.7541	32.5015	25.4835	1.9534e-01	0.1280	0.048	1474.94	48.785	4.8120	59.371106	3.3671	22.210
23.000	7.0818	32.6957	25.5930	2.1086e-01	0.1288	0.043	1476.47	32.377	3.1620	59.371345	2.2126	23.220
24.000	7.0734	32.6931	25.5921	1.9314e-01	0.1289	0.043	1476.46	33.285	3.2543	59.371482	2.2772	24.229
