DepSM	T090C	Sal00	Sigma-t00	FlSP	WetStar	SeaTurbMtr	SvCM	Sbeox0PS	Sbeox0Mg/L	TimeJ	Sbeox0ML/L	PrDM
0.062	2.6635	25.8003	20.5711	4.3956e-01	0.1261	0.011	1449.00	68.787	7.8363	59.390197	5.4834	0.062
0.084	2.6634	25.7917	20.5642	4.2735e-01	0.1249	0.011	1448.99	68.787	7.8368	59.390197	5.4837	0.085
0.060	2.6632	25.7923	20.5647	4.2735e-01	0.1261	0.015	1448.99	68.723	7.8295	59.390198	5.4786	0.061
0.073	2.6628	25.7929	20.5652	4.2735e-01	0.1261	0.011	1448.99	68.715	7.8286	59.390198	5.4780	0.074
0.073	2.6620	25.7890	20.5622	4.3956e-01	0.1261	0.011	1448.98	68.643	7.8207	59.390199	5.4725	0.074
0.073	2.6617	25.7942	20.5664	4.5177e-01	0.1261	0.011	1448.99	68.562	7.8113	59.390199	5.4659	0.074
0.071	2.6612	25.7938	20.5660	4.5177e-01	0.1261	0.011	1448.98	68.537	7.8086	59.390200	5.4640	0.072
0.073	2.6613	25.7935	20.5658	4.5177e-01	0.1261	0.011	1448.98	68.449	7.7986	59.390200	5.4570	0.074
0.062	2.6611	25.8004	20.5713	4.5177e-01	0.1261	0.011	1448.99	68.354	7.7874	59.390201	5.4492	0.062
0.024	2.6612	25.7997	20.5707	4.5177e-01	0.1261	0.007	1448.99	68.315	7.7830	59.390201	5.4461	0.025
0.097	2.6609	25.8042	20.5744	4.5177e-01	0.1261	0.011	1449.00	68.215	7.7714	59.390202	5.4380	0.098
0.037	2.6609	25.8092	20.5783	4.3956e-01	0.1261	0.011	1449.00	68.170	7.7661	59.390202	5.4342	0.038
0.062	2.6607	25.8100	20.5790	4.3956e-01	0.1261	0.011	1449.00	68.065	7.7541	59.390203	5.4259	0.062
0.047	2.6611	25.8132	20.5815	4.3956e-01	0.1273	0.011	1449.01	68.017	7.7484	59.390203	5.4219	0.047
0.026	2.6606	25.8148	20.5828	4.3956e-01	0.1261	0.011	1449.01	67.908	7.7359	59.390204	5.4132	0.026
0.037	2.6603	25.8165	20.5842	4.3956e-01	0.1261	0.011	1449.01	67.793	7.7228	59.390204	5.4039	0.038
0.037	2.6601	25.8181	20.5855	4.3956e-01	0.1261	0.011	1449.01	67.672	7.7089	59.390204	5.3943	0.038
0.036	2.6600	25.8133	20.5817	4.5177e-01	0.1261	0.011	1449.00	67.609	7.7021	59.390205	5.3895	0.036
0.037	2.6600	25.8120	20.5806	4.3956e-01	0.1273	0.015	1449.00	67.487	7.6882	59.390205	5.3797	0.038
0.037	2.6595	25.8101	20.5792	4.3956e-01	0.1261	0.011	1449.00	67.423	7.6811	59.390206	5.3748	0.038
0.026	2.6596	25.8029	20.5734	4.3956e-01	0.1261	0.011	1448.99	67.299	7.6674	59.390206	5.3652	0.026
0.036	2.6598	25.8047	20.5748	4.3956e-01	0.1273	0.015	1448.99	67.235	7.6600	59.390207	5.3600	0.036
0.037	2.6586	25.8043	20.5746	4.5177e-01	0.1261	0.011	1448.98	67.112	7.6462	59.390207	5.3504	0.038
0.026	2.6540	25.8036	20.5743	4.5177e-01	0.1261	0.011	1448.96	67.049	7.6399	59.390208	5.3460	0.026
0.026	2.6505	25.8077	20.5778	4.5177e-01	0.1261	0.015	1448.95	66.927	7.6265	59.390208	5.3366	0.026
0.024	2.6468	25.8060	20.5766	4.5177e-01	0.1261	0.011	1448.93	66.801	7.6130	59.390209	5.3271	0.025
0.049	2.6429	25.8067	20.5774	4.5177e-01	0.1261	0.011	1448.92	66.736	7.6062	59.390209	5.3224	0.049
0.037	2.6401	25.8095	20.5798	4.5177e-01	0.1261	0.011	1448.91	66.612	7.5925	59.390210	5.3128	0.038
0.049	2.6356	25.8100	20.5805	4.5177e-01	0.1261	0.011	1448.89	66.485	7.5789	59.390210	5.3033	0.049
0.036	2.6319	25.8166	20.5860	4.6398e-01	0.1261	0.011	1448.88	66.419	7.5718	59.390211	5.2983	0.036
0.037	2.6300	25.8205	20.5892	4.6398e-01	0.1261	0.011	1448.88	66.296	7.5579	59.390211	5.2886	0.038
0.049	2.6274	25.8227	20.5912	4.6398e-01	0.1261	0.011	1448.87	66.235	7.5513	59.390212	5.2839	0.049
0.047	2.6262	25.8315	20.5982	4.6398e-01	0.1261	0.011	1448.88	66.116	7.5375	59.390212	5.2743	0.047
0.037	2.6248	25.8352	20.6013	4.5177e-01	0.1261	0.007	1448.87	66.059	7.5311	59.390213	5.2698	0.038
0.049	2.6245	25.8342	20.6005	4.5177e-01	0.1261	0.011	1448.87	65.946	7.5183	59.390213	5.2608	0.049
0.049	2.6271	25.8317	20.5983	4.5177e-01	0.1261	0.015	1448.88	65.894	7.5120	59.390214	5.2565	0.049
0.060	2.6293	25.8228	20.5912	4.5177e-01	0.1273	0.011	1448.88	65.787	7.4998	59.390214	5.2479	0.061
0.037	2.6310	25.8200	20.5888	4.5177e-01	0.1261	0.015	1448.88	65.678	7.4873	59.390215	5.2391	0.038
0.037	2.6331	25.8153	20.5849	4.5177e-01	0.1261	0.011	1448.89	65.632	7.4819	59.390215	5.2354	0.038
0.049	2.6335	25.8083	20.5793	4.5177e-01	0.1261	0.011	1448.88	65.532	7.4707	59.390216	5.2276	0.049
0.036	2.6330	25.8097	20.5805	4.5177e-01	0.1261	0.015	1448.88	65.494	7.4665	59.390216	5.2246	0.036
0.037	2.6317	25.8087	20.5798	4.5177e-01	0.1261	0.007	1448.87	65.402	7.4562	59.390217	5.2174	0.038
0.037	2.6299	25.8106	20.5814	4.5177e-01	0.1261	0.011	1448.87	65.310	7.4460	59.390217	5.2103	0.038
0.026	2.6279	25.8196	20.5887	4.3956e-01	0.1261	0.011	1448.87	65.282	7.4427	59.390217	5.2080	0.026
0.036	2.6264	25.8212	20.5900	4.5177e-01	0.1261	0.011	1448.86	65.264	7.4408	59.390218	5.2067	0.036
0.037	2.6251	25.8239	20.5923	4.5177e-01	0.1273	0.015	1448.86	65.191	7.4327	59.390218	5.2009	0.038
0.026	2.6246	25.8196	20.5888	4.3956e-01	0.1273	0.011	1448.85	65.119	7.4248	59.390219	5.1954	0.026
0.026	2.6255	25.8077	20.5793	4.5177e-01	0.1261	0.015	1448.84	65.112	7.4244	59.390219	5.1952	0.026
0.036	2.6271	25.8008	20.5738	4.6398e-01	0.1261	0.015	1448.84	65.051	7.4175	59.390220	5.1904	0.036
0.013	2.6273	25.7953	20.5693	4.7619e-01	0.1261	0.011	1448.83	65.056	7.4183	59.390220	5.1909	0.013
0.026	2.6239	25.7925	20.5673	4.7619e-01	0.1273	0.015	1448.82	65.008	7.4137	59.390221	5.1876	0.026
0.036	2.6176	25.7936	20.5686	4.7619e-01	0.1261	0.011	1448.79	65.017	7.4158	59.390221	5.1891	0.036
0.026	2.6110	25.7899	20.5660	4.7619e-01	0.1249	0.011	1448.76	64.973	7.4121	59.390222	5.1866	0.026
0.037	2.6103	25.7875	20.5641	4.7619e-01	0.1273	0.011	1448.75	64.920	7.4064	59.390222	5.1825	0.038
0.026	2.6117	25.7838	20.5611	4.8840e-01	0.1261	0.011	1448.75	64.923	7.4067	59.390223	5.1827	0.026
0.024	2.6117	25.7806	20.5585	4.8840e-01	0.1261	0.011	1448.75	64.874	7.4012	59.390223	5.1789	0.025
0.037	2.6108	25.7856	20.5626	4.7619e-01	0.1261	0.011	1448.75	64.880	7.4018	59.390224	5.1794	0.038
0.037	2.6048	25.7920	20.5680	4.7619e-01	0.1261	0.011	1448.73	64.888	7.4036	59.390224	5.1806	0.038
0.037	2.5915	25.8016	20.5765	4.6398e-01	0.1273	0.011	1448.68	64.844	7.4005	59.390225	5.1784	0.038
0.047	2.5828	25.8124	20.5857	4.5177e-01	0.1261	0.015	1448.66	64.791	7.3955	59.390225	5.1750	0.047
0.049	2.5768	25.8172	20.5899	4.5177e-01	0.1249	0.011	1448.64	64.803	7.3978	59.390226	5.1765	0.049
0.037	2.5742	25.8225	20.5942	4.6398e-01	0.1261	0.011	1448.63	64.752	7.3922	59.390226	5.1726	0.038
0.062	2.5765	25.8232	20.5947	4.8840e-01	0.1261	0.011	1448.65	64.766	7.3933	59.390227	5.1734	0.062
0.047	2.5782	25.8177	20.5902	4.8840e-01	0.1261	0.011	1448.65	64.717	7.3877	59.390227	5.1695	0.047
0.049	2.5800	25.8178	20.5902	5.0061e-01	0.1273	0.015	1448.65	64.724	7.3882	59.390228	5.1698	0.049
0.073	2.5817	25.8133	20.5865	4.8840e-01	0.1261	0.011	1448.66	64.732	7.3890	59.390228	5.1704	0.074
0.049	2.5836	25.8100	20.5837	4.8840e-01	0.1261	0.011	1448.66	64.686	7.3836	59.390229	5.1666	0.049
0.060	2.5850	25.8141	20.5869	4.8840e-01	0.1273	0.011	1448.67	64.696	7.3842	59.390229	5.1670	0.061
