DepSM	T090C	Sal00	Sigma-t00	FlSP	WetStar	SeaTurbMtr	SvCM	Sbeox0PS	Sbeox0Mg/L	TimeJ	Sbeox0ML/L	PrDM
0.000	2.6688	26.2988	20.9675	4.6657e-01	0.1270	0.014	1449.66	71.594	8.1233	59.390497	5.6842	0.000
1.000	2.9415	27.4127	21.8381	4.1084e-01	0.1274	0.015	1452.33	74.398	8.3242	59.390887	5.8248	1.010
2.000	2.9937	27.6801	22.0474	4.2304e-01	0.1275	0.015	1452.92	74.353	8.2930	59.390904	5.8030	2.019
3.000	3.0238	27.8335	22.1675	4.2126e-01	0.1275	0.015	1453.26	74.427	8.2863	59.390925	5.7983	3.028
4.000	3.0659	28.0427	22.3311	4.1799e-01	0.1276	0.015	1453.73	74.583	8.2832	59.390947	5.7961	4.038
5.000	3.0857	28.1779	22.4373	4.0395e-01	0.1276	0.015	1454.01	74.487	8.2609	59.390968	5.7805	5.048
6.000	3.1217	28.4040	22.6147	4.0399e-01	0.1276	0.015	1454.48	74.228	8.2121	59.390989	5.7463	6.057
7.000	3.1718	28.6765	22.8280	3.8847e-01	0.1279	0.015	1455.06	73.851	8.1450	59.391011	5.6994	7.067
8.000	3.1620	28.8124	22.9370	3.6880e-01	0.1278	0.015	1455.21	73.587	8.1104	59.391031	5.6751	8.076
9.000	3.2335	28.9291	23.0243	3.7358e-01	0.1276	0.015	1455.69	73.224	8.0497	59.391052	5.6327	9.086
10.000	3.2698	29.0444	23.1133	3.6660e-01	0.1274	0.014	1456.01	72.574	7.9647	59.391074	5.5732	10.095
11.000	3.2463	29.0193	23.0952	3.3731e-01	0.1274	0.015	1455.89	72.205	7.9302	59.391095	5.5491	11.105
12.000	3.2877	29.1071	23.1618	3.5005e-01	0.1278	0.015	1456.20	71.808	7.8738	59.391115	5.5096	12.114
13.000	3.3717	29.3116	23.3178	3.2766e-01	0.1279	0.015	1456.84	71.483	7.8110	59.391137	5.4656	13.124
14.000	3.4720	29.5018	23.4610	2.8860e-01	0.1280	0.015	1457.54	71.349	7.7669	59.391158	5.4348	14.133
15.000	3.6448	29.7720	23.6612	2.8120e-01	0.1281	0.015	1458.64	71.149	7.6982	59.391179	5.3867	15.143
16.000	3.9102	30.1400	23.9300	2.6469e-01	0.1279	0.016	1460.25	70.687	7.5798	59.391201	5.3039	16.152
17.000	4.1310	30.4081	24.1227	2.5041e-01	0.1281	0.016	1461.54	70.058	7.4582	59.391223	5.2188	17.162
18.000	4.6624	31.0316	24.5642	3.1590e-01	0.1284	0.017	1464.57	63.753	6.6719	59.391345	4.6686	18.171
19.000	5.7240	31.9855	25.2087	2.6286e-01	0.1285	0.017	1470.18	56.438	5.7084	59.391457	3.9944	19.181
