DepSM	T090C	Sal00	Sigma-t00	FlSP	WetStar	SeaTurbMtr	SvCM	Sbeox0PS	Sbeox0ML/L	TimeJ
0.205	2.9172	28.0018	22.3093	6.8376e-01	0.1285	0.026	1452.97	75.625	5.9007	59.333461
0.216	2.9169	28.0016	22.3091	6.8376e-01	0.1273	0.026	1452.97	75.625	5.9007	59.333461
0.203	2.9174	28.0006	22.3083	6.8376e-01	0.1273	0.026	1452.97	75.689	5.9056	59.333462
0.216	2.9181	27.9996	22.3075	6.5934e-01	0.1285	0.026	1452.97	75.633	5.9013	59.333462
0.216	2.9199	27.9972	22.3054	6.2271e-01	0.1285	0.026	1452.98	75.696	5.9060	59.333463
0.216	2.9217	27.9946	22.3032	5.9829e-01	0.1285	0.026	1452.98	75.704	5.9065	59.333463
0.214	2.9244	27.9917	22.3007	5.6166e-01	0.1273	0.026	1452.99	75.712	5.9068	59.333464
0.216	2.9278	27.9885	22.2979	5.4945e-01	0.1285	0.026	1453.00	75.719	5.9069	59.333464
0.216	2.9314	27.9848	22.2947	5.2503e-01	0.1273	0.026	1453.01	75.725	5.9071	59.333465
0.227	2.9352	27.9809	22.2913	5.1282e-01	0.1285	0.026	1453.02	75.731	5.9071	59.333465
0.214	2.9393	27.9769	22.2878	5.1282e-01	0.1285	0.026	1453.04	75.737	5.9071	59.333465
0.227	2.9436	27.9731	22.2845	5.1282e-01	0.1273	0.026	1453.05	75.742	5.9070	59.333466
0.205	2.9475	27.9696	22.2814	5.1282e-01	0.1285	0.026	1453.06	75.747	5.9070	59.333466
0.240	2.9515	27.9658	22.2781	5.2503e-01	0.1285	0.026	1453.08	75.751	5.9069	59.333467
0.214	2.9552	27.9622	22.2750	5.2503e-01	0.1285	0.026	1453.09	75.755	5.9068	59.333467
0.227	2.9588	27.9590	22.2722	5.2503e-01	0.1273	0.026	1453.10	75.759	5.9067	59.333468
0.216	2.9625	27.9558	22.2694	5.2503e-01	0.1285	0.026	1453.11	75.762	5.9065	59.333468
0.227	2.9655	27.9530	22.2669	5.1282e-01	0.1273	0.026	1453.12	75.766	5.9065	59.333469
0.227	2.9683	27.9505	22.2647	5.1282e-01	0.1285	0.026	1453.13	75.769	5.9064	59.333469
0.216	2.9711	27.9481	22.2626	5.2503e-01	0.1273	0.026	1453.14	75.771	5.9062	59.333470
0.227	2.9735	27.9462	22.2610	5.4945e-01	0.1273	0.026	1453.15	75.773	5.9061	59.333470
0.216	2.9757	27.9443	22.2592	5.3724e-01	0.1273	0.026	1453.15	75.775	5.9060	59.333471
0.227	2.9779	27.9427	22.2578	5.3724e-01	0.1273	0.026	1453.16	75.776	5.9059	59.333471
