DepSM	T090C	Sal00	Sigma-t00	FlSP	WetStar	SeaTurbMtr	SvCM	Sbeox0PS	Sbeox0Mg/L	TimeJ	Sbeox0ML/L	PrDM
0.000	2.4792	26.7028	21.3025	4.8090e-01	0.1273	0.015	1449.36	75.108	8.5436	59.345560	5.9783	-0.000
1.000	2.7208	27.0491	21.5633	4.4782e-01	0.1273	0.015	1450.89	75.231	8.4852	59.345761	5.9375	1.009
2.000	2.8502	27.3040	21.7577	4.1014e-01	0.1275	0.016	1451.80	75.295	8.4502	59.345754	5.9129	2.019
3.000	2.8550	27.4629	21.8840	4.4434e-01	0.1274	0.016	1452.05	75.467	8.4593	59.345787	5.9193	3.029
4.000	2.9908	27.9482	22.2613	4.1891e-01	0.1275	0.044	1453.28	75.148	8.3671	59.345812	5.8548	4.038
5.000	2.9994	28.0485	22.3405	4.3622e-01	0.1274	0.073	1453.47	75.285	8.3748	59.345827	5.8602	5.048
6.000	2.9932	28.2390	22.4928	4.8722e-01	0.1275	0.086	1453.70	75.358	8.3733	59.345856	5.8592	6.057
7.000	3.0268	28.8144	22.9489	4.9801e-01	0.1274	0.089	1454.61	74.960	8.2896	59.345874	5.8005	7.066
8.000	3.0235	28.8742	22.9968	5.3058e-01	0.1275	0.093	1454.69	75.000	8.2913	59.345890	5.8018	8.076
9.000	3.0486	28.9829	23.0815	5.1694e-01	0.1275	0.103	1454.96	74.529	8.2280	59.345918	5.7575	9.085
10.000	3.0721	29.2420	23.2861	5.0070e-01	0.1275	0.102	1455.41	73.882	8.1374	59.345936	5.6941	10.095
11.000	3.1065	29.3001	23.3298	6.1502e-01	0.1276	0.156	1455.65	73.845	8.1231	59.345953	5.6841	11.105
12.000	3.2044	29.5069	23.4866	4.5430e-01	0.1276	0.189	1456.36	73.625	8.0681	59.345981	5.6456	12.114
13.000	3.3682	30.1830	24.0119	3.8326e-01	0.1276	0.176	1457.95	73.251	7.9576	59.345998	5.5683	13.124
14.000	3.5417	30.3248	24.1098	4.1223e-01	0.1276	0.189	1458.89	73.462	7.9389	59.346016	5.5552	14.133
15.000	3.5216	30.3905	24.1636	4.0301e-01	0.1277	0.192	1458.91	72.847	7.8734	59.346043	5.5093	15.143
16.000	4.1809	31.1947	24.7428	3.4320e-01	0.1275	0.177	1462.75	70.423	7.4485	59.346061	5.2120	16.152
17.000	4.3352	31.3026	24.8135	3.1488e-01	0.1278	0.170	1463.55	70.553	7.4287	59.346079	5.1982	17.162
18.000	4.7044	31.5683	24.9839	2.9048e-01	0.1278	0.170	1465.42	70.025	7.2986	59.346105	5.1071	18.172
19.000	6.0405	32.2517	25.3763	2.2633e-01	0.1279	0.170	1471.75	66.400	6.6705	59.346124	4.6677	19.181
20.000	5.9797	32.1950	25.3385	2.2352e-01	0.1279	0.162	1471.45	67.306	6.7742	59.346142	4.7402	20.191
21.000	5.8715	32.2065	25.3592	2.1228e-01	0.1280	0.156	1471.03	62.001	6.2609	59.346169	4.3810	21.200
22.000	6.8825	32.5955	25.5405	1.9249e-01	0.1279	0.149	1475.56	54.826	5.3889	59.346187	3.7708	22.210
23.000	6.8457	32.5740	25.5284	1.8596e-01	0.1282	0.147	1475.40	56.556	5.5644	59.346206	3.8936	23.220
24.000	7.0719	32.6937	25.5922	1.8053e-01	0.1281	0.147	1476.45	53.097	5.1938	59.346234	3.6344	24.229
25.000	7.1745	32.7569	25.6285	1.8239e-01	0.1281	0.147	1476.94	49.365	4.8141	59.346251	3.3687	25.239
26.000	7.1340	32.7550	25.6326	1.9505e-01	0.1283	0.143	1476.80	49.161	4.7989	59.346271	3.3580	26.248
27.000	7.0883	32.7649	25.6465	1.8803e-01	0.1284	0.139	1476.65	46.688	4.5619	59.346299	3.1922	27.258
28.000	7.0820	32.8075	25.6809	1.8391e-01	0.1285	0.138	1476.70	46.924	4.5844	59.346316	3.2079	28.268
29.000	7.0626	32.7964	25.6747	1.9146e-01	0.1283	0.135	1476.62	46.756	4.5702	59.346338	3.1980	29.277
30.000	7.2144	32.8977	25.7339	1.7781e-01	0.1285	0.135	1477.35	47.428	4.6167	59.346363	3.2305	30.287
31.000	7.3570	32.9534	25.7581	1.7497e-01	0.1284	0.133	1477.99	47.486	4.6057	59.346380	3.2228	31.296
32.000	7.3024	32.9350	25.7512	1.7501e-01	0.1285	0.135	1477.78	47.777	4.6403	59.346401	3.2470	32.306
33.000	7.6964	33.1118	25.8347	1.6861e-01	0.1285	0.134	1479.52	47.552	4.5720	59.346425	3.1992	33.316
34.000	7.9298	33.1728	25.8492	1.6278e-01	0.1286	0.134	1480.51	47.429	4.5342	59.346443	3.1728	34.325
35.000	7.9353	33.1859	25.8587	1.6236e-01	0.1286	0.131	1480.56	47.640	4.5534	59.346464	3.1862	35.335
36.000	8.0918	33.2437	25.8812	1.5827e-01	0.1288	0.129	1481.24	46.512	4.4282	59.346489	3.0986	36.345
37.000	8.1335	33.2600	25.8878	1.5838e-01	0.1288	0.132	1481.44	45.823	4.3580	59.346506	3.0495	37.354
38.000	8.1114	33.2577	25.8893	1.5664e-01	0.1288	0.129	1481.37	45.853	4.3631	59.346527	3.0531	38.364
39.000	8.3782	33.3524	25.9238	1.4884e-01	0.1290	0.128	1482.51	46.192	4.3665	59.346551	3.0554	39.374
40.000	8.4330	33.3710	25.9301	1.4788e-01	0.1289	0.127	1482.75	46.319	4.3725	59.346569	3.0596	40.383
41.000	8.4259	33.3845	25.9418	1.4744e-01	0.1287	0.125	1482.76	47.052	4.4420	59.346590	3.1083	41.393
42.000	8.4402	33.4093	25.9591	1.4769e-01	0.1288	0.121	1482.86	48.162	4.5447	59.346615	3.1801	42.403
43.000	8.4503	33.4190	25.9651	1.4655e-01	0.1289	0.120	1482.92	48.688	4.5929	59.346632	3.2139	43.412
44.000	8.4492	33.4274	25.9719	1.4721e-01	0.1289	0.117	1482.95	49.169	4.6382	59.346652	3.2456	44.422
45.000	8.4409	33.4446	25.9867	1.4710e-01	0.1289	0.116	1482.95	49.710	4.6896	59.346676	3.2815	45.432
46.000	8.4372	33.4668	26.0046	1.4653e-01	0.1289	0.115	1482.98	50.005	4.7171	59.346694	3.3008	46.442
47.000	8.4381	33.4744	26.0104	1.4676e-01	0.1291	0.112	1483.01	50.086	4.7245	59.346714	3.3059	47.451
48.000	8.4330	33.4959	26.0281	1.4679e-01	0.1291	0.112	1483.04	50.750	4.7870	59.346739	3.3496	48.461
49.000	8.4246	33.5044	26.0360	1.4686e-01	0.1290	0.111	1483.03	51.183	4.8285	59.346757	3.3787	49.471
50.000	8.4148	33.5155	26.0462	1.4654e-01	0.1291	0.105	1483.03	51.445	4.8539	59.346775	3.3965	50.480
51.000	8.3845	33.5438	26.0729	1.4652e-01	0.1292	0.103	1482.96	51.756	4.8857	59.346799	3.4187	51.490
52.000	8.3381	33.5829	26.1106	1.4614e-01	0.1290	0.103	1482.85	51.935	4.9064	59.346817	3.4332	52.500
53.000	8.3013	33.6023	26.1314	1.4651e-01	0.1292	0.099	1482.76	51.888	4.9053	59.346834	3.4325	53.510
54.000	8.3203	33.6383	26.1567	1.4652e-01	0.1292	0.094	1482.89	52.547	4.9644	59.346856	3.4738	54.519
55.000	8.3101	33.7049	26.2105	1.4652e-01	0.1292	0.094	1482.95	53.249	5.0297	59.346876	3.5195	55.529
56.000	8.3132	33.7078	26.2123	1.4652e-01	0.1293	0.092	1482.98	53.677	5.0697	59.346892	3.5475	56.539
57.000	8.3173	33.7123	26.2152	1.4652e-01	0.1291	0.092	1483.02	54.201	5.1185	59.346913	3.5817	57.549
58.000	8.3389	33.7323	26.2277	1.4652e-01	0.1293	0.096	1483.14	54.693	5.1618	59.346934	3.6120	58.559
59.000	8.3446	33.7376	26.2309	1.4652e-01	0.1290	0.095	1483.19	54.788	5.1700	59.346950	3.6176	59.568
60.000	8.3481	33.7417	26.2337	1.4652e-01	0.1292	0.092	1483.22	54.838	5.1741	59.346969	3.6206	60.578
61.000	8.3503	33.7447	26.2357	1.4652e-01	0.1294	0.092	1483.25	54.843	5.1743	59.346991	3.6207	61.588
62.000	8.3549	33.7476	26.2373	1.4652e-01	0.1294	0.092	1483.29	54.920	5.1809	59.347009	3.6253	62.598
63.000	8.3575	33.7478	26.2370	1.4652e-01	0.1294	0.088	1483.31	54.919	5.1805	59.347026	3.6250	63.607
64.000	8.3631	33.7516	26.2392	1.4652e-01	0.1295	0.086	1483.36	54.934	5.1811	59.347048	3.6255	64.617
