DepSM	T090C	Sal00	Sigma-t00	FlSP	WetStar	SeaTurbMtr	SvCM	Sbeox0PS	Sbeox0Mg/L	TimeJ	Sbeox0ML/L	PrDM
0.196	2.5935	26.4202	21.0698	1.8437e+00	0.1261	0.011	1449.50	70.334	7.9928	59.435521	5.5929	0.198
0.185	2.5933	26.4192	21.0690	1.7949e+00	0.1261	0.011	1449.50	70.270	7.9856	59.435521	5.5878	0.187
0.198	2.5931	26.4149	21.0657	1.7460e+00	0.1261	0.007	1449.49	70.261	7.9849	59.435522	5.5874	0.200
0.185	2.5920	26.4138	21.0648	1.7338e+00	0.1273	0.015	1449.48	70.253	7.9842	59.435522	5.5869	0.187
0.196	2.5913	26.4117	21.0632	1.7094e+00	0.1261	0.011	1449.48	70.245	7.9836	59.435523	5.5864	0.198
0.198	2.5898	26.4081	21.0604	1.7094e+00	0.1261	0.011	1449.47	70.173	7.9760	59.435523	5.5811	0.200
0.198	2.5881	26.4099	21.0620	1.7216e+00	0.1273	0.011	1449.46	70.158	7.9744	59.435524	5.5800	0.200
0.198	2.5859	26.4110	21.0630	1.7582e+00	0.1261	0.007	1449.45	70.143	7.9731	59.435524	5.5791	0.200
0.196	2.5834	26.4113	21.0634	1.7582e+00	0.1273	0.011	1449.44	70.064	7.9647	59.435525	5.5732	0.198
0.198	2.5821	26.4158	21.0671	1.7338e+00	0.1261	0.011	1449.44	70.042	7.9622	59.435525	5.5715	0.200
0.198	2.5807	26.4187	21.0695	1.7338e+00	0.1261	0.007	1449.44	70.021	7.9599	59.435526	5.5699	0.200
0.185	2.5804	26.4183	21.0692	1.7338e+00	0.1261	0.011	1449.44	69.936	7.9504	59.435526	5.5632	0.187
0.196	2.5800	26.4207	21.0711	1.7216e+00	0.1273	0.011	1449.44	69.908	7.9471	59.435527	5.5609	0.198
0.198	2.5799	26.4195	21.0702	1.7216e+00	0.1273	0.007	1449.44	69.882	7.9442	59.435527	5.5589	0.200
0.198	2.5799	26.4178	21.0688	1.6972e+00	0.1273	0.011	1449.44	69.793	7.9342	59.435528	5.5519	0.200
0.198	2.5803	26.4180	21.0689	1.6972e+00	0.1261	0.011	1449.44	69.760	7.9304	59.435528	5.5492	0.200
0.196	2.5805	26.4149	21.0664	1.6728e+00	0.1273	0.007	1449.44	69.730	7.9271	59.435529	5.5469	0.198
0.185	2.5807	26.4126	21.0646	1.6850e+00	0.1273	0.011	1449.43	69.701	7.9239	59.435529	5.5447	0.187
0.198	2.5806	26.4136	21.0654	1.6850e+00	0.1273	0.011	1449.43	69.611	7.9136	59.435530	5.5374	0.200
