DepSM	T090C	Sal00	Sigma-t00	FlSP	WetStar	SeaTurbMtr	SvCM	Sbeox0PS	Sbeox0Mg/L	TimeJ	Sbeox0ML/L	PrDM
0.000	2.5642	26.3610	21.0244	1.6980e+00	0.1263	0.009	1449.29	68.843	7.8323	59.435565	5.4806	-0.000
1.000	2.6748	26.5049	21.1322	1.3583e+00	0.1269	0.013	1449.98	68.885	7.8075	59.435641	5.4633	1.009
2.000	2.7490	26.8836	21.4295	1.2577e+00	0.1271	0.014	1450.82	69.460	7.8377	59.435660	5.4843	2.019
3.000	2.8362	27.2833	21.7421	1.0720e+00	0.1275	0.015	1451.73	74.333	8.3458	59.435685	5.8399	3.028
4.000	2.9216	27.7759	22.1289	7.6829e-01	0.1277	0.016	1452.76	77.758	8.6829	59.435707	6.0758	4.038
5.000	2.9288	28.1027	22.3889	5.8002e-01	0.1279	0.016	1453.23	78.075	8.6973	59.435731	6.0859	5.047
6.000	2.9277	28.2874	22.5362	5.2817e-01	0.1278	0.015	1453.48	78.365	8.7189	59.435754	6.1010	6.057
7.000	2.9453	28.4619	22.6740	4.7658e-01	0.1278	0.015	1453.80	77.448	8.6028	59.435776	6.0197	7.067
8.000	2.9516	28.5476	22.7418	4.7619e-01	0.1278	0.015	1453.96	76.555	8.4973	59.435801	5.9459	8.076
9.000	2.9632	28.7056	22.8669	4.5121e-01	0.1279	0.015	1454.23	75.656	8.3861	59.435825	5.8681	9.086
10.000	3.5050	29.5856	23.5232	3.3819e-01	0.1277	0.015	1457.71	74.636	8.1151	59.435846	5.6785	10.095
11.000	5.2638	31.6289	24.9736	2.9275e-01	0.1279	0.015	1467.69	73.945	7.5980	59.435869	5.3166	11.104
12.000	4.7065	31.0405	24.5648	3.4235e-01	0.1280	0.015	1464.65	69.830	7.3039	59.435908	5.1108	12.114
13.000	6.8109	33.0904	25.9574	3.2474e-01	0.1281	0.015	1475.87	42.392	4.0820	59.436102	2.8563	13.124
14.000	6.4822	32.7061	25.6811	3.2266e-01	0.1281	0.015	1474.00	29.892	2.9473	59.436263	2.0624	14.133
