DepSM	T090C	Sal00	Sigma-t00	FlSP	WetStar	SeaTurbMtr	SvCM	Sbeox0PS	Sbeox0Mg/L	TimeJ	Sbeox0ML/L	PrDM
0.066	2.7600	26.2883	20.9540	4.8840e-01	0.1273	0.015	1450.06	67.019	7.5909	59.588588	5.3117	0.066
0.066	2.7533	26.2723	20.9418	4.8840e-01	0.1273	0.015	1450.01	67.020	7.5932	59.588588	5.3133	0.066
0.077	2.7445	26.2531	20.9270	4.7619e-01	0.1285	0.015	1449.95	67.022	7.5960	59.588589	5.3153	0.078
0.054	2.7347	26.2284	20.9079	4.7619e-01	0.1273	0.015	1449.87	67.024	7.5994	59.588589	5.3176	0.055
0.043	2.7284	26.2023	20.8876	4.8840e-01	0.1273	0.015	1449.81	67.025	7.6021	59.588590	5.3195	0.043
0.054	2.7264	26.1860	20.8747	4.7619e-01	0.1285	0.015	1449.78	67.089	7.6106	59.588590	5.3255	0.055
0.041	2.7273	26.1836	20.8727	4.7619e-01	0.1273	0.015	1449.78	67.098	7.6115	59.588591	5.3261	0.042
0.030	2.7275	26.1860	20.8746	4.7619e-01	0.1273	0.015	1449.78	67.106	7.6123	59.588591	5.3267	0.030
0.043	2.7211	26.1808	20.8709	4.7619e-01	0.1273	0.015	1449.75	67.179	7.6221	59.588592	5.3335	0.043
0.028	2.7137	26.1653	20.8590	4.7619e-01	0.1285	0.015	1449.70	67.197	7.6264	59.588592	5.3365	0.029
0.019	2.7029	26.1470	20.8451	4.7619e-01	0.1273	0.015	1449.62	67.279	7.6387	59.588593	5.3451	0.019
0.019	2.7000	26.1288	20.8307	4.7619e-01	0.1273	0.015	1449.59	67.367	7.6502	59.588593	5.3532	0.019
0.019	2.6994	26.1207	20.8243	4.7619e-01	0.1285	0.015	1449.57	67.398	7.6543	59.588594	5.3560	0.019
0.004	2.7015	26.1206	20.8241	4.8840e-01	0.1273	0.015	1449.58	67.491	7.6645	59.588594	5.3632	0.004
0.006	2.7050	26.1275	20.8294	4.7619e-01	0.1273	0.015	1449.61	67.656	7.6821	59.588595	5.3755	0.006
0.006	2.7077	26.1366	20.8365	4.8840e-01	0.1285	0.015	1449.63	67.708	7.6870	59.588595	5.3789	0.006
-0.006	2.7096	26.1434	20.8418	4.8840e-01	0.1273	0.015	1449.65	67.821	7.6992	59.588596	5.3874	-0.006
-0.007	2.7116	26.1465	20.8441	4.8840e-01	0.1273	0.018	1449.66	67.941	7.7122	59.588596	5.3966	-0.007
-0.006	2.7122	26.1492	20.8462	4.8840e-01	0.1273	0.015	1449.67	68.067	7.7262	59.588597	5.4064	-0.006
-0.017	2.7098	26.1502	20.8472	4.8840e-01	0.1285	0.015	1449.66	68.262	7.7488	59.588597	5.4222	-0.017
-0.017	2.7070	26.1465	20.8444	4.8840e-01	0.1273	0.015	1449.64	68.408	7.7661	59.588598	5.4343	-0.017
-0.019	2.7079	26.1432	20.8417	4.8840e-01	0.1273	0.015	1449.64	68.557	7.7831	59.588598	5.4461	-0.019
-0.030	2.7116	26.1486	20.8458	4.7619e-01	0.1285	0.015	1449.66	68.709	7.7993	59.588599	5.4575	-0.030
-0.017	2.7175	26.1583	20.8532	4.7619e-01	0.1273	0.015	1449.70	68.864	7.8152	59.588599	5.4686	-0.017
-0.032	2.7213	26.1664	20.8594	4.7619e-01	0.1285	0.015	1449.73	69.023	7.8320	59.588600	5.4804	-0.032
-0.030	2.7237	26.1677	20.8603	4.8840e-01	0.1285	0.015	1449.74	69.184	7.8498	59.588600	5.4928	-0.030
-0.030	2.7267	26.1681	20.8604	4.8840e-01	0.1273	0.015	1449.76	69.412	7.8750	59.588601	5.5105	-0.030
-0.030	2.7267	26.1683	20.8606	4.8840e-01	0.1273	0.015	1449.76	69.587	7.8949	59.588601	5.5244	-0.030
-0.032	2.7255	26.1635	20.8568	4.8840e-01	0.1273	0.015	1449.74	69.764	7.9154	59.588601	5.5387	-0.032
-0.041	2.7251	26.1581	20.8525	4.8840e-01	0.1273	0.015	1449.74	69.941	7.9359	59.588602	5.5531	-0.042
-0.030	2.7259	26.1584	20.8527	4.8840e-01	0.1273	0.015	1449.74	70.118	7.9558	59.588602	5.5670	-0.030
-0.053	2.7275	26.1647	20.8576	4.8840e-01	0.1273	0.015	1449.75	70.295	7.9752	59.588603	5.5806	-0.053
-0.032	2.7279	26.1698	20.8617	4.8840e-01	0.1273	0.015	1449.76	70.536	8.0022	59.588603	5.5995	-0.032
-0.030	2.7281	26.1686	20.8607	5.0061e-01	0.1285	0.015	1449.76	70.721	8.0232	59.588604	5.6142	-0.030
-0.041	2.7265	26.1646	20.8576	4.8840e-01	0.1285	0.015	1449.75	70.905	8.0446	59.588604	5.6292	-0.042
-0.043	2.7255	26.1605	20.8544	4.8840e-01	0.1273	0.015	1449.74	71.151	8.0730	59.588605	5.6490	-0.043
-0.030	2.7245	26.1598	20.8539	4.8840e-01	0.1285	0.015	1449.74	71.339	8.0946	59.588605	5.6641	-0.030
-0.030	2.7242	26.1605	20.8545	5.0061e-01	0.1273	0.015	1449.73	71.525	8.1156	59.588606	5.6788	-0.030
-0.041	2.7248	26.1580	20.8524	5.1282e-01	0.1273	0.015	1449.73	71.770	8.1435	59.588606	5.6983	-0.042
-0.019	2.7262	26.1517	20.8473	5.0061e-01	0.1273	0.015	1449.73	71.956	8.1647	59.588607	5.7132	-0.019
-0.030	2.7267	26.1445	20.8416	5.0061e-01	0.1273	0.015	1449.72	72.202	8.1929	59.588607	5.7329	-0.030
-0.030	2.7262	26.1371	20.8357	4.8840e-01	0.1285	0.015	1449.71	72.388	8.2145	59.588608	5.7480	-0.030
-0.017	2.7248	26.1307	20.8307	4.7619e-01	0.1273	0.015	1449.70	72.569	8.2356	59.588608	5.7628	-0.017
-0.019	2.7237	26.1264	20.8274	4.7619e-01	0.1285	0.015	1449.69	72.743	8.2559	59.588609	5.7770	-0.019
-0.017	2.7235	26.1204	20.8226	4.7619e-01	0.1285	0.015	1449.68	72.975	8.2826	59.588609	5.7956	-0.017
-0.006	2.7251	26.1166	20.8194	4.8840e-01	0.1273	0.015	1449.68	73.144	8.3016	59.588610	5.8090	-0.006
-0.019	2.7250	26.1277	20.8283	4.8840e-01	0.1273	0.015	1449.70	73.369	8.3266	59.588610	5.8265	-0.019
-0.006	2.7222	26.1473	20.8441	4.8840e-01	0.1273	0.015	1449.71	73.533	8.3447	59.588611	5.8391	-0.006
0.006	2.7214	26.1604	20.8546	4.8840e-01	0.1273	0.015	1449.72	73.687	8.3616	59.588611	5.8510	0.006
-0.006	2.7222	26.1666	20.8595	4.8840e-01	0.1285	0.015	1449.73	73.831	8.3774	59.588612	5.8620	-0.006
0.004	2.7227	26.1724	20.8640	4.8840e-01	0.1273	0.015	1449.74	74.030	8.3995	59.588612	5.8775	0.004
0.019	2.7225	26.1769	20.8677	4.8840e-01	0.1273	0.015	1449.75	74.164	8.4145	59.588613	5.8880	0.019
0.006	2.7224	26.1777	20.8683	4.8840e-01	0.1273	0.015	1449.75	74.287	8.4285	59.588613	5.8978	0.006
0.019	2.7228	26.1781	20.8686	4.8840e-01	0.1273	0.015	1449.75	74.463	8.4483	59.588614	5.9116	0.019
0.028	2.7234	26.1805	20.8705	4.8840e-01	0.1273	0.015	1449.76	74.582	8.4615	59.588614	5.9209	0.029
0.019	2.7259	26.1842	20.8733	4.8840e-01	0.1273	0.015	1449.77	74.688	8.4728	59.588614	5.9288	0.019
0.030	2.7260	26.1874	20.8758	4.7619e-01	0.1285	0.015	1449.78	74.846	8.4906	59.588615	5.9412	0.030
0.030	2.7234	26.1820	20.8717	4.7619e-01	0.1273	0.015	1449.76	74.948	8.5030	59.588615	5.9499	0.030
0.041	2.7214	26.1722	20.8640	4.7619e-01	0.1285	0.015	1449.74	75.037	8.5141	59.588616	5.9576	0.042
0.030	2.7206	26.1665	20.8595	4.8840e-01	0.1285	0.015	1449.73	75.185	8.5313	59.588616	5.9697	0.030
0.043	2.7205	26.1657	20.8589	4.8840e-01	0.1273	0.015	1449.73	75.273	8.5415	59.588617	5.9768	0.043
0.041	2.7188	26.1661	20.8593	4.8840e-01	0.1285	0.015	1449.72	75.349	8.5504	59.588617	5.9831	0.042
0.054	2.7153	26.1630	20.8570	4.8840e-01	0.1273	0.015	1449.70	75.421	8.5595	59.588618	5.9895	0.055
0.043	2.7135	26.1550	20.8507	4.6398e-01	0.1273	0.015	1449.68	75.561	8.5763	59.588618	6.0012	0.043
0.054	2.7138	26.1495	20.8464	4.6398e-01	0.1273	0.015	1449.68	75.568	8.5773	59.588619	6.0019	0.055
0.041	2.7146	26.1488	20.8458	4.6398e-01	0.1273	0.015	1449.68	75.624	8.5835	59.588619	6.0062	0.042
0.065	2.7149	26.1492	20.8461	4.6398e-01	0.1273	0.015	1449.68	75.740	8.5966	59.588620	6.0154	0.066
0.043	2.7163	26.1494	20.8461	4.6398e-01	0.1273	0.015	1449.69	75.795	8.6026	59.588620	6.0196	0.043
0.054	2.7168	26.1510	20.8473	4.6398e-01	0.1285	0.015	1449.69	75.856	8.6092	59.588621	6.0242	0.055
0.053	2.7150	26.1496	20.8464	4.6398e-01	0.1273	0.015	1449.68	75.913	8.6162	59.588621	6.0291	0.053
0.054	2.7127	26.1422	20.8407	4.6398e-01	0.1273	0.015	1449.66	75.965	8.6231	59.588622	6.0339	0.055
0.054	2.7110	26.1293	20.8305	4.7619e-01	0.1285	0.015	1449.64	76.013	8.6296	59.588622	6.0385	0.055
0.054	2.7099	26.1198	20.8229	4.7619e-01	0.1273	0.015	1449.62	76.056	8.6353	59.588623	6.0425	0.055
0.053	2.7102	26.1199	20.8230	4.7619e-01	0.1273	0.015	1449.62	76.157	8.6468	59.588623	6.0505	0.053
0.054	2.7102	26.1250	20.8270	4.6398e-01	0.1285	0.015	1449.63	76.136	8.6440	59.588624	6.0486	0.055
0.054	2.7110	26.1301	20.8311	4.7619e-01	0.1273	0.015	1449.64	76.237	8.6550	59.588624	6.0563	0.055
0.043	2.7104	26.1333	20.8337	4.7619e-01	0.1285	0.015	1449.64	76.216	8.6525	59.588625	6.0545	0.043
0.053	2.7101	26.1313	20.8321	4.7619e-01	0.1273	0.015	1449.64	76.309	8.6633	59.588625	6.0621	0.053
0.043	2.7102	26.1285	20.8298	4.6398e-01	0.1285	0.015	1449.63	76.342	8.6672	59.588626	6.0648	0.043
0.054	2.7108	26.1284	20.8298	4.6398e-01	0.1285	0.015	1449.64	76.371	8.6704	59.588626	6.0670	0.055
0.028	2.7121	26.1314	20.8320	4.6398e-01	0.1273	0.015	1449.64	76.395	8.6726	59.588627	6.0686	0.029
0.043	2.7135	26.1340	20.8341	4.7619e-01	0.1273	0.015	1449.65	76.424	8.6754	59.588627	6.0706	0.043
0.043	2.7146	26.1347	20.8345	4.8840e-01	0.1285	0.015	1449.66	76.448	8.6780	59.588628	6.0723	0.043
0.030	2.7161	26.1368	20.8361	4.7619e-01	0.1273	0.015	1449.67	76.469	8.6798	59.588628	6.0736	0.030
0.028	2.7174	26.1446	20.8422	4.7619e-01	0.1273	0.015	1449.68	76.494	8.6820	59.588628	6.0751	0.029
0.030	2.7195	26.1453	20.8426	4.7619e-01	0.1273	0.015	1449.70	76.516	8.6839	59.588629	6.0765	0.030
0.030	2.7235	26.1290	20.8294	4.7619e-01	0.1285	0.015	1449.69	76.533	8.6859	59.588629	6.0779	0.030
