DepSM	T090C	Sal00	Sigma-t00	FlSP	WetStar	SeaTurbMtr	SvCM	Sbeox0PS	Sbeox0Mg/L	TimeJ	Sbeox0ML/L	PrDM
0.000	2.7334	26.2307	20.9099	4.8094e-01	0.1280	0.015	1449.87	75.781	8.5924	59.588686	6.0124	-0.000
1.000	2.7874	26.5296	21.1447	4.9036e-01	0.1283	0.015	1450.51	76.809	8.6794	59.588801	6.0733	1.009
2.000	2.7816	26.4914	21.1146	4.5619e-01	0.1283	0.015	1450.45	76.671	8.6674	59.588823	6.0649	2.019
3.000	2.8241	26.7056	21.2825	3.8291e-01	0.1283	0.015	1450.93	76.708	8.6497	59.588843	6.0525	3.029
4.000	2.9663	27.4561	21.8709	3.9890e-01	0.1283	0.015	1452.54	76.816	8.5868	59.588863	6.0085	4.038
5.000	2.9892	27.9150	22.2349	4.0684e-01	0.1284	0.015	1453.25	77.003	8.5759	59.588883	6.0009	5.047
6.000	2.9871	28.0607	22.3512	4.3520e-01	0.1282	0.015	1453.45	77.109	8.5796	59.588903	6.0035	6.057
7.000	3.0024	28.2987	22.5397	4.1924e-01	0.1282	0.015	1453.84	76.735	8.5210	59.588925	5.9625	7.066
8.000	3.0534	28.5296	22.7199	4.7643e-01	0.1282	0.015	1454.38	76.197	8.4371	59.588946	5.9038	8.076
9.000	3.0939	28.6615	22.8220	4.2679e-01	0.1280	0.014	1454.74	75.754	8.3720	59.588967	5.8582	9.086
10.000	3.1265	28.8332	22.9562	4.1812e-01	0.1285	0.015	1455.12	75.352	8.3111	59.588988	5.8156	10.095
11.000	3.1732	29.0801	23.1493	3.9574e-01	0.1288	0.015	1455.66	74.841	8.2313	59.589010	5.7598	11.105
12.000	3.2214	29.2313	23.2659	3.8484e-01	0.1288	0.015	1456.08	74.398	8.1644	59.589030	5.7129	12.114
13.000	3.2917	29.4804	23.4587	4.1486e-01	0.1288	0.015	1456.72	73.744	8.0648	59.589052	5.6433	13.124
14.000	3.3241	29.6170	23.5648	3.6955e-01	0.1288	0.015	1457.05	73.171	7.9883	59.589073	5.5897	14.133
15.000	3.4210	29.9542	23.8253	3.4294e-01	0.1288	0.016	1457.92	72.738	7.9038	59.589094	5.5306	15.143
16.000	3.5973	30.3793	24.1485	3.0199e-01	0.1290	0.016	1459.24	72.309	7.8005	59.589115	5.4583	16.152
17.000	3.7822	30.6601	24.3553	2.9858e-01	0.1290	0.016	1460.40	71.974	7.7146	59.589136	5.3982	17.162
18.000	4.1725	31.1149	24.6803	2.8111e-01	0.1289	0.017	1462.64	71.242	7.5406	59.589158	5.2765	18.172
19.000	4.3846	31.2748	24.7866	2.6027e-01	0.1293	0.017	1463.75	70.412	7.4063	59.589180	5.1825	19.181
20.000	4.9228	31.7343	25.0950	2.4945e-01	0.1292	0.016	1466.58	69.281	7.1716	59.589200	5.0183	20.191
21.000	5.2241	31.9215	25.2106	2.3225e-01	0.1292	0.017	1468.07	67.347	6.9123	59.589222	4.8369	21.200
22.000	5.4148	32.0644	25.3021	2.2319e-01	0.1293	0.017	1469.04	65.858	6.7229	59.589243	4.7043	22.210
23.000	5.7897	32.2832	25.4315	2.2011e-01	0.1295	0.017	1470.85	62.722	6.3369	59.589264	4.4342	23.220
24.000	6.0976	32.4445	25.5218	2.2301e-01	0.1294	0.017	1472.30	61.210	6.1328	59.589286	4.2914	24.229
25.000	6.1011	32.4778	25.5476	2.2406e-01	0.1295	0.017	1472.38	59.327	5.9424	59.589308	4.1582	25.239
26.000	6.2490	32.5633	25.5967	2.1434e-01	0.1295	0.017	1473.09	56.682	5.6547	59.589330	3.9568	26.248
27.000	6.3145	32.6016	25.6188	2.0774e-01	0.1295	0.017	1473.41	55.329	5.5099	59.589352	3.8555	27.258
28.000	6.4151	32.6513	25.6453	2.0354e-01	0.1294	0.017	1473.89	54.866	5.4491	59.589374	3.8130	28.268
29.000	6.5148	32.6985	25.6697	2.0241e-01	0.1295	0.017	1474.36	54.584	5.4069	59.589395	3.7834	29.277
