DepSM	T090C	Sal00	Sigma-t00	FlSP	WetStar	SeaTurbMtr	SvCM	Sbeox0PS	Sbeox0Mg/L	TimeJ	Sbeox0ML/L	PrDM
0.000	1.6479	25.9905	20.7792	4.2174e-01	0.1270	0.013	1444.71	71.277	8.3229	59.551144	5.8239	-0.000
1.000	1.9203	26.2576	20.9786	4.5928e-01	0.1273	0.015	1446.30	71.490	8.2741	59.551192	5.7898	1.009
2.000	2.4364	26.6123	21.2328	3.8138e-01	0.1276	0.016	1449.08	73.740	8.4023	59.551218	5.8795	2.019
3.000	2.7538	26.9074	21.4480	3.7574e-01	0.1278	0.015	1450.88	74.819	8.4399	59.551240	5.9058	3.029
4.000	2.9163	27.1175	21.6046	4.6272e-01	0.1277	0.016	1451.88	75.793	8.5027	59.551260	5.9497	4.038
5.000	2.9501	27.6658	22.0391	5.6422e-01	0.1277	0.015	1452.76	76.121	8.5004	59.551282	5.9481	5.047
6.000	2.9030	27.8863	22.2183	5.9872e-01	0.1279	0.015	1452.85	76.152	8.5011	59.551303	5.9486	6.057
7.000	2.9301	27.9932	22.3015	5.4226e-01	0.1279	0.015	1453.13	75.820	8.4522	59.551325	5.9144	7.066
8.000	2.9510	28.2805	22.5290	5.2747e-01	0.1279	0.015	1453.61	75.456	8.3907	59.551345	5.8713	8.076
9.000	2.9734	28.6590	22.8290	5.6660e-01	0.1280	0.015	1454.21	75.274	8.3442	59.551367	5.8388	9.085
10.000	3.0197	28.9476	23.0555	5.6116e-01	0.1278	0.015	1454.80	75.196	8.3096	59.551387	5.8146	10.095
11.000	3.0529	29.1320	23.2000	5.5249e-01	0.1280	0.015	1455.20	75.011	8.2719	59.551409	5.7882	11.105
12.000	3.0677	29.2094	23.2605	5.3412e-01	0.1282	0.015	1455.38	74.700	8.2302	59.551430	5.7590	12.114
13.000	3.1241	29.4195	23.4236	4.1469e-01	0.1284	0.015	1455.92	74.238	8.1562	59.551451	5.7072	13.124
14.000	3.1722	29.7931	23.7174	3.9428e-01	0.1284	0.015	1456.62	73.831	8.0811	59.551472	5.6547	14.133
15.000	3.2265	30.1556	24.0018	3.8592e-01	0.1283	0.015	1457.34	73.592	8.0243	59.551494	5.6150	15.143
16.000	3.3795	30.3885	24.1745	3.6334e-01	0.1284	0.015	1458.32	73.144	7.9328	59.551515	5.5509	16.152
17.000	3.8206	30.8572	24.5085	3.0915e-01	0.1286	0.015	1460.81	72.322	7.7344	59.551536	5.4121	17.162
18.000	4.2098	31.1950	24.7403	2.8617e-01	0.1283	0.015	1462.90	71.753	7.5836	59.551557	5.3065	18.172
19.000	5.0152	31.5646	24.9503	2.3170e-01	0.1280	0.014	1466.73	71.419	7.3851	59.551578	5.1677	19.181
20.000	5.5708	31.9252	25.1737	2.2146e-01	0.1287	0.015	1469.46	69.623	7.0879	59.551600	4.9597	20.191
21.000	6.2514	32.2361	25.3382	1.9821e-01	0.1288	0.015	1472.60	68.305	6.8287	59.551620	4.7783	21.200
22.000	6.6911	32.3989	25.4107	1.8535e-01	0.1287	0.015	1474.56	65.816	6.5063	59.551642	4.5527	22.210
23.000	7.1358	32.5565	25.4760	1.7678e-01	0.1288	0.016	1476.51	60.735	5.9367	59.551664	4.1542	23.220
24.000	7.2783	32.6359	25.5191	1.7286e-01	0.1289	0.015	1477.18	55.340	5.3886	59.551686	3.7706	24.229
25.000	7.4319	32.7172	25.5620	1.7326e-01	0.1289	0.016	1477.89	51.045	4.9503	59.551707	3.4639	25.239
26.000	7.5287	32.7678	25.5883	1.7293e-01	0.1292	0.016	1478.34	48.003	4.6433	59.551730	3.2491	26.248
27.000	7.5325	32.7887	25.6042	1.7181e-01	0.1292	0.017	1478.40	46.515	4.4983	59.551750	3.1477	27.258
28.000	7.4834	32.8118	25.6291	1.7261e-01	0.1290	0.017	1478.25	45.347	4.3896	59.551772	3.0716	28.268
29.000	7.4478	32.8342	25.6517	1.7230e-01	0.1293	0.017	1478.16	44.574	4.3177	59.551793	3.0213	29.277
30.000	7.4360	32.8511	25.6667	1.7666e-01	0.1294	0.017	1478.15	44.322	4.2939	59.551814	3.0046	30.287
31.000	7.3257	32.8650	25.6929	1.8299e-01	0.1294	0.017	1477.76	44.333	4.3054	59.551837	3.0127	31.297
32.000	7.2971	32.8864	25.7137	1.8461e-01	0.1294	0.017	1477.69	44.296	4.3041	59.551858	3.0118	32.306
33.000	7.3170	32.9008	25.7222	1.8474e-01	0.1295	0.017	1477.81	44.389	4.3107	59.551880	3.0164	33.316
34.000	7.3478	32.9251	25.7371	1.7733e-01	0.1296	0.017	1477.97	44.322	4.3005	59.551902	3.0092	34.325
35.000	7.4968	32.9958	25.7719	1.7284e-01	0.1297	0.017	1478.65	43.439	4.1986	59.551925	2.9380	35.335
36.000	7.6222	33.0562	25.8018	1.7152e-01	0.1295	0.017	1479.22	42.790	4.1224	59.551945	2.8846	36.345
37.000	7.7620	33.1162	25.8290	1.6935e-01	0.1298	0.017	1479.85	41.422	3.9766	59.551969	2.7826	37.354
38.000	7.8797	33.1599	25.8463	1.5930e-01	0.1297	0.017	1480.37	39.841	3.8134	59.551990	2.6684	38.364
39.000	8.0010	33.2125	25.8700	1.5764e-01	0.1298	0.017	1480.91	39.412	3.7607	59.552011	2.6315	39.374
