DepSM	T090C	Sal00	Sigma-t00	FlSP	WetStar	SeaTurbMtr	SvCM	Sbeox0PS	Sbeox0Mg/L	TimeJ	Sbeox0ML/L	PrDM
0.050	2.1780	25.6407	20.4719	1.1844e+00	0.1273	0.015	1446.64	74.854	8.6430	59.417419	6.0479	0.051
0.039	2.1397	25.6392	20.4728	1.1844e+00	0.1273	0.015	1446.46	74.863	8.6526	59.417419	6.0546	0.039
0.049	2.1132	25.6035	20.4457	1.1844e+00	0.1285	0.015	1446.30	74.869	8.6613	59.417420	6.0607	0.049
0.039	2.1057	25.5530	20.4057	1.1966e+00	0.1273	0.015	1446.20	74.871	8.6662	59.417420	6.0641	0.039
0.050	2.1074	25.5000	20.3633	1.1966e+00	0.1285	0.015	1446.14	74.870	8.6689	59.417421	6.0660	0.051
0.039	2.1105	25.4603	20.3314	1.1844e+00	0.1273	0.015	1446.10	74.934	8.6779	59.417421	6.0723	0.039
0.037	2.0952	25.4423	20.3178	1.1722e+00	0.1273	0.015	1446.01	74.946	8.6839	59.417422	6.0765	0.038
0.050	2.0937	25.4344	20.3116	1.1600e+00	0.1285	0.015	1445.99	74.955	8.6858	59.417422	6.0778	0.051
0.050	2.1177	25.4311	20.3077	1.1477e+00	0.1273	0.015	1446.09	74.958	8.6809	59.417423	6.0744	0.051
0.039	2.1540	25.4236	20.2998	1.1477e+00	0.1273	0.015	1446.25	74.958	8.6732	59.417423	6.0690	0.039
0.037	2.2264	25.3879	20.2674	1.1355e+00	0.1273	0.015	1446.52	75.013	8.6656	59.417424	6.0637	0.038
0.050	2.2677	25.3975	20.2728	1.1355e+00	0.1273	0.015	1446.72	75.019	8.6567	59.417424	6.0574	0.051
0.039	2.2849	25.4444	20.3093	1.1600e+00	0.1273	0.015	1446.86	75.095	8.6588	59.417425	6.0589	0.039
0.050	2.3005	25.4923	20.3466	1.1722e+00	0.1273	0.015	1446.99	75.050	8.6474	59.417425	6.0509	0.051
0.037	2.3053	25.5357	20.3810	1.1355e+00	0.1285	0.015	1447.07	75.127	8.6525	59.417426	6.0545	0.038
0.039	2.2883	25.5792	20.4167	1.1111e+00	0.1273	0.015	1447.05	75.152	8.6567	59.417426	6.0574	0.039
0.039	2.2950	25.6076	20.4390	1.0989e+00	0.1273	0.015	1447.12	75.171	8.6556	59.417427	6.0567	0.039
0.049	2.3029	25.6249	20.4524	1.0989e+00	0.1273	0.015	1447.17	75.188	8.6549	59.417427	6.0562	0.049
0.039	2.3016	25.6346	20.4602	1.0989e+00	0.1273	0.015	1447.18	75.206	8.6567	59.417428	6.0574	0.039
0.028	2.2961	25.6386	20.4637	1.0989e+00	0.1273	0.015	1447.16	75.224	8.6597	59.417428	6.0596	0.028
0.050	2.2923	25.6426	20.4671	1.0989e+00	0.1273	0.015	1447.15	75.305	8.6697	59.417429	6.0665	0.051
0.037	2.2870	25.6533	20.4760	1.0989e+00	0.1273	0.015	1447.14	75.330	8.6730	59.417429	6.0689	0.038
0.039	2.2870	25.6617	20.4827	1.0745e+00	0.1273	0.015	1447.15	75.352	8.6750	59.417430	6.0703	0.039
0.039	2.2917	25.6666	20.4863	1.0867e+00	0.1273	0.015	1447.18	75.371	8.6759	59.417430	6.0709	0.039
0.028	2.2909	25.6650	20.4851	1.0989e+00	0.1273	0.015	1447.17	75.390	8.6783	59.417431	6.0726	0.028
0.049	2.2803	25.6616	20.4830	1.0989e+00	0.1273	0.015	1447.12	75.410	8.6832	59.417431	6.0760	0.049
0.039	2.2649	25.6638	20.4856	1.0989e+00	0.1273	0.015	1447.05	75.429	8.6887	59.417432	6.0799	0.039
0.039	2.2445	25.6753	20.4959	1.0867e+00	0.1273	0.015	1446.98	75.512	8.7022	59.417432	6.0893	0.039
0.028	2.2264	25.6877	20.5068	1.0989e+00	0.1273	0.015	1446.91	75.538	8.7084	59.417432	6.0936	0.028
0.049	2.2104	25.7013	20.5186	1.0989e+00	0.1285	0.015	1446.86	75.562	8.7139	59.417433	6.0975	0.049
0.028	2.2112	25.6978	20.5157	1.0989e+00	0.1285	0.015	1446.86	75.579	8.7159	59.417433	6.0989	0.028
0.039	2.2045	25.6912	20.5108	1.0989e+00	0.1273	0.015	1446.82	75.597	8.7199	59.417434	6.1016	0.039
0.028	2.1982	25.6814	20.5033	1.0989e+00	0.1273	0.015	1446.78	75.676	8.7310	59.417434	6.1095	0.028
0.037	2.1996	25.6780	20.5005	1.0867e+00	0.1273	0.015	1446.78	75.697	8.7333	59.417435	6.1110	0.038
0.028	2.2354	25.6754	20.4965	1.0867e+00	0.1285	0.015	1446.94	75.706	8.7265	59.417435	6.1063	0.028
0.039	2.2727	25.6842	20.5014	1.0989e+00	0.1273	0.015	1447.12	75.713	8.7184	59.417436	6.1006	0.039
0.037	2.3019	25.6936	20.5073	1.1111e+00	0.1273	0.015	1447.26	75.719	8.7121	59.417436	6.0962	0.038
0.028	2.3186	25.7121	20.5211	1.1111e+00	0.1273	0.015	1447.36	75.726	8.7081	59.417437	6.0934	0.028
0.028	2.3310	25.7398	20.5426	1.1233e+00	0.1273	0.015	1447.45	75.732	8.7043	59.417437	6.0908	0.028
0.039	2.3527	25.7605	20.5578	1.1477e+00	0.1273	0.015	1447.57	75.797	8.7058	59.417438	6.0918	0.039
0.026	2.3768	25.7765	20.5692	1.1600e+00	0.1273	0.015	1447.70	75.740	8.6929	59.417438	6.0828	0.026
0.028	2.3919	25.7899	20.5790	1.1600e+00	0.1273	0.015	1447.78	75.802	8.6959	59.417439	6.0849	0.028
0.028	2.4083	25.8000	20.5861	1.1722e+00	0.1273	0.015	1447.87	75.806	8.6921	59.417439	6.0822	0.028
0.028	2.4176	25.8069	20.5911	1.1844e+00	0.1273	0.015	1447.92	75.809	8.6900	59.417440	6.0807	0.028
0.037	2.4235	25.8039	20.5883	1.1722e+00	0.1273	0.015	1447.94	75.810	8.6890	59.417440	6.0801	0.038
0.015	2.4063	25.8096	20.5939	1.1722e+00	0.1273	0.015	1447.87	75.815	8.6930	59.417441	6.0828	0.015
0.039	2.3917	25.8050	20.5911	1.1722e+00	0.1273	0.015	1447.80	75.816	8.6966	59.417441	6.0854	0.039
0.028	2.3809	25.8001	20.5878	1.1600e+00	0.1273	0.015	1447.75	75.877	8.7063	59.417442	6.0922	0.028
0.026	2.3761	25.7984	20.5868	1.1600e+00	0.1273	0.015	1447.72	75.879	8.7077	59.417442	6.0932	0.026
0.028	2.3758	25.7976	20.5861	1.1477e+00	0.1273	0.015	1447.72	75.813	8.7002	59.417443	6.0879	0.028
0.028	2.3728	25.7993	20.5876	1.1355e+00	0.1273	0.015	1447.71	75.863	8.7066	59.417443	6.0923	0.028
0.028	2.3721	25.7999	20.5881	1.1355e+00	0.1285	0.015	1447.71	75.855	8.7058	59.417444	6.0918	0.028
0.026	2.3719	25.8024	20.5902	1.1355e+00	0.1273	0.015	1447.71	75.844	8.7044	59.417444	6.0908	0.026
0.028	2.3702	25.8023	20.5902	1.0989e+00	0.1273	0.015	1447.70	75.830	8.7032	59.417445	6.0900	0.028
0.015	2.3700	25.7950	20.5844	1.0867e+00	0.1273	0.015	1447.69	75.822	8.7027	59.417445	6.0897	0.015
0.026	2.3722	25.7873	20.5781	1.0745e+00	0.1273	0.015	1447.69	75.875	8.7088	59.417446	6.0939	0.026
0.028	2.3700	25.7865	20.5775	1.0745e+00	0.1273	0.015	1447.68	75.871	8.7089	59.417446	6.0940	0.028
0.003	2.3675	25.7885	20.5793	1.0745e+00	0.1273	0.015	1447.67	75.864	8.7085	59.417446	6.0937	0.003
0.039	2.3663	25.7891	20.5799	1.0867e+00	0.1273	0.015	1447.67	75.854	8.7076	59.417447	6.0931	0.039
0.026	2.3663	25.7886	20.5795	1.0989e+00	0.1273	0.015	1447.67	75.850	8.7072	59.417447	6.0928	0.026
0.028	2.3637	25.7900	20.5807	1.0989e+00	0.1273	0.015	1447.66	75.845	8.7070	59.417448	6.0927	0.028
0.028	2.3669	25.7904	20.5809	1.0989e+00	0.1273	0.015	1447.67	75.844	8.7062	59.417448	6.0921	0.028
0.028	2.3818	25.7860	20.5765	1.1233e+00	0.1285	0.015	1447.73	75.893	8.7088	59.417449	6.0939	0.028
0.013	2.3940	25.7869	20.5765	1.1233e+00	0.1273	0.015	1447.79	75.894	8.7061	59.417449	6.0920	0.013
0.028	2.3927	25.7945	20.5827	1.0989e+00	0.1273	0.015	1447.79	75.896	8.7062	59.417450	6.0921	0.028
0.015	2.3833	25.8048	20.5914	1.0989e+00	0.1273	0.015	1447.77	75.897	8.7078	59.417450	6.0932	0.015
0.028	2.3742	25.8124	20.5981	1.0989e+00	0.1273	0.015	1447.73	75.895	8.7092	59.417451	6.0942	0.028
0.026	2.3666	25.8168	20.6020	1.0867e+00	0.1273	0.015	1447.71	75.955	8.7174	59.417451	6.1000	0.026
0.028	2.3674	25.8116	20.5977	1.0867e+00	0.1273	0.015	1447.70	75.954	8.7175	59.417452	6.1000	0.028
0.015	2.3755	25.7990	20.5873	1.0867e+00	0.1273	0.015	1447.72	75.958	8.7169	59.417452	6.0996	0.015
0.013	2.3799	25.7934	20.5826	1.0989e+00	0.1273	0.015	1447.74	75.961	8.7165	59.417453	6.0993	0.013
0.039	2.3699	25.8014	20.5895	1.0989e+00	0.1273	0.015	1447.70	75.964	8.7187	59.417453	6.1008	0.039
0.015	2.3591	25.8060	20.5937	1.1111e+00	0.1285	0.015	1447.66	75.965	8.7209	59.417454	6.1024	0.015
0.028	2.3527	25.8018	20.5908	1.1355e+00	0.1273	0.015	1447.63	75.962	8.7222	59.417454	6.1033	0.028
0.026	2.3496	25.7977	20.5877	1.1233e+00	0.1273	0.015	1447.61	76.019	8.7298	59.417455	6.1086	0.026
0.015	2.3486	25.7977	20.5877	1.0989e+00	0.1285	0.015	1447.60	76.018	8.7299	59.417455	6.1087	0.015
0.028	2.3488	25.7980	20.5880	1.0989e+00	0.1285	0.015	1447.60	76.024	8.7304	59.417456	6.1090	0.028
0.015	2.3507	25.7949	20.5854	1.1111e+00	0.1273	0.015	1447.61	76.026	8.7305	59.417456	6.1091	0.015
0.026	2.3538	25.7917	20.5827	1.1111e+00	0.1273	0.015	1447.62	76.025	8.7299	59.417457	6.1087	0.026
0.015	2.3563	25.7923	20.5830	1.1111e+00	0.1273	0.015	1447.63	76.022	8.7289	59.417457	6.1080	0.015
