DepSM	T090C	Sal00	Sigma-t00	FlSP	WetStar	SeaTurbMtr	SvCM	Sbeox0PS	Sbeox0Mg/L	TimeJ	Sbeox0ML/L	PrDM
0.000	2.5456	26.1623	20.8669	9.3356e-01	0.1274	0.015	1448.95	76.570	8.7275	59.417692	6.1070	-0.000
1.000	2.7406	26.7106	21.2920	6.7787e-01	0.1276	0.015	1450.54	76.698	8.6664	59.418005	6.0643	1.010
2.000	2.8360	27.0536	21.5591	5.8732e-01	0.1275	0.015	1451.42	77.277	8.6904	59.418021	6.0810	2.019
3.000	2.9044	27.4083	21.8372	5.2349e-01	0.1278	0.016	1452.19	77.207	8.6467	59.418043	6.0505	3.028
4.000	2.9484	27.8805	22.2103	6.0623e-01	0.1279	0.015	1453.01	76.708	8.5538	59.418063	5.9855	4.038
5.000	2.9707	28.1181	22.3981	6.0887e-01	0.1279	0.015	1453.43	76.246	8.4837	59.418085	5.9364	5.048
6.000	2.9790	28.3811	22.6071	5.1468e-01	0.1278	0.016	1453.83	75.851	8.4230	59.418105	5.8939	6.057
7.000	2.9681	28.5245	22.7222	5.3963e-01	0.1278	0.016	1453.98	75.690	8.3991	59.418125	5.8772	7.066
8.000	2.9774	28.7191	22.8766	5.1431e-01	0.1279	0.016	1454.29	75.569	8.3727	59.418146	5.8587	8.076
9.000	2.9858	28.8640	22.9915	5.3471e-01	0.1280	0.016	1454.53	75.133	8.3144	59.418166	5.8179	9.086
10.000	3.0076	28.9891	23.0895	4.4937e-01	0.1286	0.016	1454.80	74.716	8.2567	59.418186	5.7776	10.095
11.000	3.0870	29.1828	23.2378	4.6195e-01	0.1313	0.016	1455.42	74.359	8.1902	59.418206	5.7310	11.105
12.000	3.1156	29.3457	23.3654	4.5213e-01	0.1337	0.017	1455.77	74.200	8.1578	59.418227	5.7083	12.114
13.000	3.1411	29.4284	23.4293	4.1625e-01	0.1353	0.017	1456.00	73.847	8.1093	59.418247	5.6744	13.124
14.000	3.1784	29.5349	23.5112	3.4960e-01	0.1369	0.016	1456.32	73.372	8.0437	59.418268	5.6285	14.133
15.000	3.4075	29.9028	23.7854	3.0867e-01	0.1381	0.017	1457.79	73.022	7.9402	59.418288	5.5561	15.143
16.000	3.8024	30.4607	24.1950	2.9723e-01	0.1392	0.017	1460.21	73.010	7.8323	59.418309	5.4806	16.152
17.000	4.2667	31.0638	24.6305	2.8122e-01	0.1398	0.017	1462.96	72.886	7.6996	59.418330	5.3878	17.162
18.000	4.6882	31.3982	24.8536	2.5901e-01	0.1400	0.017	1465.15	71.594	7.4695	59.418350	5.2267	18.172
19.000	5.2523	31.7340	25.0586	2.1940e-01	0.1398	0.017	1467.91	69.589	7.1474	59.418370	5.0014	19.181
20.000	5.9514	32.1042	25.2706	2.0821e-01	0.1397	0.017	1471.22	67.127	6.7644	59.418391	4.7333	20.191
21.000	6.5657	32.3483	25.3868	1.8786e-01	0.1397	0.017	1473.98	64.795	6.4262	59.418412	4.4967	21.200
22.000	7.1822	32.5410	25.4575	1.7282e-01	0.1395	0.017	1476.65	60.614	5.9191	59.418433	4.1418	22.210
23.000	7.3340	32.6003	25.4835	1.7124e-01	0.1394	0.017	1477.33	55.977	5.4449	59.418453	3.8100	23.220
24.000	7.5246	32.6922	25.5293	1.7205e-01	0.1390	0.017	1478.20	51.328	4.9681	59.418474	3.4764	24.229
25.000	7.7201	32.8012	25.5876	1.7182e-01	0.1385	0.017	1479.10	48.315	4.6522	59.418495	3.2553	25.239
26.000	7.7605	32.8289	25.6035	1.7210e-01	0.1379	0.017	1479.30	47.102	4.5304	59.418515	3.1701	26.248
