DepSM	T090C	Sal00	Sigma-t00	FlSP	WetStar	SeaTurbMtr	SvCM	Sbeox0PS	Sbeox0Mg/L	TimeJ	Sbeox0ML/L	PrDM
0.000	3.1383	26.9875	21.4854	1.9720e+00	0.1274	0.010	1452.62	72.327	8.0758	59.605750	5.6510	-0.000
1.000	3.1697	27.0574	21.5388	1.0110e+00	0.1276	0.011	1452.86	70.559	7.8685	59.605770	5.5059	1.009
2.000	3.1800	27.0648	21.5440	2.5775e-01	0.1277	0.013	1452.93	71.104	7.9268	59.605789	5.5467	2.019
3.000	3.1979	27.1947	21.6461	2.8084e-01	0.1280	0.015	1453.19	70.990	7.9036	59.605807	5.5305	3.028
4.000	3.2049	27.4131	21.8194	3.6559e-01	0.1284	0.015	1453.52	71.828	7.9836	59.605830	5.5864	4.038
5.000	3.1677	27.9094	22.2174	5.2882e-01	0.1286	0.015	1454.02	73.656	8.1668	59.605850	5.7147	5.047
6.000	3.1427	28.0568	22.3366	5.6241e-01	0.1286	0.016	1454.12	74.823	8.2932	59.605870	5.8031	6.057
7.000	3.1297	28.2467	22.4888	4.5199e-01	0.1288	0.015	1454.32	74.940	8.2980	59.605891	5.8065	7.067
8.000	3.1502	28.5327	22.7151	4.1384e-01	0.1289	0.016	1454.80	74.740	8.2556	59.605912	5.7768	8.076
9.000	3.1707	28.6835	22.8336	4.2078e-01	0.1289	0.016	1455.10	74.769	8.2461	59.605932	5.7701	9.086
10.000	3.2286	28.9965	23.0784	4.1456e-01	0.1287	0.015	1455.77	74.611	8.1994	59.605955	5.7374	10.095
11.000	3.2745	29.2049	23.2407	3.9933e-01	0.1289	0.015	1456.25	74.227	8.1363	59.605975	5.6933	11.105
12.000	3.3159	29.4003	23.3930	4.1885e-01	0.1289	0.015	1456.70	73.602	8.0488	59.605995	5.6321	12.114
13.000	3.4244	29.8274	23.7240	5.1615e-01	0.1288	0.015	1457.74	72.872	7.9246	59.606017	5.5452	13.124
14.000	3.6265	30.3195	24.0983	5.2340e-01	0.1288	0.015	1459.25	72.234	7.7901	59.606038	5.4510	14.133
15.000	3.7558	30.5880	24.3005	5.2377e-01	0.1286	0.015	1460.16	71.959	7.7217	59.606058	5.4032	15.143
16.000	3.9341	30.8786	24.5152	4.7106e-01	0.1290	0.015	1461.31	71.726	7.6481	59.606081	5.3517	16.152
17.000	4.1195	31.1052	24.6778	3.6707e-01	0.1288	0.015	1462.39	70.809	7.5048	59.606101	5.2514	17.162
18.000	4.2716	31.2809	24.8026	3.4314e-01	0.1290	0.016	1463.27	69.649	7.3458	59.606121	5.1401	18.172
19.000	4.6097	31.5507	24.9826	3.0550e-01	0.1289	0.015	1465.04	68.482	7.1510	59.606143	5.0039	19.181
20.000	5.2250	31.8856	25.1819	2.5006e-01	0.1291	0.015	1468.01	67.234	6.9025	59.606163	4.8300	20.191
21.000	5.5429	32.0725	25.2938	2.3781e-01	0.1290	0.015	1469.56	66.397	6.7568	59.606184	4.7280	21.200
22.000	5.9658	32.3031	25.4262	2.3220e-01	0.1290	0.015	1471.57	65.567	6.5959	59.606205	4.6154	22.210
23.000	6.2124	32.4146	25.4840	2.1623e-01	0.1287	0.015	1472.71	63.336	6.3303	59.606226	4.4296	23.219
24.000	6.4195	32.5110	25.5340	2.0046e-01	0.1289	0.015	1473.66	60.619	6.0256	59.606248	4.2163	24.229
25.000	6.4579	32.5876	25.5896	1.9979e-01	0.1291	0.015	1473.93	57.620	5.7194	59.606270	4.0021	25.239
26.000	6.4814	32.6404	25.6282	2.0232e-01	0.1290	0.015	1474.10	56.183	5.5718	59.606290	3.8988	26.248
27.000	6.4880	32.6672	25.6485	2.0404e-01	0.1292	0.016	1474.18	54.969	5.4495	59.606312	3.8132	27.258
28.000	6.4818	32.6891	25.6666	1.9825e-01	0.1292	0.016	1474.20	54.204	5.3737	59.606334	3.7602	28.268
29.000	6.4704	32.7074	25.6824	1.9917e-01	0.1293	0.016	1474.19	53.100	5.2650	59.606355	3.6841	29.277
30.000	6.4920	32.7294	25.6970	1.9780e-01	0.1295	0.016	1474.32	52.375	5.1897	59.606376	3.6315	30.287
31.000	6.5616	32.7568	25.7096	1.9673e-01	0.1295	0.016	1474.65	52.366	5.1796	59.606398	3.6244	31.296
32.000	6.6905	32.7973	25.7248	1.9483e-01	0.1295	0.017	1475.22	52.563	5.1821	59.606419	3.6261	32.306
33.000	6.7650	32.8262	25.7379	1.9347e-01	0.1295	0.017	1475.57	52.651	5.1809	59.606441	3.6253	33.316
34.000	6.8253	32.8608	25.7572	1.8558e-01	0.1297	0.017	1475.86	52.372	5.1451	59.606462	3.6002	34.325
35.000	6.9303	32.9171	25.7876	1.7988e-01	0.1296	0.017	1476.36	51.884	5.0830	59.606485	3.5568	35.335
36.000	7.0853	32.9715	25.8095	1.7667e-01	0.1296	0.017	1477.05	51.789	5.0538	59.606506	3.5363	36.345
37.000	7.2777	33.0500	25.8451	1.7095e-01	0.1298	0.017	1477.91	52.011	5.0505	59.606528	3.5340	37.354
38.000	7.3295	33.0887	25.8683	1.7067e-01	0.1298	0.017	1478.17	52.016	5.0437	59.606550	3.5293	38.364
39.000	7.3766	33.1156	25.8829	1.6869e-01	0.1297	0.017	1478.40	51.625	4.9995	59.606571	3.4984	39.374
40.000	7.4266	33.1438	25.8982	1.6307e-01	0.1298	0.017	1478.65	51.429	4.9740	59.606591	3.4805	40.383
41.000	7.5157	33.1942	25.9253	1.5900e-01	0.1298	0.017	1479.07	51.649	4.9835	59.606613	3.4871	41.393
42.000	7.5950	33.2310	25.9430	1.5873e-01	0.1297	0.017	1479.43	51.896	4.9971	59.606634	3.4967	42.403
43.000	7.6973	33.2971	25.9804	1.5706e-01	0.1299	0.017	1479.92	52.061	4.9991	59.606655	3.4981	43.412
44.000	7.7289	33.3288	26.0007	1.5651e-01	0.1298	0.017	1480.10	52.384	5.0256	59.606677	3.5166	44.422
45.000	7.7530	33.3589	26.0209	1.5457e-01	0.1298	0.017	1480.25	52.884	5.0697	59.606697	3.5475	45.432
46.000	7.7855	33.3875	26.0387	1.4908e-01	0.1298	0.017	1480.42	53.427	5.1170	59.606718	3.5806	46.442
47.000	7.8320	33.4201	26.0576	1.4715e-01	0.1298	0.017	1480.66	54.022	5.1675	59.606739	3.6159	47.451
48.000	7.8665	33.4556	26.0805	1.4703e-01	0.1299	0.017	1480.85	54.434	5.2016	59.606761	3.6398	48.461
49.000	7.8920	33.4891	26.1031	1.4623e-01	0.1298	0.017	1481.00	54.890	5.2411	59.606783	3.6674	49.471
50.000	7.9069	33.5314	26.1341	1.4652e-01	0.1299	0.017	1481.13	55.309	5.2778	59.606803	3.6931	50.480
51.000	7.9008	33.5582	26.1561	1.4652e-01	0.1299	0.017	1481.16	55.781	5.3226	59.606824	3.7245	51.490
52.000	7.9214	33.5983	26.1845	1.4652e-01	0.1299	0.017	1481.30	56.301	5.3683	59.606846	3.7565	52.500
53.000	7.9442	33.6220	26.1998	1.4652e-01	0.1299	0.017	1481.43	56.883	5.4202	59.606866	3.7928	53.510
54.000	7.9849	33.6614	26.2248	1.4544e-01	0.1298	0.017	1481.65	57.385	5.4617	59.606888	3.8218	54.519
55.000	7.9980	33.6748	26.2334	1.4453e-01	0.1299	0.017	1481.74	57.702	5.4897	59.606909	3.8414	55.529
56.000	8.0206	33.6954	26.2462	1.4518e-01	0.1299	0.017	1481.86	57.963	5.5110	59.606931	3.8563	56.539
57.000	8.0277	33.7019	26.2503	1.4597e-01	0.1299	0.017	1481.92	58.015	5.5149	59.606952	3.8590	57.549
58.000	8.0382	33.7125	26.2571	1.4155e-01	0.1299	0.017	1481.98	58.083	5.5196	59.606973	3.8623	58.558
59.000	8.0423	33.7191	26.2617	1.4262e-01	0.1300	0.017	1482.03	58.200	5.5300	59.606994	3.8696	59.568
60.000	8.0561	33.7365	26.2733	1.4180e-01	0.1300	0.017	1482.12	58.189	5.5266	59.607015	3.8672	60.578
61.000	8.0610	33.7430	26.2776	1.4099e-01	0.1299	0.017	1482.16	58.222	5.5288	59.607036	3.8688	61.588
62.000	8.0739	33.7560	26.2860	1.4319e-01	0.1299	0.017	1482.24	58.281	5.5324	59.607058	3.8713	62.598
63.000	8.0772	33.7611	26.2895	1.4184e-01	0.1300	0.017	1482.28	58.429	5.5459	59.607078	3.8807	63.608
64.000	8.0821	33.7675	26.2937	1.3855e-01	0.1300	0.017	1482.32	58.387	5.5410	59.607100	3.8773	64.617
65.000	8.0826	33.7706	26.2961	1.3903e-01	0.1299	0.017	1482.34	58.473	5.5490	59.607121	3.8829	65.627
66.000	8.0865	33.7769	26.3005	1.4104e-01	0.1300	0.017	1482.38	58.402	5.5416	59.607142	3.8777	66.637
67.000	8.0874	33.7802	26.3029	1.4308e-01	0.1301	0.017	1482.40	58.531	5.5536	59.607163	3.8861	67.647
68.000	8.0921	33.7854	26.3063	1.4143e-01	0.1300	0.017	1482.44	58.603	5.5597	59.607184	3.8903	68.656
69.000	8.0959	33.7904	26.3097	1.4015e-01	0.1301	0.017	1482.48	58.620	5.5606	59.607205	3.8910	69.666
70.000	8.1034	33.7959	26.3129	1.4182e-01	0.1300	0.017	1482.53	58.618	5.5593	59.607227	3.8901	70.676
71.000	8.1086	33.7986	26.3142	1.4130e-01	0.1300	0.017	1482.57	58.629	5.5596	59.607248	3.8903	71.686
72.000	8.1161	33.8038	26.3172	1.4214e-01	0.1301	0.017	1482.62	58.622	5.5578	59.607268	3.8890	72.696
73.000	8.1240	33.8095	26.3205	1.3986e-01	0.1302	0.017	1482.68	58.545	5.5493	59.607289	3.8831	73.706
74.000	8.1259	33.8155	26.3249	1.3891e-01	0.1301	0.017	1482.71	58.652	5.5590	59.607309	3.8898	74.715
75.000	8.1232	33.8240	26.3320	1.4040e-01	0.1302	0.017	1482.73	58.575	5.5517	59.607330	3.8847	75.725
76.000	8.1212	33.8276	26.3351	1.4158e-01	0.1301	0.017	1482.74	58.586	5.5529	59.607352	3.8856	76.735
77.000	8.1211	33.8324	26.3389	1.3983e-01	0.1300	0.017	1482.76	58.411	5.5361	59.607373	3.8739	77.745
78.000	8.1211	33.8375	26.3429	1.4171e-01	0.1301	0.017	1482.78	58.605	5.5543	59.607393	3.8866	78.755
79.000	8.1217	33.8402	26.3449	1.3980e-01	0.1301	0.017	1482.81	58.722	5.5653	59.607415	3.8942	79.765
80.000	8.1219	33.8414	26.3458	1.3967e-01	0.1301	0.017	1482.83	58.765	5.5692	59.607434	3.8970	80.775
81.000	8.1244	33.8465	26.3495	1.4176e-01	0.1302	0.017	1482.86	58.873	5.5790	59.607456	3.9039	81.785
82.000	8.1256	33.8486	26.3509	1.3873e-01	0.1301	0.017	1482.88	58.811	5.5729	59.607477	3.8996	82.794
83.000	8.1264	33.8503	26.3522	1.3809e-01	0.1300	0.017	1482.90	58.735	5.5656	59.607497	3.8945	83.804
84.000	8.1269	33.8515	26.3530	1.3986e-01	0.1302	0.017	1482.92	58.781	5.5698	59.607518	3.8974	84.814
85.000	8.1275	33.8527	26.3539	1.4087e-01	0.1302	0.017	1482.94	58.748	5.5665	59.607540	3.8951	85.824
86.000	8.1278	33.8531	26.3542	1.3861e-01	0.1302	0.017	1482.96	58.753	5.5669	59.607559	3.8954	86.834
87.000	8.1285	33.8540	26.3548	1.3955e-01	0.1300	0.017	1482.98	58.679	5.5598	59.607579	3.8904	87.844
88.000	8.1287	33.8548	26.3553	1.3838e-01	0.1303	0.017	1483.00	58.729	5.5645	59.607598	3.8937	88.854
89.000	8.1289	33.8555	26.3559	1.3889e-01	0.1303	0.017	1483.02	58.752	5.5666	59.607617	3.8952	89.864
90.000	8.1280	33.8583	26.3582	1.3974e-01	0.1304	0.017	1483.04	58.755	5.5670	59.607638	3.8954	90.874
91.000	8.1273	33.8606	26.3601	1.4013e-01	0.1301	0.017	1483.05	58.761	5.5674	59.607660	3.8958	91.884
92.000	8.1270	33.8612	26.3607	1.4181e-01	0.1302	0.016	1483.07	58.748	5.5663	59.607681	3.8950	92.894
93.000	8.1270	33.8630	26.3620	1.4094e-01	0.1302	0.017	1483.09	58.679	5.5597	59.607704	3.8903	93.903
94.000	8.1268	33.8632	26.3622	1.4109e-01	0.1301	0.017	1483.10	58.855	5.5764	59.607725	3.9020	94.914
95.000	8.1270	33.8638	26.3627	1.4204e-01	0.1302	0.017	1483.12	58.773	5.5686	59.607874	3.8966	95.923
