DepSM	T090C	Sal00	Sigma-t00	FlSP	WetStar	SeaTurbMtr	SvCM	Sbeox0PS	Sbeox0Mg/L	TimeJ	Sbeox0ML/L	PrDM
-0.038	2.1846	25.8300	20.6228	5.9829e-01	0.1261	0.011	1446.91	76.604	8.8321	59.464537	6.1802	-0.039
-0.037	2.1831	25.8298	20.6227	6.1050e-01	0.1261	0.011	1446.90	76.604	8.8325	59.464538	6.1805	-0.037
-0.037	2.1805	25.8315	20.6242	6.2271e-01	0.1261	0.011	1446.90	76.541	8.8257	59.464538	6.1757	-0.037
-0.037	2.1788	25.8330	20.6255	6.3492e-01	0.1261	0.011	1446.89	76.532	8.8250	59.464538	6.1752	-0.037
-0.038	2.1777	25.8348	20.6270	6.3492e-01	0.1249	0.007	1446.89	76.460	8.8167	59.464539	6.1694	-0.039
-0.037	2.1775	25.8346	20.6269	6.3492e-01	0.1261	0.011	1446.89	76.442	8.8148	59.464539	6.1681	-0.037
-0.048	2.1781	25.8330	20.6256	6.2271e-01	0.1261	0.011	1446.89	76.361	8.8054	59.464540	6.1615	-0.048
-0.048	2.1787	25.8327	20.6253	6.2271e-01	0.1249	0.007	1446.89	76.336	8.8024	59.464540	6.1594	-0.048
-0.025	2.1798	25.8315	20.6242	6.2271e-01	0.1261	0.011	1446.89	76.249	8.7921	59.464541	6.1522	-0.025
-0.037	2.1814	25.8295	20.6226	6.1050e-01	0.1261	0.011	1446.90	76.153	8.7808	59.464541	6.1443	-0.037
-0.037	2.1825	25.8288	20.6220	6.1050e-01	0.1261	0.011	1446.90	76.113	8.7761	59.464542	6.1410	-0.037
-0.038	2.1834	25.8274	20.6208	5.9829e-01	0.1261	0.011	1446.90	76.012	8.7643	59.464542	6.1328	-0.039
-0.037	2.1836	25.8260	20.6197	6.1050e-01	0.1261	0.011	1446.90	75.968	8.7593	59.464543	6.1292	-0.037
-0.037	2.1839	25.8257	20.6194	6.1050e-01	0.1249	0.011	1446.90	75.926	8.7544	59.464543	6.1258	-0.037
-0.037	2.1846	25.8243	20.6183	5.9829e-01	0.1273	0.015	1446.90	75.823	8.7424	59.464544	6.1174	-0.037
-0.038	2.1847	25.8230	20.6172	6.1050e-01	0.1261	0.011	1446.90	75.713	8.7298	59.464544	6.1086	-0.039
-0.037	2.1851	25.8190	20.6140	6.1050e-01	0.1249	0.011	1446.90	75.660	8.7239	59.464545	6.1044	-0.037
-0.024	2.1853	25.8157	20.6113	6.3492e-01	0.1261	0.015	1446.90	75.547	8.7110	59.464545	6.0954	-0.024
-0.048	2.1860	25.8123	20.6086	6.3492e-01	0.1261	0.011	1446.89	75.492	8.7046	59.464546	6.0910	-0.048
-0.025	2.1857	25.8088	20.6058	6.3492e-01	0.1261	0.011	1446.89	75.440	8.6990	59.464546	6.0870	-0.025
-0.048	2.1848	25.8072	20.6046	6.1050e-01	0.1261	0.011	1446.88	75.328	8.6864	59.464547	6.0782	-0.048
-0.024	2.1841	25.8053	20.6031	5.9829e-01	0.1249	0.011	1446.88	75.275	8.6805	59.464547	6.0741	-0.024
-0.038	2.1838	25.8024	20.6008	5.9829e-01	0.1261	0.007	1446.87	75.161	8.6676	59.464548	6.0651	-0.039
-0.024	2.1836	25.8014	20.6000	6.1050e-01	0.1261	0.011	1446.87	75.107	8.6615	59.464548	6.0608	-0.024
-0.037	2.1830	25.8012	20.5999	6.1050e-01	0.1249	0.011	1446.87	74.993	8.6484	59.464549	6.0516	-0.037
-0.024	2.1820	25.7993	20.5984	6.1050e-01	0.1261	0.011	1446.86	74.938	8.6424	59.464549	6.0475	-0.024
-0.038	2.1811	25.7977	20.5972	5.9829e-01	0.1261	0.015	1446.85	74.823	8.6295	59.464550	6.0384	-0.039
-0.024	2.1806	25.7954	20.5954	5.9829e-01	0.1261	0.011	1446.85	74.705	8.6161	59.464550	6.0290	-0.024
-0.024	2.1814	25.7903	20.5913	5.9829e-01	0.1261	0.011	1446.85	74.646	8.6094	59.464551	6.0244	-0.024
-0.037	2.1834	25.7856	20.5874	5.9829e-01	0.1261	0.011	1446.85	74.528	8.5957	59.464551	6.0148	-0.037
-0.038	2.1850	25.7816	20.5841	6.1050e-01	0.1261	0.011	1446.85	74.472	8.5890	59.464552	6.0101	-0.039
-0.024	2.1846	25.7790	20.5821	6.1050e-01	0.1261	0.015	1446.85	74.357	8.5760	59.464552	6.0010	-0.024
-0.024	2.1850	25.7779	20.5811	6.1050e-01	0.1273	0.011	1446.85	74.303	8.5698	59.464552	5.9966	-0.024
-0.025	2.1870	25.7748	20.5786	6.1050e-01	0.1261	0.007	1446.85	74.191	8.5566	59.464553	5.9874	-0.025
-0.024	2.1897	25.7710	20.5754	6.1050e-01	0.1261	0.007	1446.86	74.140	8.5504	59.464553	5.9831	-0.024
-0.024	2.1888	25.7715	20.5758	6.2271e-01	0.1261	0.015	1446.85	74.033	8.5382	59.464554	5.9745	-0.024
-0.012	2.1882	25.7710	20.5755	6.2271e-01	0.1261	0.011	1446.85	73.987	8.5331	59.464554	5.9709	-0.012
-0.025	2.1879	25.7702	20.5749	6.1050e-01	0.1261	0.011	1446.85	73.884	8.5213	59.464555	5.9627	-0.025
-0.012	2.1875	25.7697	20.5745	6.1050e-01	0.1273	0.011	1446.85	73.843	8.5167	59.464555	5.9595	-0.012
-0.012	2.1871	25.7690	20.5739	6.1050e-01	0.1261	0.011	1446.84	73.745	8.5056	59.464556	5.9517	-0.012
-0.024	2.1848	25.7699	20.5747	6.2271e-01	0.1261	0.015	1446.83	73.647	8.4946	59.464556	5.9440	-0.024
-0.014	2.1819	25.7721	20.5767	6.2271e-01	0.1261	0.011	1446.82	73.611	8.4910	59.464557	5.9415	-0.014
