DepSM	T090C	Sal00	Sigma-t00	FlSP	WetStar	SeaTurbMtr	SvCM	Sbeox0PS	Sbeox0Mg/L	TimeJ	Sbeox0ML/L	PrDM
0.000	2.0112	25.8862	20.6776	5.9376e-01	0.1270	0.013	1446.21	74.791	8.6578	59.464928	6.0582	0.000
1.000	2.4787	26.1820	20.8863	9.6094e-01	0.1272	0.015	1448.69	74.737	8.5323	59.464956	5.9704	1.009
2.000	2.9496	26.5666	21.1634	6.7389e-01	0.1276	0.015	1451.28	74.753	8.4105	59.464975	5.8852	2.019
3.000	2.9323	26.9257	21.4507	7.4140e-01	0.1275	0.015	1451.69	75.077	8.4300	59.464992	5.8988	3.028
4.000	2.9150	27.2529	21.7125	5.9374e-01	0.1276	0.015	1452.05	76.664	8.5927	59.465009	6.0126	4.038
5.000	2.9726	27.7215	22.0819	4.1035e-01	0.1277	0.015	1452.93	77.507	8.6470	59.465027	6.0507	5.047
6.000	3.0405	28.1160	22.3913	3.4851e-01	0.1276	0.015	1453.75	77.433	8.6009	59.465048	6.0184	6.057
7.000	3.0452	28.5467	22.7342	3.6564e-01	0.1276	0.015	1454.35	77.019	8.5289	59.465072	5.9680	7.067
8.000	3.0173	28.7535	22.9010	4.3214e-01	0.1277	0.015	1454.51	76.506	8.4660	59.465093	5.9240	8.076
9.000	3.0665	29.1517	23.2146	5.1251e-01	0.1278	0.015	1455.25	75.956	8.3721	59.465114	5.8583	9.086
10.000	3.1103	29.3295	23.3529	5.2431e-01	0.1277	0.015	1455.69	75.533	8.3063	59.465135	5.8123	10.095
11.000	3.1750	29.5658	23.5360	4.5561e-01	0.1277	0.016	1456.29	75.278	8.2518	59.465155	5.7741	11.105
12.000	3.2478	29.9083	23.8030	3.7425e-01	0.1279	0.015	1457.07	74.410	8.1228	59.465174	5.6839	12.114
13.000	3.4652	30.4813	24.2409	4.0808e-01	0.1280	0.015	1458.75	73.538	7.9538	59.465195	5.5656	13.124
14.000	3.7793	30.9818	24.6115	3.4829e-01	0.1278	0.015	1460.75	72.900	7.7973	59.465215	5.4561	14.133
15.000	4.2142	31.2458	24.7799	3.2760e-01	0.1278	0.015	1462.93	72.221	7.6298	59.465234	5.3389	15.143
16.000	5.4049	31.5638	24.9062	3.0356e-01	0.1279	0.015	1468.26	71.398	7.3153	59.465255	5.1188	16.152
17.000	6.3656	31.8986	25.0579	2.7304e-01	0.1277	0.015	1472.57	69.986	6.9935	59.465275	4.8936	17.162
18.000	6.2937	32.0521	25.1875	2.5115e-01	0.1278	0.015	1472.49	69.503	6.9500	59.465294	4.8632	18.171
19.000	5.7963	32.1005	25.2864	2.5592e-01	0.1275	0.014	1470.58	66.571	6.7331	59.465315	4.7115	19.181
20.000	6.3551	32.2890	25.3670	2.3598e-01	0.1279	0.016	1473.06	59.349	5.9173	59.465336	4.1406	20.191
21.000	6.6960	32.4595	25.4579	2.1358e-01	0.1280	0.015	1474.64	54.243	5.3592	59.465355	3.7500	21.200
22.000	6.7430	32.5581	25.5295	2.0946e-01	0.1281	0.015	1474.96	54.951	5.4195	59.465376	3.7922	22.210
23.000	6.5378	32.5792	25.5727	2.1491e-01	0.1282	0.015	1474.20	53.478	5.2986	59.465397	3.7076	23.220
24.000	6.6018	32.6326	25.6065	2.1658e-01	0.1283	0.016	1474.53	50.549	4.9994	59.465416	3.4983	24.229
25.000	6.9576	32.7227	25.6309	2.0252e-01	0.1285	0.016	1476.06	48.986	4.8021	59.465438	3.3603	25.239
26.000	6.7657	32.7248	25.6579	2.0918e-01	0.1287	0.017	1475.33	49.260	4.8505	59.465459	3.3941	26.248
27.000	6.7753	32.7513	25.6775	2.1411e-01	0.1286	0.017	1475.41	48.579	4.7815	59.465478	3.3458	27.258
28.000	6.9165	32.8026	25.6992	2.0720e-01	0.1287	0.017	1476.05	46.811	4.5908	59.465500	3.2124	28.268
29.000	7.0238	32.8426	25.7163	2.0529e-01	0.1290	0.018	1476.53	46.693	4.5668	59.465521	3.1956	29.277
30.000	7.1432	32.8880	25.7360	2.0208e-01	0.1289	0.017	1477.07	46.397	4.5241	59.465541	3.1657	30.287
31.000	7.2534	32.9389	25.7610	2.0008e-01	0.1290	0.017	1477.57	45.314	4.4059	59.465562	3.0830	31.296
32.000	7.3862	32.9860	25.7797	1.9478e-01	0.1290	0.017	1478.16	43.833	4.2477	59.465583	2.9723	32.306
33.000	7.5282	33.0380	25.8007	1.9089e-01	0.1291	0.018	1478.79	42.011	4.0566	59.465603	2.8386	33.316
34.000	7.7020	33.1002	25.8250	1.8262e-01	0.1288	0.017	1479.55	40.616	3.9049	59.465624	2.7324	34.325
35.000	7.9584	33.1785	25.8495	1.7209e-01	0.1290	0.017	1480.64	39.403	3.7643	59.465646	2.6341	35.335
36.000	8.1462	33.2476	25.8762	1.6429e-01	0.1290	0.018	1481.45	38.734	3.6831	59.465666	2.5772	36.345
37.000	8.3425	33.3257	25.9082	1.5783e-01	0.1292	0.017	1482.31	39.061	3.6960	59.465687	2.5862	37.354
38.000	8.4960	33.3830	25.9300	1.4738e-01	0.1293	0.018	1482.97	41.106	3.8746	59.465708	2.7112	38.364
39.000	8.5487	33.4055	25.9395	1.4652e-01	0.1291	0.017	1483.21	43.588	4.1032	59.465728	2.8712	39.374
40.000	8.6193	33.4464	25.9609	1.4625e-01	0.1292	0.017	1483.54	46.688	4.3869	59.465749	3.0697	40.383
41.000	8.6158	33.4511	25.9651	1.4652e-01	0.1292	0.018	1483.55	48.746	4.5805	59.465770	3.2052	41.393
42.000	8.6171	33.4624	25.9737	1.4652e-01	0.1293	0.018	1483.58	50.232	4.7196	59.465790	3.3025	42.403
43.000	8.6121	33.4700	25.9805	1.4623e-01	0.1293	0.017	1483.59	51.261	4.8167	59.465811	3.3704	43.413
44.000	8.6139	33.4817	25.9894	1.4562e-01	0.1295	0.017	1483.63	51.515	4.8400	59.465831	3.3867	44.422
45.000	8.6023	33.4857	25.9943	1.4595e-01	0.1295	0.017	1483.61	51.721	4.8604	59.465851	3.4010	45.432
46.000	8.6038	33.4981	26.0037	1.4451e-01	0.1294	0.017	1483.65	52.082	4.8938	59.465872	3.4244	46.442
47.000	8.5975	33.5057	26.0107	1.4592e-01	0.1295	0.017	1483.65	52.276	4.9125	59.465892	3.4375	47.451
48.000	8.5956	33.5159	26.0189	1.4541e-01	0.1296	0.017	1483.67	52.332	4.9176	59.465913	3.4411	48.461
49.000	8.5900	33.5219	26.0245	1.4419e-01	0.1296	0.017	1483.67	52.550	4.9385	59.465933	3.4557	49.471
50.000	8.5807	33.5247	26.0281	1.4536e-01	0.1298	0.017	1483.66	52.929	4.9751	59.465954	3.4813	50.480
51.000	8.5769	33.5292	26.0322	1.4598e-01	0.1297	0.017	1483.67	53.068	4.9884	59.465975	3.4906	51.490
52.000	8.5730	33.5330	26.0358	1.4564e-01	0.1297	0.017	1483.67	53.134	4.9949	59.465996	3.4952	52.500
53.000	8.5695	33.5372	26.0396	1.4448e-01	0.1297	0.017	1483.68	53.253	5.0064	59.466016	3.5032	53.510
54.000	8.5655	33.5382	26.0410	1.4210e-01	0.1298	0.017	1483.68	53.408	5.0214	59.466036	3.5137	54.519
55.000	8.5628	33.5414	26.0440	1.4537e-01	0.1298	0.017	1483.70	53.435	5.0241	59.466057	3.5156	55.529
56.000	8.5599	33.5446	26.0469	1.4510e-01	0.1298	0.018	1483.71	53.507	5.0311	59.466078	3.5205	56.539
57.000	8.5568	33.5469	26.0492	1.4541e-01	0.1298	0.018	1483.71	53.512	5.0319	59.466099	3.5210	57.549
58.000	8.5546	33.5489	26.0511	1.4303e-01	0.1298	0.017	1483.72	53.562	5.0367	59.466120	3.5244	58.559
59.000	8.5520	33.5510	26.0531	1.4444e-01	0.1299	0.017	1483.73	53.560	5.0368	59.466140	3.5244	59.568
60.000	8.5492	33.5531	26.0552	1.4453e-01	0.1299	0.017	1483.74	53.608	5.0416	59.466160	3.5278	60.578
61.000	8.5461	33.5559	26.0579	1.4396e-01	0.1299	0.017	1483.75	53.831	5.0628	59.466181	3.5427	61.588
62.000	8.5430	33.5580	26.0600	1.4507e-01	0.1299	0.017	1483.76	53.778	5.0581	59.466201	3.5394	62.598
63.000	8.5403	33.5609	26.0627	1.4299e-01	0.1300	0.017	1483.77	53.771	5.0577	59.466222	3.5391	63.607
64.000	8.5370	33.5645	26.0660	1.4413e-01	0.1299	0.018	1483.78	53.875	5.0677	59.466243	3.5461	64.617
65.000	8.5348	33.5658	26.0674	1.4362e-01	0.1301	0.017	1483.79	53.861	5.0665	59.466263	3.5453	65.627
66.000	8.5320	33.5695	26.0707	1.4374e-01	0.1300	0.017	1483.80	54.034	5.0831	59.466283	3.5568	66.637
67.000	8.5310	33.5718	26.0726	1.4413e-01	0.1300	0.017	1483.81	54.018	5.0816	59.466304	3.5558	67.647
68.000	8.5300	33.5729	26.0737	1.4313e-01	0.1301	0.017	1483.83	53.979	5.0780	59.466324	3.5533	68.657
69.000	8.5291	33.5750	26.0755	1.4154e-01	0.1301	0.017	1483.84	54.074	5.0870	59.466345	3.5595	69.666
70.000	8.5282	33.5770	26.0772	1.4391e-01	0.1301	0.017	1483.86	54.243	5.1029	59.466366	3.5707	70.676
71.000	8.5269	33.5779	26.0781	1.4419e-01	0.1301	0.017	1483.87	54.325	5.1107	59.466386	3.5762	71.686
72.000	8.5242	33.5796	26.0798	1.4346e-01	0.1301	0.017	1483.88	54.378	5.1159	59.466407	3.5798	72.696
73.000	8.5226	33.5816	26.0816	1.4182e-01	0.1301	0.018	1483.89	54.325	5.1110	59.466427	3.5764	73.706
74.000	8.5213	33.5830	26.0829	1.4224e-01	0.1301	0.017	1483.91	54.363	5.1147	59.466446	3.5790	74.716
75.000	8.5202	33.5847	26.0844	1.4396e-01	0.1300	0.018	1483.92	54.331	5.1118	59.466466	3.5769	75.725
76.000	8.5183	33.5858	26.0856	1.4285e-01	0.1301	0.017	1483.93	54.412	5.1196	59.466486	3.5824	76.735
77.000	8.5173	33.5862	26.0860	1.4353e-01	0.1302	0.017	1483.95	54.512	5.1291	59.466505	3.5890	77.745
78.000	8.5163	33.5869	26.0867	1.4319e-01	0.1300	0.017	1483.96	54.527	5.1306	59.466526	3.5901	78.755
79.000	8.5152	33.5878	26.0876	1.4212e-01	0.1300	0.017	1483.97	54.381	5.1170	59.466546	3.5806	79.765
80.000	8.5149	33.5888	26.0885	1.4326e-01	0.1301	0.017	1483.99	54.515	5.1295	59.466566	3.5894	80.775
81.000	8.5146	33.5900	26.0894	1.4126e-01	0.1301	0.017	1484.01	54.420	5.1206	59.466586	3.5831	81.785
82.000	8.5127	33.5906	26.0902	1.4129e-01	0.1302	0.017	1484.02	54.458	5.1244	59.466607	3.5857	82.794
83.000	8.5113	33.5921	26.0916	1.4366e-01	0.1301	0.017	1484.03	54.511	5.1295	59.466626	3.5893	83.804
84.000	8.5126	33.5934	26.0924	1.4354e-01	0.1301	0.017	1484.05	54.460	5.1245	59.466645	3.5858	84.814
85.000	8.5118	33.5954	26.0941	1.4332e-01	0.1302	0.017	1484.07	54.437	5.1224	59.466665	3.5844	85.824
86.000	8.5112	33.5956	26.0943	1.4429e-01	0.1300	0.017	1484.08	54.417	5.1205	59.466685	3.5830	86.834
87.000	8.5097	33.5958	26.0947	1.4272e-01	0.1301	0.018	1484.09	54.463	5.1251	59.466704	3.5862	87.844
88.000	8.5074	33.5962	26.0954	1.4263e-01	0.1302	0.017	1484.10	54.264	5.1066	59.466724	3.5733	88.854
89.000	8.5068	33.5965	26.0957	1.4165e-01	0.1302	0.017	1484.12	54.077	5.0890	59.466744	3.5610	89.864
90.000	8.5062	33.5969	26.0961	1.4410e-01	0.1300	0.017	1484.13	54.309	5.1109	59.466764	3.5763	90.874
91.000	8.5057	33.5973	26.0965	1.4320e-01	0.1301	0.017	1484.15	54.438	5.1231	59.466784	3.5849	91.884
92.000	8.5050	33.5977	26.0969	1.4347e-01	0.1302	0.017	1484.16	54.506	5.1296	59.466805	3.5894	92.894
93.000	8.5030	33.5976	26.0972	1.4507e-01	0.1303	0.017	1484.17	54.427	5.1224	59.466825	3.5843	93.904
94.000	8.4981	33.5977	26.0980	1.4435e-01	0.1304	0.017	1484.17	54.498	5.1296	59.466846	3.5894	94.913
95.000	8.4963	33.5983	26.0987	1.4362e-01	0.1302	0.017	1484.18	54.523	5.1322	59.466866	3.5912	95.924
96.000	8.4962	33.5992	26.0994	1.4178e-01	0.1302	0.018	1484.20	54.219	5.1036	59.466886	3.5712	96.933
97.000	8.4986	33.6006	26.1001	1.4290e-01	0.1302	0.017	1484.23	54.001	5.0826	59.466907	3.5565	97.943
98.000	8.4982	33.6013	26.1008	1.4186e-01	0.1303	0.017	1484.24	54.028	5.0852	59.466928	3.5583	98.953
99.000	8.4981	33.6015	26.1009	1.4100e-01	0.1301	0.017	1484.26	54.149	5.0966	59.466948	3.5663	99.963
100.000	8.4978	33.6019	26.1013	1.4343e-01	0.1301	0.017	1484.27	54.275	5.1085	59.466968	3.5747	100.973
101.000	8.4976	33.6023	26.1016	1.4396e-01	0.1302	0.017	1484.29	54.346	5.1153	59.466990	3.5794	101.983
102.000	8.4975	33.6026	26.1019	1.4246e-01	0.1302	0.017	1484.31	54.317	5.1125	59.467010	3.5774	102.993
103.000	8.4966	33.6030	26.1024	1.4291e-01	0.1302	0.017	1484.32	54.259	5.1071	59.467031	3.5736	104.003
104.000	8.4944	33.6035	26.1031	1.4487e-01	0.1302	0.017	1484.33	54.192	5.1010	59.467052	3.5694	105.013
105.000	8.4925	33.6036	26.1034	1.4303e-01	0.1303	0.017	1484.34	54.223	5.1042	59.467073	3.5716	106.023
