DepSM	T090C	Sal00	Sigma-t00	FlSP	WetStar	SeaTurbMtr	SvCM	Sbeox0PS	Sbeox0Mg/L	TimeJ	Sbeox0ML/L	PrDM
0.000	3.2449	27.0382	21.5181	4.2861e-01	0.1288	0.016	1453.15	73.395	8.1705	59.758681	5.7172	-0.000
1.000	3.2545	27.0590	21.5339	3.9566e-01	0.1287	0.015	1453.23	73.530	8.1824	59.758746	5.7255	1.009
2.000	3.2730	27.2639	21.6957	3.8238e-01	0.1289	0.015	1453.59	73.563	8.1708	59.758765	5.7175	2.019
3.000	3.2676	27.1472	21.6031	3.7616e-01	0.1287	0.015	1453.44	73.546	8.1765	59.758784	5.7214	3.029
4.000	3.2572	27.2220	21.6635	4.0771e-01	0.1287	0.015	1453.50	73.529	8.1727	59.758804	5.7188	4.038
5.000	3.2219	27.6651	22.0188	4.3931e-01	0.1289	0.016	1453.94	73.428	8.1440	59.758824	5.6987	5.047
6.000	3.1945	27.9539	22.2508	4.6881e-01	0.1287	0.015	1454.21	73.612	8.1540	59.758844	5.7057	6.057
7.000	3.1531	28.4629	22.6593	4.5111e-01	0.1286	0.015	1454.71	73.748	8.1493	59.758864	5.7024	7.067
8.000	3.1565	28.7383	22.8783	4.7441e-01	0.1287	0.015	1455.09	73.715	8.1298	59.758885	5.6887	8.076
9.000	3.2015	28.9983	23.0819	4.6042e-01	0.1286	0.015	1455.64	73.464	8.0787	59.758907	5.6530	9.086
10.000	3.2482	29.1785	23.2218	4.3751e-01	0.1283	0.015	1456.09	73.223	8.0329	59.758928	5.6210	10.095
11.000	3.3000	29.4487	23.4328	4.4365e-01	0.1281	0.015	1456.68	72.851	7.9672	59.758948	5.5750	11.105
12.000	3.3782	29.6843	23.6140	4.4624e-01	0.1282	0.012	1457.34	72.462	7.8967	59.758969	5.5257	12.114
13.000	3.5155	29.9616	23.8232	4.2157e-01	0.1284	0.015	1458.30	72.120	7.8181	59.758989	5.4706	13.124
14.000	3.7059	30.2579	24.0424	3.7474e-01	0.1287	0.015	1459.51	71.802	7.7316	59.759009	5.4101	14.133
15.000	3.8682	30.5025	24.2223	3.5382e-01	0.1288	0.015	1460.53	71.506	7.6563	59.759029	5.3575	15.143
16.000	3.9752	30.6666	24.3429	3.4376e-01	0.1285	0.015	1461.21	71.145	7.5894	59.759049	5.3106	16.152
17.000	4.1037	30.8909	24.5091	3.1864e-01	0.1287	0.015	1462.05	70.035	7.4363	59.759069	5.2035	17.162
18.000	4.3740	31.2117	24.7374	2.8368e-01	0.1288	0.015	1463.61	68.824	7.2443	59.759092	5.0692	18.172
19.000	4.8175	31.5530	24.9628	2.5504e-01	0.1290	0.016	1465.90	67.858	7.0505	59.759112	4.9335	19.181
