DepSM	T090C	Sal00	Sigma-t00	FlSP	WetStar	SeaTurbMtr	SvCM	Sbeox0PS	Sbeox0Mg/L	TimeJ	Sbeox0ML/L	PrDM
0.000	3.1949	27.7782	22.1109	7.6883e-01	0.1278	0.011	1453.89	69.681	7.7279	59.652959	5.4075	-0.000
1.000	3.1967	27.6891	22.0398	6.9144e-01	0.1285	0.013	1453.79	66.425	7.3708	59.653110	5.1576	1.009
2.000	3.2069	27.8968	22.2044	4.3785e-01	0.1288	0.015	1454.12	67.767	7.5071	59.653131	5.2530	2.019
3.000	3.2137	28.0143	22.2975	4.8960e-01	0.1290	0.016	1454.32	72.183	7.9886	59.653153	5.5899	3.028
4.000	3.2162	28.2114	22.4542	5.2925e-01	0.1290	0.015	1454.60	73.892	8.1663	59.653176	5.7143	4.038
5.000	3.1958	28.3963	22.6030	5.5712e-01	0.1291	0.016	1454.77	74.674	8.2466	59.653197	5.7705	5.047
6.000	3.1615	28.5088	22.6952	5.2969e-01	0.1291	0.015	1454.78	74.775	8.2585	59.653216	5.7788	6.057
7.000	3.1672	28.6530	22.8096	5.4483e-01	0.1292	0.015	1455.01	74.710	8.2421	59.653237	5.7673	7.067
8.000	3.1526	28.7423	22.8818	5.0961e-01	0.1293	0.015	1455.08	74.417	8.2077	59.653257	5.7433	8.076
9.000	3.1780	28.8388	22.9568	5.2066e-01	0.1296	0.015	1455.33	74.302	8.1844	59.653276	5.7270	9.086
10.000	3.2082	29.0213	23.0997	5.3043e-01	0.1293	0.015	1455.71	73.799	8.1129	59.653297	5.6769	10.095
11.000	3.2386	29.1921	23.2333	4.6807e-01	0.1291	0.015	1456.08	73.200	8.0316	59.653317	5.6200	11.105
12.000	3.2975	29.3731	23.3728	4.3543e-01	0.1292	0.015	1456.59	73.078	7.9967	59.653336	5.5956	12.114
13.000	3.4075	29.7297	23.6477	4.3212e-01	0.1293	0.015	1457.54	73.088	7.9567	59.653357	5.5676	13.124
14.000	3.5190	29.9990	23.8527	5.2060e-01	0.1293	0.015	1458.38	73.048	7.9159	59.653378	5.5391	14.133
15.000	3.7626	30.4411	24.1830	4.4485e-01	0.1295	0.015	1460.00	72.781	7.8164	59.653396	5.4695	15.143
16.000	3.9407	30.7283	24.3952	4.0636e-01	0.1292	0.015	1461.14	72.347	7.7209	59.653417	5.4026	16.152
17.000	4.0990	30.9324	24.5424	3.6266e-01	0.1295	0.015	1462.09	71.976	7.6412	59.653438	5.3468	17.162
18.000	4.5198	31.3275	24.8146	3.0038e-01	0.1293	0.015	1464.37	70.743	7.4146	59.653457	5.1883	18.172
19.000	4.8337	31.6137	25.0092	2.7579e-01	0.1293	0.015	1466.05	69.220	7.1861	59.653478	5.0284	19.181
20.000	5.2337	31.8952	25.1887	2.6650e-01	0.1294	0.015	1468.06	68.495	7.0298	59.653499	4.9191	20.191
21.000	5.5173	32.0589	25.2861	2.3985e-01	0.1291	0.015	1469.44	66.961	6.8190	59.653518	4.7715	21.200
22.000	5.7567	32.1693	25.3454	2.2731e-01	0.1290	0.014	1470.56	65.175	6.5947	59.653539	4.6146	22.210
23.000	6.0059	32.3134	25.4295	2.1584e-01	0.1296	0.016	1471.76	63.234	6.3549	59.653560	4.4468	23.219
24.000	6.1844	32.4000	25.4759	2.0368e-01	0.1296	0.016	1472.59	61.524	6.1536	59.653579	4.3059	24.229
25.000	6.2979	32.4777	25.5231	1.9835e-01	0.1296	0.015	1473.16	60.089	5.9910	59.653601	4.1922	25.239
26.000	6.2969	32.5236	25.5594	1.9710e-01	0.1297	0.016	1473.23	58.367	5.8178	59.653621	4.0709	26.248
27.000	6.3170	32.5437	25.5728	1.9536e-01	0.1297	0.016	1473.35	57.163	5.6943	59.653641	3.9845	27.258
28.000	6.3109	32.5501	25.5786	1.9668e-01	0.1298	0.016	1473.35	56.351	5.6140	59.653662	3.9283	28.268
29.000	6.3454	32.5811	25.5987	1.9563e-01	0.1298	0.017	1473.54	56.085	5.5818	59.653684	3.9058	29.277
30.000	6.3004	32.5992	25.6187	1.9448e-01	0.1299	0.017	1473.40	55.970	5.5756	59.653704	3.9015	30.287
31.000	6.3644	32.6652	25.6626	1.9211e-01	0.1298	0.017	1473.76	55.913	5.5592	59.653724	3.8900	31.296
32.000	6.3855	32.7001	25.6875	1.8683e-01	0.1299	0.017	1473.90	55.734	5.5373	59.653744	3.8747	32.306
33.000	6.3923	32.7272	25.7080	1.8440e-01	0.1299	0.017	1473.98	55.948	5.5567	59.653764	3.8883	33.316
34.000	6.4300	32.7711	25.7378	1.8030e-01	0.1299	0.017	1474.20	55.865	5.5421	59.653784	3.8780	34.325
35.000	6.4822	32.8182	25.7683	1.7881e-01	0.1300	0.017	1474.48	55.782	5.5253	59.653805	3.8663	35.335
36.000	6.5699	32.8920	25.8152	1.7066e-01	0.1299	0.017	1474.93	56.023	5.5352	59.653825	3.8732	36.345
37.000	6.6381	32.9368	25.8416	1.7123e-01	0.1299	0.017	1475.27	56.343	5.5564	59.653845	3.8881	37.354
38.000	6.7027	32.9857	25.8717	1.7094e-01	0.1299	0.017	1475.61	56.693	5.5808	59.653866	3.9051	38.364
39.000	6.7830	33.0390	25.9032	1.7063e-01	0.1300	0.017	1476.00	57.076	5.6062	59.653886	3.9229	39.374
40.000	6.8459	33.0809	25.9279	1.6383e-01	0.1298	0.017	1476.32	57.436	5.6317	59.653905	3.9407	40.383
41.000	6.9339	33.1422	25.9643	1.5898e-01	0.1299	0.017	1476.75	57.577	5.6318	59.653925	3.9408	41.393
42.000	7.0206	33.1953	25.9945	1.6028e-01	0.1300	0.017	1477.17	57.809	5.6413	59.653945	3.9474	42.403
43.000	7.0410	33.2130	26.0057	1.6022e-01	0.1299	0.017	1477.29	58.058	5.6623	59.653965	3.9621	43.413
44.000	7.0835	33.2391	26.0205	1.5870e-01	0.1300	0.017	1477.51	58.087	5.6586	59.653985	3.9596	44.422
45.000	7.1394	33.2781	26.0435	1.5962e-01	0.1300	0.018	1477.79	58.200	5.6609	59.654005	3.9612	45.432
46.000	7.2072	33.3211	26.0681	1.5904e-01	0.1300	0.017	1478.12	58.338	5.6640	59.654025	3.9633	46.442
47.000	7.2526	33.3511	26.0854	1.5818e-01	0.1300	0.017	1478.35	58.449	5.6677	59.654045	3.9659	47.451
48.000	7.3036	33.3851	26.1051	1.5756e-01	0.1299	0.017	1478.61	58.654	5.6797	59.654066	3.9743	48.461
49.000	7.3525	33.4188	26.1248	1.5543e-01	0.1302	0.017	1478.85	58.628	5.6696	59.654085	3.9673	49.471
50.000	7.4263	33.4639	26.1499	1.5362e-01	0.1301	0.017	1479.21	58.674	5.6629	59.654105	3.9625	50.481
51.000	7.4598	33.4842	26.1611	1.4837e-01	0.1300	0.017	1479.38	58.812	5.6710	59.654125	3.9683	51.490
52.000	7.4787	33.4956	26.1675	1.4999e-01	0.1300	0.017	1479.48	59.009	5.6872	59.654145	3.9796	52.500
53.000	7.4910	33.5040	26.1723	1.4714e-01	0.1301	0.017	1479.56	59.155	5.6994	59.654164	3.9881	53.510
54.000	7.5235	33.5257	26.1848	1.4803e-01	0.1303	0.017	1479.73	59.257	5.7042	59.654186	3.9914	54.520
55.000	7.5667	33.5547	26.2015	1.4653e-01	0.1300	0.018	1479.94	59.305	5.7021	59.654205	3.9900	55.529
56.000	7.6001	33.5762	26.2136	1.4652e-01	0.1301	0.017	1480.12	59.391	5.7052	59.654225	3.9921	56.539
57.000	7.6155	33.5862	26.2193	1.4652e-01	0.1300	0.018	1480.20	59.542	5.7174	59.654245	4.0007	57.549
58.000	7.6242	33.5920	26.2226	1.4652e-01	0.1301	0.017	1480.26	59.604	5.7219	59.654265	4.0039	58.559
59.000	7.6260	33.5943	26.2241	1.4652e-01	0.1302	0.017	1480.29	59.597	5.7210	59.654284	4.0032	59.568
60.000	7.6531	33.6155	26.2369	1.4623e-01	0.1303	0.017	1480.43	59.630	5.7198	59.654304	4.0024	60.578
61.000	7.6950	33.6432	26.2527	1.4652e-01	0.1301	0.017	1480.64	59.666	5.7167	59.654324	4.0002	61.588
62.000	7.7120	33.6553	26.2597	1.4652e-01	0.1302	0.017	1480.74	59.727	5.7199	59.654344	4.0025	62.598
63.000	7.7193	33.6613	26.2634	1.4625e-01	0.1303	0.018	1480.79	59.707	5.7169	59.654364	4.0003	63.607
64.000	7.7282	33.6669	26.2665	1.4622e-01	0.1301	0.017	1480.85	59.843	5.7286	59.654385	4.0085	64.617
65.000	7.7316	33.6701	26.2686	1.4652e-01	0.1301	0.017	1480.88	59.804	5.7243	59.654404	4.0055	65.627
66.000	7.7478	33.6826	26.2760	1.4596e-01	0.1303	0.018	1480.98	59.722	5.7139	59.654425	3.9982	66.637
67.000	7.7594	33.6912	26.2811	1.4622e-01	0.1302	0.017	1481.05	59.778	5.7174	59.654445	4.0007	67.647
68.000	7.7687	33.6982	26.2853	1.4587e-01	0.1302	0.017	1481.11	59.848	5.7226	59.654465	4.0044	68.656
69.000	7.7736	33.7019	26.2874	1.4479e-01	0.1303	0.018	1481.15	59.824	5.7196	59.654483	4.0022	69.666
70.000	7.7748	33.7027	26.2879	1.4531e-01	0.1302	0.017	1481.17	59.848	5.7216	59.654504	4.0037	70.676
71.000	7.7757	33.7035	26.2884	1.4427e-01	0.1301	0.017	1481.19	59.861	5.7227	59.654522	4.0044	71.686
72.000	7.7783	33.7055	26.2896	1.4593e-01	0.1304	0.018	1481.22	59.836	5.7200	59.654542	4.0025	72.696
73.000	7.7822	33.7091	26.2919	1.4448e-01	0.1303	0.017	1481.26	59.845	5.7201	59.654562	4.0026	73.706
74.000	7.7861	33.7123	26.2938	1.4652e-01	0.1305	0.017	1481.29	59.780	5.7133	59.654582	3.9979	74.716
