DepSM	T090C	Sal00	Sigma-t00	FlSP	WetStar	SeaTurbMtr	SvCM	Sbeox0PS	Sbeox0Mg/L	TimeJ	Sbeox0ML/L	PrDM
0.000	3.0470	16.6840	13.2911	1.0791e+00	0.1266	0.012	1438.91	71.444	8.5756	59.508771	6.0007	-0.000
1.000	3.0627	26.2025	20.8657	1.4470e+00	0.1271	0.014	1451.29	71.467	8.0377	59.508794	5.6243	1.009
2.000	3.0223	26.8754	21.4043	1.1304e+00	0.1275	0.015	1452.00	73.717	8.2613	59.508815	5.7808	2.019
3.000	3.0527	27.0142	21.5128	6.9668e-01	0.1276	0.015	1452.33	75.958	8.4979	59.508836	5.9463	3.029
4.000	3.0848	27.3593	21.7853	3.5750e-01	0.1276	0.015	1452.93	77.163	8.6055	59.508858	6.0217	4.038
5.000	3.1117	27.6267	21.9964	2.8816e-01	0.1277	0.015	1453.41	77.647	8.6380	59.508880	6.0444	5.048
6.000	3.1175	27.8672	22.1875	2.8046e-01	0.1277	0.015	1453.76	77.477	8.6038	59.508900	6.0204	6.057
7.000	3.1064	28.2765	22.5143	2.8532e-01	0.1279	0.015	1454.26	76.791	8.5063	59.508922	5.9522	7.067
8.000	3.1062	28.6433	22.8065	3.4047e-01	0.1278	0.015	1454.75	76.199	8.4196	59.508944	5.8916	8.076
9.000	3.1540	28.9193	23.0228	3.3431e-01	0.1278	0.015	1455.33	76.145	8.3879	59.508964	5.8693	9.085
10.000	3.1664	29.0195	23.1015	3.3326e-01	0.1280	0.015	1455.53	75.970	8.3603	59.508986	5.8500	10.095
11.000	3.2760	29.3149	23.3281	3.3018e-01	0.1281	0.015	1456.40	75.089	8.2245	59.509007	5.7550	11.105
12.000	3.6476	29.8912	23.7557	3.1821e-01	0.1281	0.015	1458.75	73.874	7.9862	59.509028	5.5883	12.114
13.000	3.9482	30.3071	24.0598	3.0017e-01	0.1283	0.015	1460.58	73.437	7.8581	59.509051	5.4986	13.124
14.000	4.1857	30.5625	24.2399	3.1510e-01	0.1282	0.015	1461.92	69.641	7.3990	59.509108	5.1774	14.133
15.000	3.9517	30.4318	24.1613	3.0638e-01	0.1278	0.010	1460.81	43.136	4.6228	59.509437	3.2347	15.142
