DepSM	T090C	Sal00	Sigma-t00	FlSP	WetStar	SeaTurbMtr	SvCM	Sbeox0PS	Sbeox0Mg/L	TimeJ	Sbeox0ML/L	PrDM
0.000	3.2959	25.8888	20.5998	4.4459e-01	0.1259	0.015	1451.89	74.205	8.3148	59.723472	5.8182	-0.000
1.000	3.3298	26.0523	20.7275	4.0896e-01	0.1267	0.015	1452.26	74.025	8.2784	59.723528	5.7927	1.009
2.000	3.4252	26.5182	21.0910	3.9044e-01	0.1280	0.015	1453.29	73.919	8.2208	59.723551	5.7524	2.019
3.000	3.4963	26.9176	21.4034	3.9072e-01	0.1284	0.016	1454.13	74.004	8.1934	59.723572	5.7333	3.029
4.000	3.5135	26.9960	21.4644	3.9272e-01	0.1284	0.015	1454.32	74.239	8.2115	59.723592	5.7459	4.038
5.000	3.5171	27.0422	21.5009	4.4206e-01	0.1286	0.015	1454.41	74.194	8.2033	59.723614	5.7402	5.047
6.000	3.6237	27.5205	21.8728	3.9905e-01	0.1287	0.015	1455.50	73.668	8.0974	59.723636	5.6661	6.057
7.000	3.7763	28.0060	22.2463	3.8554e-01	0.1287	0.015	1456.79	73.332	8.0036	59.723655	5.6004	7.067
8.000	3.9752	28.5778	22.6836	3.5445e-01	0.1287	0.015	1458.39	73.421	7.9434	59.723678	5.5583	8.076
9.000	4.1627	29.1797	23.1447	3.3077e-01	0.1287	0.015	1459.97	73.079	7.8384	59.723700	5.4848	9.085
10.000	4.7071	30.1184	23.8370	2.9101e-01	0.1287	0.015	1463.47	72.175	7.5917	59.723719	5.3122	10.095
11.000	5.2220	30.9556	24.4460	2.6771e-01	0.1284	0.014	1466.67	71.133	7.3490	59.723743	5.1424	11.105
12.000	5.5987	31.5605	24.8827	2.2934e-01	0.1289	0.015	1468.99	70.646	7.2041	59.723764	5.0410	12.114
13.000	5.8187	31.8721	25.1033	2.3580e-01	0.1288	0.015	1470.28	69.899	7.0763	59.723784	4.9516	13.124
14.000	6.1132	32.2515	25.3674	2.2177e-01	0.1289	0.015	1471.96	67.216	6.7410	59.723807	4.7170	14.133
15.000	6.2482	32.4119	25.4774	2.0516e-01	0.1290	0.015	1472.71	64.381	6.4292	59.723828	4.4988	15.143
