DepSM	T090C	Sal00	Sigma-t00	FlSP	WetStar	SeaTurbMtr	SvCM	Sbeox0PS	Sbeox0Mg/L	TimeJ	Sbeox0ML/L	PrDM
-0.097	3.1271	20.2901	16.1567	5.6166e-01	0.1273	0.011	1443.92	78.637	9.1921	59.682627	6.4321	-0.098
-0.110	3.1112	20.2980	16.1638	5.7387e-01	0.1273	0.015	1443.86	78.640	9.1957	59.682628	6.4346	-0.111
-0.097	3.0950	20.3090	16.1734	5.7387e-01	0.1261	0.011	1443.80	78.644	9.1992	59.682628	6.4371	-0.098
-0.097	3.0813	20.3077	16.1730	5.6166e-01	0.1273	0.007	1443.74	78.583	9.1954	59.682629	6.4344	-0.098
-0.097	3.0749	20.2977	16.1654	5.6166e-01	0.1273	0.015	1443.70	78.512	9.1893	59.682629	6.4301	-0.098
-0.110	3.0757	20.2905	16.1596	5.6166e-01	0.1273	0.011	1443.69	78.495	9.1875	59.682630	6.4289	-0.111
-0.097	3.0835	20.2690	16.1422	5.6166e-01	0.1261	0.007	1443.70	78.414	9.1775	59.682630	6.4219	-0.098
-0.097	3.0830	20.2431	16.1215	5.7387e-01	0.1285	0.011	1443.67	78.390	9.1764	59.682631	6.4211	-0.098
-0.085	3.0811	20.2329	16.1135	5.7387e-01	0.1273	0.011	1443.65	78.367	9.1749	59.682631	6.4200	-0.086
-0.097	3.0827	20.2258	16.1078	5.6166e-01	0.1273	0.007	1443.64	78.281	9.1649	59.682632	6.4131	-0.098
-0.097	3.0894	20.1935	16.0818	5.6166e-01	0.1273	0.007	1443.63	78.187	9.1543	59.682632	6.4056	-0.098
-0.084	3.0961	20.1592	16.0541	5.6166e-01	0.1273	0.015	1443.62	78.149	9.1505	59.682633	6.4030	-0.085
-0.098	3.0992	20.1462	16.0437	5.6166e-01	0.1285	0.011	1443.61	78.114	9.1464	59.682633	6.4001	-0.099
-0.084	3.1061	20.1259	16.0271	5.7387e-01	0.1273	0.007	1443.62	78.017	9.1347	59.682634	6.3919	-0.085
-0.084	3.1153	20.0955	16.0025	5.8608e-01	0.1273	0.011	1443.62	77.975	9.1296	59.682634	6.3883	-0.085
-0.084	3.1253	20.0803	15.9899	5.7387e-01	0.1273	0.011	1443.64	77.873	9.1162	59.682635	6.3790	-0.085
-0.085	3.1410	20.0664	15.9780	5.7387e-01	0.1261	0.007	1443.70	77.826	9.1080	59.682635	6.3732	-0.086
-0.072	3.1611	20.0440	15.9592	5.7387e-01	0.1273	0.007	1443.76	77.782	9.0995	59.682636	6.3673	-0.073
-0.072	3.1769	20.0288	15.9463	5.7387e-01	0.1273	0.011	1443.81	77.677	9.0845	59.682636	6.3568	-0.073
-0.074	3.1857	20.0233	15.9415	5.7387e-01	0.1273	0.011	1443.84	77.631	9.0775	59.682636	6.3519	-0.075
-0.059	3.1885	20.0195	15.9383	5.7387e-01	0.1273	0.007	1443.85	77.590	9.0722	59.682637	6.3482	-0.060
-0.059	3.1881	20.0193	15.9382	5.7387e-01	0.1273	0.011	1443.84	77.488	9.0604	59.682637	6.3399	-0.060
