DepSM	T090C	Sal00	Sigma-t00	FlSP	WetStar	SeaTurbMtr	SvCM	Sbeox0PS	Sbeox0Mg/L	TimeJ	Sbeox0ML/L	PrDM
0.000	3.2818	20.7240	16.4934	5.4422e-01	0.1283	0.013	1445.17	76.007	8.8237	59.683077	6.1743	0.000
1.000	3.1293	20.8526	16.6040	5.0544e-01	0.1287	0.015	1444.68	75.697	8.8142	59.683099	6.1677	1.010
2.000	2.9897	21.8132	17.3760	4.2074e-01	0.1288	0.015	1445.31	76.869	8.9239	59.683121	6.2444	2.019
3.000	2.9347	23.2996	18.5622	4.0224e-01	0.1289	0.015	1447.01	77.324	8.8989	59.683143	6.2269	3.028
4.000	2.9443	24.5909	19.5900	3.7685e-01	0.1289	0.015	1448.74	77.311	8.8174	59.683165	6.1699	4.038
5.000	2.9112	25.8753	20.6152	3.9610e-01	0.1289	0.015	1450.27	77.708	8.7927	59.683187	6.1526	5.048
6.000	2.8555	26.3452	20.9932	4.2290e-01	0.1289	0.015	1450.65	77.680	8.7738	59.683209	6.1394	6.057
7.000	2.8562	26.5992	21.1956	4.0798e-01	0.1290	0.015	1451.00	76.910	8.6716	59.683231	6.0679	7.067
8.000	2.9133	26.9350	21.4594	3.9744e-01	0.1290	0.015	1451.70	76.187	8.5582	59.683254	5.9885	8.076
9.000	3.1349	27.2141	21.6660	3.9196e-01	0.1291	0.015	1453.04	75.768	8.4479	59.683276	5.9114	9.086
10.000	3.4744	27.7631	22.0774	3.7307e-01	0.1288	0.015	1455.24	75.715	8.3396	59.683298	5.8356	10.095
11.000	3.7407	28.3686	22.5373	3.2085e-01	0.1290	0.015	1457.18	75.790	8.2589	59.683320	5.7791	11.105
12.000	3.8644	28.9128	22.9594	3.2214e-01	0.1288	0.015	1458.42	75.672	8.1907	59.683342	5.7314	12.114
13.000	3.9538	29.1065	23.1054	2.9194e-01	0.1285	0.015	1459.06	74.504	8.0362	59.683364	5.6232	13.124
14.000	3.6417	29.5337	23.4720	2.5976e-01	0.1287	0.015	1458.30	72.842	7.8945	59.683385	5.5241	14.133
15.000	3.6231	29.7120	23.6154	2.6279e-01	0.1285	0.014	1458.47	71.576	7.7517	59.683406	5.4242	15.143
16.000	3.7504	29.7777	23.6567	2.7220e-01	0.1283	0.013	1459.11	70.140	7.5689	59.683428	5.2962	16.152
17.000	3.6378	29.9353	23.7918	2.5874e-01	0.1281	0.012	1458.85	69.526	7.5154	59.683449	5.2588	17.162
18.000	3.5271	29.9600	23.8209	2.4953e-01	0.1287	0.015	1458.43	70.035	7.5899	59.683470	5.3110	18.172
19.000	3.3296	29.9872	23.8592	2.3893e-01	0.1289	0.015	1457.63	69.646	7.5834	59.683492	5.3064	19.181
20.000	3.4419	30.0422	23.8936	2.4169e-01	0.1291	0.015	1458.20	69.589	7.5532	59.683513	5.2853	20.191
21.000	3.6361	30.1068	23.9283	2.3391e-01	0.1290	0.015	1459.13	69.737	7.5298	59.683535	5.2689	21.200
22.000	3.4612	30.1475	23.9757	2.3313e-01	0.1290	0.015	1458.45	70.669	7.6614	59.683556	5.3610	22.210
