DepSM	T090C	Sal00	Sigma-t00	FlSP	WetStar	SeaTurbMtr	SvCM	Sbeox0PS	Sbeox0ML/L	TimeJ
0.208	6.4459	32.6452	25.6365	1.9536e-01	0.1298	0.015	1473.54	47.458	3.2959	38.373611
0.221	6.4461	32.6448	25.6362	1.9536e-01	0.1285	0.015	1473.54	47.458	3.2959	38.373612
0.221	6.4462	32.6447	25.6361	1.9536e-01	0.1285	0.015	1473.54	47.458	3.2959	38.373612
0.230	6.4465	32.6451	25.6364	1.9536e-01	0.1273	0.015	1473.55	47.458	3.2959	38.373613
0.221	6.4473	32.6448	25.6360	1.9536e-01	0.1285	0.015	1473.55	47.458	3.2958	38.373613
0.232	6.4475	32.6450	25.6361	1.9536e-01	0.1285	0.015	1473.55	47.458	3.2958	38.373614
0.256	6.4478	32.6450	25.6361	2.0757e-01	0.1285	0.015	1473.55	47.458	3.2958	38.373614
0.230	6.4480	32.6450	25.6361	2.0757e-01	0.1273	0.015	1473.55	47.458	3.2957	38.373614
0.243	6.4473	32.6450	25.6362	2.0757e-01	0.1285	0.015	1473.55	47.458	3.2958	38.373615
0.256	6.4462	32.6451	25.6364	1.9536e-01	0.1285	0.015	1473.55	47.458	3.2959	38.373615
0.256	6.4455	32.6445	25.6361	1.9536e-01	0.1285	0.015	1473.54	47.458	3.2960	38.373616
0.255	6.4452	32.6438	25.6355	1.9536e-01	0.1285	0.015	1473.54	47.458	3.2960	38.373616
0.268	6.4438	32.6440	25.6358	1.9536e-01	0.1273	0.015	1473.53	47.458	3.2961	38.373617
0.256	6.4427	32.6444	25.6363	2.0757e-01	0.1285	0.015	1473.53	47.458	3.2962	38.373617
0.279	6.4419	32.6451	25.6370	2.0757e-01	0.1285	0.015	1473.53	47.458	3.2963	38.373618
0.266	6.4412	32.6452	25.6371	1.9536e-01	0.1285	0.015	1473.53	47.458	3.2963	38.373618
0.279	6.4418	32.6446	25.6366	2.0757e-01	0.1273	0.015	1473.53	47.397	3.2920	38.373619
0.268	6.4416	32.6452	25.6371	2.0757e-01	0.1285	0.015	1473.53	47.389	3.2915	38.373619
0.279	6.4426	32.6447	25.6365	2.0757e-01	0.1285	0.015	1473.53	47.382	3.2909	38.373620
0.290	6.4440	32.6436	25.6355	1.9536e-01	0.1285	0.015	1473.54	47.437	3.2947	38.373620
0.279	6.4446	32.6441	25.6358	1.9536e-01	0.1285	0.015	1473.54	47.376	3.2904	38.373621
0.279	6.4442	32.6437	25.6355	2.0757e-01	0.1285	0.015	1473.54	47.370	3.2900	38.373621
0.292	6.4437	32.6455	25.6370	1.9536e-01	0.1298	0.015	1473.54	47.364	3.2895	38.373622
0.279	6.4432	32.6465	25.6379	1.9536e-01	0.1285	0.015	1473.54	47.358	3.2892	38.373622
0.279	6.4432	32.6460	25.6375	2.0757e-01	0.1285	0.015	1473.54	47.353	3.2888	38.373623
0.279	6.4426	32.6459	25.6375	1.9536e-01	0.1285	0.015	1473.53	47.348	3.2885	38.373623
0.279	6.4424	32.6462	25.6377	1.9536e-01	0.1285	0.015	1473.53	47.343	3.2882	38.373624
0.292	6.4421	32.6458	25.6375	1.9536e-01	0.1285	0.015	1473.53	47.339	3.2879	38.373624
0.279	6.4421	32.6458	25.6375	1.9536e-01	0.1285	0.015	1473.53	47.334	3.2876	38.373625
0.279	6.4418	32.6458	25.6376	1.9536e-01	0.1285	0.015	1473.53	47.392	3.2917	38.373625
0.292	6.4419	32.6452	25.6371	1.9536e-01	0.1285	0.011	1473.53	47.334	3.2876	38.373626
0.279	6.4418	32.6454	25.6372	1.9536e-01	0.1285	0.015	1473.53	47.393	3.2917	38.373626
0.279	6.4416	32.6459	25.6376	1.9536e-01	0.1285	0.015	1473.53	47.335	3.2877	38.373627
0.279	6.4422	32.6457	25.6374	1.9536e-01	0.1273	0.015	1473.53	47.332	3.2874	38.373627
0.279	6.4418	32.6464	25.6380	1.9536e-01	0.1298	0.015	1473.53	47.329	3.2872	38.373628
0.292	6.4412	32.6471	25.6386	1.9536e-01	0.1285	0.015	1473.53	47.326	3.2871	38.373628
0.279	6.4411	32.6472	25.6387	1.9536e-01	0.1285	0.015	1473.53	47.324	3.2869	38.373628
0.279	6.4408	32.6477	25.6392	1.9536e-01	0.1298	0.015	1473.53	47.322	3.2868	38.373629
0.279	6.4406	32.6485	25.6398	1.9536e-01	0.1285	0.015	1473.53	47.321	3.2867	38.373629
0.279	6.4408	32.6485	25.6397	1.9536e-01	0.1273	0.015	1473.53	47.319	3.2866	38.373630
0.279	6.4409	32.6482	25.6395	1.9536e-01	0.1285	0.015	1473.53	47.318	3.2865	38.373630
0.279	6.4411	32.6481	25.6394	1.9536e-01	0.1285	0.015	1473.53	47.318	3.2865	38.373631
0.279	6.4415	32.6481	25.6393	1.9536e-01	0.1298	0.015	1473.53	47.317	3.2864	38.373631
0.279	6.4416	32.6480	25.6393	1.9536e-01	0.1285	0.015	1473.53	47.317	3.2864	38.373632
0.279	6.4416	32.6485	25.6397	1.9536e-01	0.1285	0.015	1473.53	47.318	3.2864	38.373632
0.266	6.4421	32.6483	25.6394	1.9536e-01	0.1285	0.015	1473.53	47.318	3.2864	38.373633
0.279	6.4422	32.6486	25.6397	1.9536e-01	0.1285	0.015	1473.53	47.319	3.2865	38.373633
0.268	6.4427	32.6484	25.6394	1.9536e-01	0.1298	0.015	1473.54	47.320	3.2865	38.373634
0.256	6.4433	32.6482	25.6392	2.0757e-01	0.1285	0.015	1473.54	47.260	3.2823	38.373634
