DepSM	T090C	Sal00	Sigma-t00	FlSP	WetStar	SeaTurbMtr	SvCM	Sbeox0PS	Sbeox0ML/L	TimeJ
0.000	6.4413	32.6501	25.6410	2.0093e-01	0.1289	0.015	1473.53	47.405	3.2925	38.373712
1.000	6.4595	32.6539	25.6417	1.9526e-01	0.1293	0.015	1473.62	47.326	3.2855	38.373924
2.000	6.4619	32.6548	25.6421	1.9450e-01	0.1294	0.015	1473.65	47.242	3.2795	38.373967
3.000	6.4632	32.6562	25.6430	1.9376e-01	0.1295	0.016	1473.67	47.245	3.2796	38.373991
4.000	6.4614	32.6564	25.6434	1.9486e-01	0.1295	0.016	1473.68	47.264	3.2810	38.374014
5.000	6.4582	32.6559	25.6434	1.9536e-01	0.1295	0.016	1473.68	47.283	3.2826	38.374036
6.000	6.4590	32.6570	25.6442	1.9561e-01	0.1295	0.015	1473.71	47.371	3.2886	38.374058
7.000	6.4728	32.6634	25.6474	1.9536e-01	0.1295	0.016	1473.79	47.345	3.2856	38.374082
8.000	6.5080	32.6863	25.6610	1.9674e-01	0.1295	0.016	1473.97	47.432	3.2885	38.374104
9.000	6.5140	32.6909	25.6639	1.9591e-01	0.1296	0.016	1474.01	47.422	3.2872	38.374125
10.000	6.5282	32.7075	25.6751	1.9587e-01	0.1297	0.016	1474.11	47.388	3.2834	38.374148
11.000	6.5928	32.7445	25.6959	1.9536e-01	0.1295	0.016	1474.43	47.482	3.2842	38.374170
12.000	6.6367	32.7563	25.6996	1.9536e-01	0.1296	0.016	1474.63	47.603	3.2890	38.374192
13.000	6.7217	32.7799	25.7071	1.9618e-01	0.1296	0.016	1475.01	47.613	3.2827	38.374215
14.000	6.7750	32.7857	25.7047	1.9535e-01	0.1295	0.016	1475.24	47.454	3.2676	38.374236
15.000	6.7674	32.7849	25.7051	1.9417e-01	0.1296	0.016	1475.23	47.243	3.2536	38.374259
16.000	6.8433	32.8021	25.7086	1.9318e-01	0.1296	0.016	1475.56	46.556	3.2003	38.374282
17.000	6.9067	32.8150	25.7103	1.9402e-01	0.1297	0.016	1475.84	46.301	3.1779	38.374304
18.000	6.9652	32.8326	25.7163	1.9361e-01	0.1298	0.015	1476.11	46.188	3.1655	38.374327
19.000	7.0501	32.8399	25.7107	1.9369e-01	0.1295	0.016	1476.46	45.562	3.1163	38.374349
20.000	7.0632	32.8447	25.7127	1.9198e-01	0.1297	0.016	1476.54	45.002	3.0770	38.374371
21.000	7.1188	32.8617	25.7186	1.9298e-01	0.1298	0.016	1476.79	43.980	3.0030	38.374394
22.000	7.1611	32.8724	25.7213	1.9043e-01	0.1297	0.016	1476.99	43.350	2.9569	38.374416
23.000	7.2295	32.8885	25.7246	1.9420e-01	0.1298	0.016	1477.29	42.474	2.8923	38.374451
24.000	7.4184	32.9438	25.7420	2.0149e-01	0.1298	0.016	1478.10	38.208	2.5892	38.374660
25.000	7.4183	32.9455	25.7433	1.9124e-01	0.1298	0.016	1478.12	39.141	2.6528	38.374661
