DepSM	T090C	Sal00	Sigma-t00	FlSP	WetStar	SeaTurbMtr	SvCM	Sbeox0PS	Sbeox0ML/L	TimeJ
0.193	4.5906	26.6773	21.1221	2.4420e-01	0.1261	0.007	1458.43	55.508	4.1926	38.410058
0.203	4.5920	26.6809	21.1249	2.4420e-01	0.1273	0.011	1458.44	55.445	4.1876	38.410058
0.205	4.5915	26.6649	21.1123	2.4420e-01	0.1285	0.011	1458.42	55.374	4.1828	38.410059
0.218	4.5908	26.7027	21.1423	2.3199e-01	0.1273	0.011	1458.47	55.359	4.1806	38.410059
0.205	4.5905	26.7089	21.1472	2.3199e-01	0.1285	0.015	1458.47	55.281	4.1746	38.410060
0.203	4.5897	26.7011	21.1411	2.3199e-01	0.1273	0.011	1458.46	55.196	4.1685	38.410060
0.218	4.5894	26.7299	21.1639	2.3199e-01	0.1273	0.011	1458.50	55.104	4.1608	38.410061
0.205	4.5875	26.7069	21.1458	2.3199e-01	0.1285	0.015	1458.46	55.005	4.1541	38.410061
0.218	4.5851	26.6985	21.1395	2.3199e-01	0.1273	0.007	1458.44	54.963	4.1515	38.410062
0.203	4.5834	26.7346	21.1682	2.3199e-01	0.1285	0.011	1458.48	54.860	4.1429	38.410062
0.229	4.5826	26.7289	21.1637	2.3199e-01	0.1273	0.015	1458.47	54.815	4.1396	38.410063
0.205	4.5830	26.7506	21.1808	2.4420e-01	0.1273	0.011	1458.50	54.708	4.1309	38.410063
0.229	4.5877	26.7671	21.1936	2.4420e-01	0.1285	0.011	1458.54	54.596	4.1215	38.410064
0.216	4.5920	26.7535	21.1824	2.4420e-01	0.1273	0.011	1458.54	54.541	4.1173	38.410064
0.229	4.6016	26.7644	21.1902	2.3199e-01	0.1273	0.007	1458.59	54.426	4.1074	38.410065
0.218	4.6173	26.7532	21.1799	2.3199e-01	0.1285	0.011	1458.64	54.305	4.0970	38.410065
0.218	4.6298	26.7249	21.1563	2.3199e-01	0.1273	0.011	1458.66	54.244	4.0919	38.410066
0.229	4.6382	26.7261	21.1565	2.3199e-01	0.1273	0.011	1458.70	54.123	4.0820	38.410066
0.227	4.6415	26.7025	21.1375	2.3199e-01	0.1273	0.015	1458.68	53.999	4.0729	38.410067
0.229	4.6424	26.6684	21.1104	2.3199e-01	0.1273	0.011	1458.64	53.872	4.0641	38.410067
0.218	4.6435	26.6723	21.1134	2.3199e-01	0.1273	0.011	1458.65	53.803	4.0588	38.410068
0.229	4.6429	26.6609	21.1044	2.3199e-01	0.1273	0.015	1458.63	53.677	4.0496	38.410068
0.227	4.6402	26.6602	21.1041	2.1978e-01	0.1273	0.011	1458.62	53.611	4.0449	38.410068
0.229	4.6380	26.6864	21.1251	2.3199e-01	0.1273	0.011	1458.65	53.487	4.0351	38.410069
0.229	4.6355	26.6786	21.1192	2.3199e-01	0.1273	0.015	1458.62	53.360	4.0260	38.410069
0.229	4.6335	26.6873	21.1262	2.3199e-01	0.1273	0.011	1458.63	53.294	4.0209	38.410070
