DepSM	T090C	Sal00	Sigma-t00	FlSP	WetStar	SeaTurbMtr	SvCM	Sbeox0PS	Sbeox0ML/L	TimeJ
0.000	5.0490	28.4273	22.4651	2.2781e-01	0.1281	0.013	1462.58	50.872	3.7528	38.410251
1.000	6.4311	32.0509	25.1696	1.9385e-01	0.1292	0.015	1472.75	46.071	3.2129	38.410599
2.000	7.1282	32.6316	25.5361	1.8539e-01	0.1292	0.015	1476.23	46.192	3.1581	38.410614
3.000	7.3001	32.7495	25.6055	1.8316e-01	0.1290	0.015	1477.06	46.855	3.1884	38.410637
4.000	7.3885	32.8029	25.6354	1.8513e-01	0.1291	0.015	1477.48	45.168	3.0663	38.410659
5.000	7.4071	32.8546	25.6734	1.8834e-01	0.1290	0.015	1477.63	42.596	2.8895	38.410680
6.000	7.3912	32.8708	25.6884	1.8814e-01	0.1293	0.015	1477.61	41.220	2.7969	38.410702
7.000	7.3696	32.8761	25.6956	1.9338e-01	0.1292	0.015	1477.55	40.216	2.7300	38.410723
8.000	7.3351	32.8785	25.7022	1.9540e-01	0.1292	0.015	1477.43	39.573	2.6884	38.410744
9.000	7.2741	32.8747	25.7076	1.9678e-01	0.1294	0.015	1477.21	39.416	2.6815	38.410765
10.000	7.1964	32.8644	25.7102	1.9821e-01	0.1294	0.015	1476.91	39.483	2.6911	38.410786
11.000	7.2030	32.8705	25.7141	1.9675e-01	0.1294	0.015	1476.96	39.607	2.6990	38.410808
12.000	7.1843	32.8722	25.7180	2.0691e-01	0.1294	0.015	1476.91	39.871	2.7181	38.410830
13.000	7.1666	32.8714	25.7197	2.0372e-01	0.1291	0.015	1476.86	40.322	2.7500	38.410851
14.000	7.2345	32.8898	25.7250	1.9950e-01	0.1291	0.015	1477.16	40.412	2.7515	38.410873
15.000	7.2397	32.8949	25.7282	2.0120e-01	0.1291	0.014	1477.20	40.465	2.7547	38.410894
16.000	7.3273	32.9187	25.7349	1.9533e-01	0.1293	0.015	1477.59	40.783	2.7704	38.410916
17.000	7.5642	32.9797	25.7499	1.8817e-01	0.1296	0.015	1478.59	40.434	2.7308	38.410938
18.000	7.6010	32.9910	25.7536	1.8698e-01	0.1295	0.015	1478.76	40.270	2.7172	38.410960
19.000	7.5420	32.9748	25.7491	2.0793e-01	0.1298	0.016	1478.53	34.348	2.3213	38.411043
