DepSM	T090C	Sal00	Sigma-t00	FlSP	WetStar	SeaTurbMtr	SvCM	Sbeox0PS	Sbeox0ML/L	TimeJ
0.039	7.0584	32.0185	25.0631	1.9536e-01	0.1285	0.011	1475.16	43.568	2.9956	38.418819
0.052	7.0588	32.0038	25.0515	1.9536e-01	0.1285	0.011	1475.14	43.568	2.9958	38.418820
0.052	7.0584	32.0248	25.0680	1.9536e-01	0.1273	0.011	1475.16	43.507	2.9912	38.418820
0.064	7.0595	32.0226	25.0662	1.9536e-01	0.1285	0.015	1475.17	43.500	2.9907	38.418821
0.050	7.0621	32.0469	25.0850	1.8315e-01	0.1285	0.011	1475.21	43.431	2.9853	38.418821
0.052	7.0641	32.0845	25.1143	1.8315e-01	0.1285	0.011	1475.26	43.417	2.9835	38.418822
0.040	7.0661	32.0828	25.1127	1.9536e-01	0.1298	0.015	1475.27	43.342	2.9782	38.418822
0.064	7.0689	32.1097	25.1335	1.9536e-01	0.1273	0.007	1475.31	43.323	2.9762	38.418823
0.050	7.0685	32.1281	25.1480	1.9536e-01	0.1273	0.011	1475.33	43.243	2.9703	38.418823
0.052	7.0682	32.1092	25.1332	1.9536e-01	0.1273	0.011	1475.31	43.218	2.9690	38.418824
0.040	7.0727	32.1208	25.1417	1.9536e-01	0.1273	0.007	1475.34	43.132	2.9626	38.418824
0.064	7.0810	32.1046	25.1278	1.9536e-01	0.1273	0.011	1475.35	43.103	2.9603	38.418825
0.050	7.0884	32.0537	25.0868	1.9536e-01	0.1273	0.011	1475.32	43.013	2.9546	38.418825
0.052	7.1013	32.0403	25.0745	1.9536e-01	0.1285	0.007	1475.35	42.979	2.9517	38.418826
0.064	7.1085	32.0276	25.0636	1.9536e-01	0.1285	0.015	1475.36	42.885	2.9450	38.418826
0.052	7.1079	32.0141	25.0531	1.8315e-01	0.1285	0.011	1475.34	42.849	2.9428	38.418827
0.050	7.1061	32.0557	25.0860	1.9536e-01	0.1273	0.011	1475.39	42.752	2.9355	38.418827
0.064	7.1037	32.0664	25.0948	1.8315e-01	0.1285	0.015	1475.39	42.713	2.9328	38.418828
0.052	7.1010	32.0751	25.1020	1.8315e-01	0.1273	0.011	1475.39	42.676	2.9302	38.418828
0.064	7.0988	32.1048	25.1257	1.8315e-01	0.1273	0.011	1475.42	42.580	2.9232	38.418829
0.063	7.0991	32.0914	25.1151	1.8315e-01	0.1285	0.011	1475.41	42.540	2.9207	38.418829
0.064	7.0997	32.0883	25.1125	1.8315e-01	0.1273	0.011	1475.41	42.442	2.9140	38.418830
0.052	7.0994	32.0932	25.1164	1.8315e-01	0.1273	0.011	1475.41	42.401	2.9111	38.418830
0.074	7.0988	32.0549	25.0864	1.8315e-01	0.1285	0.011	1475.36	42.364	2.9093	38.418831
0.064	7.0973	32.0336	25.0698	1.8315e-01	0.1273	0.011	1475.33	42.268	2.9032	38.418831
0.064	7.0956	32.0338	25.0702	1.8315e-01	0.1273	0.011	1475.32	42.229	2.9007	38.418832
0.064	7.0951	32.0025	25.0457	1.9536e-01	0.1285	0.011	1475.28	42.132	2.8947	38.418832
0.063	7.0955	31.9964	25.0408	1.9536e-01	0.1273	0.011	1475.27	42.031	2.8878	38.418832
0.076	7.0969	32.0102	25.0515	1.9536e-01	0.1273	0.011	1475.30	41.989	2.8846	38.418833
0.064	7.0975	32.0078	25.0495	1.8315e-01	0.1273	0.011	1475.30	41.951	2.8819	38.418833
0.076	7.0977	32.0497	25.0824	1.9536e-01	0.1273	0.011	1475.35	41.916	2.8788	38.418834
0.063	7.0980	32.0816	25.1075	1.9536e-01	0.1285	0.015	1475.39	41.824	2.8718	38.418834
0.064	7.0973	32.0903	25.1145	1.9536e-01	0.1285	0.011	1475.40	41.791	2.8694	38.418835
0.064	7.0941	32.1249	25.1421	1.8315e-01	0.1285	0.007	1475.43	41.700	2.8627	38.418835
0.076	7.0896	32.1320	25.1482	1.8315e-01	0.1285	0.015	1475.42	41.668	2.8607	38.418836
0.074	7.0868	32.1287	25.1460	1.8315e-01	0.1273	0.011	1475.41	41.641	2.8591	38.418836
0.076	7.0921	32.1462	25.1591	1.8315e-01	0.1285	0.011	1475.45	41.557	2.8526	38.418837
0.064	7.0997	32.1188	25.1365	1.8315e-01	0.1273	0.011	1475.44	41.532	2.8509	38.418837
0.064	7.1048	32.0933	25.1158	1.8315e-01	0.1273	0.011	1475.43	41.512	2.8497	38.418838
0.074	7.1028	32.1061	25.1261	1.9536e-01	0.1285	0.011	1475.44	41.435	2.8443	38.418838
0.087	7.0997	32.0779	25.1043	1.9536e-01	0.1285	0.011	1475.39	41.418	2.8439	38.418839
0.064	7.0978	32.0657	25.0950	1.9536e-01	0.1273	0.007	1475.37	41.344	2.8391	38.418839
0.076	7.0951	32.0757	25.1033	1.9536e-01	0.1285	0.011	1475.37	41.330	2.8382	38.418840
0.087	7.0940	32.0459	25.0800	1.9536e-01	0.1273	0.011	1475.33	41.322	2.8382	38.418840
0.064	7.0933	32.0360	25.0722	1.9536e-01	0.1273	0.007	1475.32	41.319	2.8383	38.418841
0.087	7.0929	32.0487	25.0823	1.9536e-01	0.1285	0.011	1475.33	41.322	2.8383	38.418841
0.050	7.0923	32.0352	25.0717	1.9536e-01	0.1285	0.011	1475.31	41.268	2.8349	38.418842
0.111	7.0919	32.0629	25.0935	1.9536e-01	0.1273	0.011	1475.34	41.275	2.8349	38.418842
0.087	7.0922	32.0986	25.1216	1.9536e-01	0.1285	0.015	1475.39	41.226	2.8308	38.418843
0.076	7.0918	32.1011	25.1237	1.9536e-01	0.1285	0.011	1475.39	41.238	2.8316	38.418843
0.087	7.0911	32.1369	25.1519	1.9536e-01	0.1273	0.011	1475.43	41.194	2.8280	38.418844
0.087	7.0897	32.1491	25.1617	1.9536e-01	0.1285	0.015	1475.44	41.203	2.8284	38.418844
0.076	7.0890	32.1402	25.1548	1.9536e-01	0.1273	0.011	1475.43	41.218	2.8297	38.418845
0.100	7.0867	32.1654	25.1749	1.9536e-01	0.1273	0.007	1475.45	41.170	2.8261	38.418845
0.087	7.0850	32.1554	25.1673	1.9536e-01	0.1285	0.011	1475.43	41.182	2.8272	38.418845
0.100	7.0832	32.1352	25.1517	1.9536e-01	0.1285	0.011	1475.40	41.193	2.8285	38.418846
0.087	7.0810	32.1479	25.1619	1.8315e-01	0.1285	0.011	1475.41	41.210	2.8295	38.418846
0.087	7.0803	32.1280	25.1464	1.9536e-01	0.1285	0.015	1475.38	41.163	2.8267	38.418847
0.098	7.0799	32.1091	25.1316	1.8315e-01	0.1273	0.011	1475.35	41.176	2.8280	38.418847
0.100	7.0794	32.1124	25.1342	1.8315e-01	0.1273	0.011	1475.36	41.126	2.8245	38.418848
0.087	7.0792	32.0900	25.1166	1.8315e-01	0.1273	0.011	1475.33	41.136	2.8256	38.418848
0.100	7.0794	32.0875	25.1146	1.8315e-01	0.1273	0.011	1475.33	41.144	2.8262	38.418849
0.087	7.0794	32.0982	25.1230	1.9536e-01	0.1285	0.011	1475.34	41.158	2.8270	38.418849
0.100	7.0794	32.0804	25.1090	1.8315e-01	0.1285	0.011	1475.32	41.108	2.8239	38.418850
0.100	7.0792	32.0947	25.1203	1.9536e-01	0.1273	0.011	1475.33	41.117	2.8243	38.418850
0.087	7.0792	32.1169	25.1377	1.8315e-01	0.1285	0.015	1475.36	41.063	2.8201	38.418851
0.098	7.0796	32.1134	25.1350	1.8315e-01	0.1285	0.011	1475.36	41.130	2.8248	38.418851
0.087	7.0787	32.1508	25.1645	1.8315e-01	0.1273	0.011	1475.40	41.087	2.8212	38.418852
0.100	7.0771	32.1645	25.1755	1.8315e-01	0.1285	0.015	1475.41	41.096	2.8216	38.418852
0.087	7.0752	32.1650	25.1761	1.9536e-01	0.1273	0.011	1475.41	41.110	2.8227	38.418853
0.098	7.0733	32.1896	25.1958	1.8315e-01	0.1273	0.011	1475.43	41.059	2.8189	38.418853
0.111	7.0716	32.1777	25.1867	1.8315e-01	0.1285	0.011	1475.41	41.069	2.8199	38.418854
0.087	7.0703	32.1629	25.1751	1.9536e-01	0.1273	0.011	1475.38	41.022	2.8170	38.418854
0.087	7.0703	32.1746	25.1844	1.8315e-01	0.1273	0.011	1475.40	41.027	2.8171	38.418855
0.110	7.0704	32.1506	25.1655	1.9536e-01	0.1285	0.015	1475.37	41.037	2.8183	38.418855
0.087	7.0703	32.1398	25.1570	1.8315e-01	0.1285	0.011	1475.36	40.983	2.8148	38.418856
0.100	7.0714	32.1452	25.1610	1.9536e-01	0.1285	0.011	1475.37	40.981	2.8145	38.418856
0.100	7.0720	32.1208	25.1418	1.9536e-01	0.1285	0.015	1475.34	40.984	2.8151	38.418857
0.098	7.0722	32.1349	25.1528	1.9536e-01	0.1285	0.007	1475.36	40.930	2.8111	38.418857
0.100	7.0722	32.1547	25.1685	1.9536e-01	0.1285	0.015	1475.38	40.935	2.8111	38.418858
0.100	7.0721	32.1532	25.1673	1.8315e-01	0.1285	0.011	1475.38	40.938	2.8114	38.418858
0.098	7.0736	32.1797	25.1879	1.8315e-01	0.1273	0.011	1475.42	40.885	2.8071	38.418859
0.100	7.0800	32.1744	25.1829	1.8315e-01	0.1285	0.015	1475.44	40.883	2.8066	38.418859
0.100	7.0868	32.1586	25.1696	1.8315e-01	0.1285	0.011	1475.44	40.886	2.8067	38.418859
0.100	7.0952	32.1666	25.1747	1.8315e-01	0.1273	0.011	1475.49	40.894	2.8066	38.418860
0.098	7.1007	32.1476	25.1590	1.8315e-01	0.1285	0.011	1475.48	40.838	2.8027	38.418860
0.111	7.1039	32.1319	25.1463	1.8315e-01	0.1285	0.011	1475.48	40.840	2.8030	38.418861
0.100	7.1084	32.1355	25.1485	1.8315e-01	0.1273	0.011	1475.50	40.848	2.8031	38.418861
0.100	7.1105	32.1141	25.1314	1.8315e-01	0.1285	0.015	1475.48	40.791	2.7995	38.418862
0.110	7.1100	32.1070	25.1258	1.8315e-01	0.1273	0.011	1475.47	40.794	2.7998	38.418862
0.100	7.1097	32.1091	25.1276	1.8315e-01	0.1273	0.011	1475.47	40.794	2.7998	38.418863
0.100	7.1085	32.0846	25.1084	1.8315e-01	0.1285	0.011	1475.44	40.736	2.7964	38.418863
0.100	7.1075	32.0831	25.1074	1.8315e-01	0.1273	0.011	1475.43	40.738	2.7966	38.418864
0.098	7.1069	32.0780	25.1035	1.8315e-01	0.1285	0.011	1475.42	40.745	2.7972	38.418864
0.111	7.1052	32.0483	25.0803	1.9536e-01	0.1285	0.011	1475.38	40.757	2.7987	38.418865
0.100	7.1042	32.0512	25.0827	1.9536e-01	0.1273	0.011	1475.38	40.704	2.7951	38.418865
0.087	7.1032	32.0490	25.0811	1.9536e-01	0.1285	0.015	1475.37	40.711	2.7956	38.418866
0.110	7.1019	32.0413	25.0753	1.9536e-01	0.1285	0.011	1475.36	40.714	2.7961	38.418866
0.100	7.0992	32.0769	25.1036	1.9536e-01	0.1273	0.011	1475.39	40.661	2.7920	38.418867
0.087	7.0969	32.0932	25.1167	1.9536e-01	0.1285	0.015	1475.40	40.659	2.7917	38.418867
0.100	7.0955	32.1236	25.1409	1.8315e-01	0.1285	0.011	1475.43	40.662	2.7914	38.418868
0.098	7.1012	32.1604	25.1691	1.9536e-01	0.1273	0.011	1475.50	40.669	2.7909	38.418868
0.087	7.1089	32.1542	25.1631	1.8315e-01	0.1298	0.015	1475.52	40.612	2.7866	38.418869
0.100	7.1169	32.1656	25.1711	1.8315e-01	0.1285	0.007	1475.57	40.614	2.7859	38.418869
0.087	7.1227	32.1716	25.1750	1.9536e-01	0.1285	0.015	1475.60	40.620	2.7859	38.418870
0.098	7.1258	32.1435	25.1525	1.8315e-01	0.1285	0.011	1475.58	40.569	2.7827	38.418870
0.087	7.1288	32.1470	25.1548	1.8315e-01	0.1273	0.011	1475.59	40.569	2.7825	38.418871
0.087	7.1306	32.1456	25.1535	1.9536e-01	0.1285	0.015	1475.60	40.575	2.7828	38.418871
0.087	7.1313	32.1184	25.1320	1.9536e-01	0.1285	0.011	1475.57	40.577	2.7834	38.418872
0.087	7.1322	32.1231	25.1356	1.9536e-01	0.1273	0.011	1475.58	40.583	2.7837	38.418872
0.087	7.1326	32.1159	25.1299	1.9536e-01	0.1285	0.015	1475.57	40.532	2.7803	38.418872
0.087	7.1327	32.0949	25.1133	1.9536e-01	0.1285	0.011	1475.54	40.540	2.7812	38.418873
0.087	7.1331	32.1009	25.1180	1.9536e-01	0.1273	0.007	1475.55	40.545	2.7814	38.418873
0.087	7.1331	32.0911	25.1103	1.9536e-01	0.1285	0.015	1475.54	40.555	2.7822	38.418874
0.100	7.1332	32.0829	25.1038	1.9536e-01	0.1273	0.011	1475.53	40.499	2.7786	38.418874
0.087	7.1334	32.0984	25.1159	1.9536e-01	0.1273	0.011	1475.55	40.509	2.7790	38.418875
0.087	7.1333	32.0830	25.1039	1.9536e-01	0.1285	0.011	1475.53	40.517	2.7798	38.418875
0.087	7.1334	32.0809	25.1022	1.9536e-01	0.1273	0.011	1475.53	40.467	2.7764	38.418876
0.087	7.1331	32.0913	25.1104	1.9536e-01	0.1285	0.011	1475.54	40.476	2.7768	38.418876
0.076	7.1328	32.0689	25.0929	1.9536e-01	0.1285	0.011	1475.51	40.482	2.7776	38.418877
0.098	7.1322	32.0645	25.0895	1.9536e-01	0.1273	0.007	1475.50	40.492	2.7785	38.418877
0.076	7.1315	32.0651	25.0900	1.9536e-01	0.1285	0.011	1475.50	40.437	2.7747	38.418878
0.087	7.1313	32.0539	25.0812	1.9536e-01	0.1298	0.011	1475.49	40.441	2.7752	38.418878
0.087	7.1309	32.0765	25.0991	1.9536e-01	0.1285	0.011	1475.51	40.449	2.7754	38.418879
0.087	7.1304	32.0792	25.1013	1.9536e-01	0.1285	0.015	1475.51	40.454	2.7757	38.418879
0.087	7.1300	32.0738	25.0971	1.8315e-01	0.1285	0.011	1475.51	40.462	2.7764	38.418880
0.076	7.1290	32.1012	25.1188	1.9536e-01	0.1285	0.011	1475.54	40.413	2.7726	38.418880
0.076	7.1282	32.0962	25.1149	1.9536e-01	0.1285	0.015	1475.53	40.415	2.7729	38.418881
0.087	7.1282	32.0985	25.1168	1.9536e-01	0.1285	0.007	1475.53	40.421	2.7732	38.418881
0.087	7.1291	32.1106	25.1262	1.9536e-01	0.1285	0.011	1475.55	40.431	2.7736	38.418882
0.087	7.1300	32.0871	25.1076	1.8315e-01	0.1285	0.015	1475.52	40.437	2.7744	38.418882
0.076	7.1315	32.0803	25.1020	1.9536e-01	0.1273	0.011	1475.52	40.385	2.7709	38.418883
0.074	7.1320	32.0750	25.0977	1.8315e-01	0.1273	0.011	1475.51	40.392	2.7714	38.418883
0.087	7.1315	32.0407	25.0708	1.8315e-01	0.1285	0.011	1475.47	40.402	2.7728	38.418884
0.076	7.1313	32.0301	25.0626	1.9536e-01	0.1273	0.007	1475.46	40.409	2.7735	38.418884
0.087	7.1309	32.0258	25.0592	1.8315e-01	0.1285	0.015	1475.45	40.420	2.7743	38.418885
0.074	7.1307	32.0084	25.0455	1.9536e-01	0.1285	0.011	1475.43	40.372	2.7714	38.418885
0.076	7.1287	32.0203	25.0552	1.9536e-01	0.1285	0.011	1475.43	40.375	2.7715	38.418886
0.087	7.1273	32.0348	25.0667	1.9536e-01	0.1285	0.015	1475.45	40.382	2.7718	38.418886
0.076	7.1258	32.0472	25.0767	1.9536e-01	0.1273	0.011	1475.46	40.393	2.7724	38.418886
0.087	7.1249	32.0821	25.1043	1.9536e-01	0.1273	0.011	1475.50	40.399	2.7723	38.418887
0.076	7.1228	32.0903	25.1111	1.9536e-01	0.1285	0.011	1475.50	40.409	2.7729	38.418887
0.087	7.1181	32.1045	25.1228	1.9536e-01	0.1273	0.011	1475.50	40.423	2.7739	38.418888
0.039	7.1111	32.1303	25.1441	1.9536e-01	0.1285	0.011	1475.50	40.378	2.7708	38.418888
0.136	7.1076	32.1219	25.1379	1.9536e-01	0.1285	0.011	1475.48	40.383	2.7715	38.418889
0.076	7.1051	32.1336	25.1474	1.9536e-01	0.1285	0.011	1475.48	40.392	2.7721	38.418889
0.087	7.1032	32.1485	25.1594	1.9536e-01	0.1285	0.015	1475.49	40.404	2.7727	38.418890
0.087	7.1024	32.1363	25.1500	1.9536e-01	0.1273	0.015	1475.48	40.412	2.7736	38.418890
0.076	7.1024	32.1447	25.1565	1.9536e-01	0.1273	0.007	1475.49	40.423	2.7741	38.418891
0.087	7.1021	32.1393	25.1524	1.9536e-01	0.1285	0.011	1475.48	40.375	2.7710	38.418891
0.087	7.1024	32.1110	25.1300	1.9536e-01	0.1273	0.011	1475.44	40.385	2.7722	38.418892
0.098	7.1024	32.1100	25.1292	1.9536e-01	0.1285	0.011	1475.44	40.390	2.7726	38.418892
0.087	7.1027	32.0968	25.1188	1.9536e-01	0.1285	0.015	1475.43	40.399	2.7734	38.418893
0.076	7.1028	32.0800	25.1056	2.0757e-01	0.1285	0.011	1475.41	40.411	2.7745	38.418893
0.087	7.1026	32.0919	25.1150	1.9536e-01	0.1285	0.011	1475.42	40.356	2.7705	38.418894
0.087	7.1026	32.0824	25.1075	1.9536e-01	0.1285	0.015	1475.41	40.359	2.7709	38.418894
0.087	7.1026	32.0867	25.1109	1.9536e-01	0.1285	0.011	1475.41	40.365	2.7712	38.418895
0.076	7.1024	32.1123	25.1311	1.8315e-01	0.1285	0.015	1475.45	40.374	2.7714	38.418895
0.087	7.1024	32.1100	25.1292	1.9536e-01	0.1285	0.015	1475.44	40.386	2.7723	38.418896
0.087	7.1018	32.1329	25.1473	1.8315e-01	0.1273	0.011	1475.47	40.332	2.7682	38.418896
0.076	7.0992	32.1486	25.1600	1.8315e-01	0.1285	0.015	1475.48	40.335	2.7683	38.418897
0.087	7.0962	32.1431	25.1561	1.9536e-01	0.1285	0.011	1475.46	40.341	2.7690	38.418897
0.087	7.0914	32.1641	25.1733	1.8315e-01	0.1273	0.011	1475.47	40.351	2.7696	38.418898
0.087	7.0875	32.1644	25.1740	1.9536e-01	0.1285	0.015	1475.45	40.355	2.7701	38.418898
0.087	7.0848	32.1472	25.1608	1.8315e-01	0.1285	0.011	1475.42	40.301	2.7669	38.418899
0.087	7.0829	32.1512	25.1643	1.9536e-01	0.1285	0.011	1475.42	40.304	2.7672	38.418899
