DepSM	T090C	Sal00	Sigma-t00	FlSP	WetStar	SeaTurbMtr	SvCM	Sbeox0PS	Sbeox0ML/L	TimeJ
0.057	5.8879	32.6893	25.7407	2.9304e-01	0.1285	0.015	1471.38	55.153	3.8795	38.341296
0.069	5.8879	32.6897	25.7410	2.9304e-01	0.1285	0.015	1471.38	55.153	3.8795	38.341297
0.057	5.8879	32.6894	25.7408	2.9304e-01	0.1285	0.018	1471.38	55.215	3.8839	38.341297
0.067	5.8879	32.6892	25.7406	2.9304e-01	0.1298	0.015	1471.38	55.223	3.8844	38.341298
0.057	5.8877	32.6894	25.7408	2.9304e-01	0.1285	0.015	1471.38	55.168	3.8805	38.341298
0.057	5.8876	32.6893	25.7408	2.9304e-01	0.1285	0.015	1471.38	55.230	3.8849	38.341299
0.057	5.8873	32.6892	25.7407	2.9304e-01	0.1273	0.015	1471.38	55.237	3.8854	38.341299
0.067	5.8866	32.6896	25.7411	2.9304e-01	0.1285	0.015	1471.37	55.243	3.8859	38.341300
0.069	5.8863	32.6900	25.7415	2.9304e-01	0.1285	0.015	1471.37	55.187	3.8820	38.341300
0.057	5.8863	32.6904	25.7417	2.8083e-01	0.1285	0.015	1471.37	55.186	3.8819	38.341301
0.057	5.8873	32.6897	25.7411	2.9304e-01	0.1285	0.015	1471.38	55.246	3.8861	38.341301
0.067	5.8887	32.6894	25.7407	2.8083e-01	0.1285	0.015	1471.38	55.252	3.8863	38.341302
0.046	5.8898	32.6893	25.7404	2.8083e-01	0.1285	0.015	1471.39	55.195	3.8822	38.341302
0.069	5.8909	32.6890	25.7401	2.8083e-01	0.1285	0.015	1471.39	55.255	3.8864	38.341303
0.056	5.8915	32.6892	25.7401	2.6862e-01	0.1285	0.015	1471.39	55.198	3.8823	38.341303
0.069	5.8917	32.6893	25.7402	2.6862e-01	0.1285	0.015	1471.40	55.195	3.8821	38.341304
0.046	5.8919	32.6890	25.7400	2.6862e-01	0.1285	0.015	1471.40	55.255	3.8863	38.341304
0.057	5.8920	32.6891	25.7400	2.5641e-01	0.1285	0.015	1471.40	55.198	3.8822	38.341304
0.056	5.8922	32.6892	25.7401	2.5641e-01	0.1285	0.015	1471.40	55.257	3.8864	38.341305
0.057	5.8922	32.6890	25.7399	2.5641e-01	0.1273	0.015	1471.40	55.199	3.8823	38.341305
0.046	5.8927	32.6883	25.7393	2.5641e-01	0.1273	0.015	1471.40	55.258	3.8864	38.341306
0.057	5.8923	32.6886	25.7396	2.6862e-01	0.1285	0.015	1471.40	55.200	3.8824	38.341306
0.044	5.8922	32.6888	25.7398	2.6862e-01	0.1285	0.015	1471.40	55.196	3.8821	38.341307
0.046	5.8920	32.6891	25.7401	2.8083e-01	0.1285	0.015	1471.40	55.255	3.8863	38.341307
0.057	5.8915	32.6892	25.7401	2.8083e-01	0.1285	0.015	1471.39	55.259	3.8866	38.341308
0.046	5.8903	32.6900	25.7409	2.6862e-01	0.1285	0.015	1471.39	55.263	3.8869	38.341308
0.044	5.8898	32.6894	25.7405	2.6862e-01	0.1285	0.015	1471.39	55.266	3.8872	38.341309
0.057	5.8895	32.6896	25.7407	2.6862e-01	0.1285	0.015	1471.39	55.269	3.8875	38.341309
0.057	5.8894	32.6892	25.7405	2.6862e-01	0.1285	0.015	1471.39	55.272	3.8877	38.341310
0.057	5.8887	32.6898	25.7410	2.6862e-01	0.1285	0.015	1471.38	55.274	3.8879	38.341310
0.056	5.8874	32.6900	25.7413	2.6862e-01	0.1285	0.015	1471.38	55.276	3.8882	38.341311
0.057	5.8876	32.6890	25.7405	2.8083e-01	0.1285	0.015	1471.38	55.278	3.8883	38.341311
0.069	5.8887	32.6890	25.7404	2.9304e-01	0.1285	0.015	1471.38	55.279	3.8883	38.341312
0.056	5.8898	32.6889	25.7402	2.9304e-01	0.1285	0.015	1471.39	55.218	3.8839	38.341312
0.069	5.8890	32.6895	25.7407	3.0525e-01	0.1285	0.015	1471.38	55.211	3.8834	38.341313
0.057	5.8873	32.6906	25.7418	2.9304e-01	0.1298	0.015	1471.38	55.204	3.8831	38.341313
0.069	5.8857	32.6906	25.7420	2.9304e-01	0.1285	0.015	1471.37	55.198	3.8828	38.341314
0.067	5.8845	32.6907	25.7422	2.8083e-01	0.1285	0.015	1471.37	55.191	3.8824	38.341314
0.069	5.8836	32.6904	25.7420	2.6862e-01	0.1285	0.015	1471.36	55.246	3.8864	38.341315
0.069	5.8830	32.6900	25.7418	2.8083e-01	0.1273	0.015	1471.36	55.247	3.8865	38.341315
0.069	5.8821	32.6900	25.7419	2.8083e-01	0.1273	0.015	1471.36	55.185	3.8822	38.341316
0.056	5.8815	32.6905	25.7424	2.9304e-01	0.1285	0.015	1471.36	55.240	3.8861	38.341316
0.069	5.8813	32.6903	25.7423	2.9304e-01	0.1285	0.015	1471.35	55.240	3.8861	38.341317
0.057	5.8821	32.6898	25.7418	2.9304e-01	0.1285	0.015	1471.36	55.177	3.8817	38.341317
0.057	5.8840	32.6897	25.7415	2.9304e-01	0.1285	0.015	1471.36	55.231	3.8853	38.341318
0.067	5.8858	32.6893	25.7409	2.9304e-01	0.1285	0.015	1471.37	55.230	3.8851	38.341318
0.057	5.8864	32.6900	25.7414	2.9304e-01	0.1285	0.015	1471.37	55.229	3.8849	38.341318
0.046	5.8851	32.6917	25.7429	2.9304e-01	0.1298	0.015	1471.37	55.228	3.8849	38.341319
0.057	5.8849	32.6910	25.7424	2.9304e-01	0.1285	0.015	1471.37	55.226	3.8848	38.341319
0.056	5.8862	32.6901	25.7416	2.9304e-01	0.1273	0.015	1471.37	55.162	3.8802	38.341320
0.046	5.8877	32.6892	25.7407	2.9304e-01	0.1285	0.015	1471.38	55.214	3.8838	38.341320
0.057	5.8874	32.6899	25.7412	2.9304e-01	0.1285	0.015	1471.38	55.220	3.8842	38.341321
0.044	5.8862	32.6907	25.7420	2.9304e-01	0.1273	0.015	1471.37	55.226	3.8847	38.341321
0.069	5.8856	32.6909	25.7422	2.9304e-01	0.1285	0.015	1471.37	55.224	3.8846	38.341322
0.046	5.8845	32.6914	25.7428	2.9304e-01	0.1273	0.015	1471.37	55.229	3.8851	38.341322
0.057	5.8833	32.6921	25.7434	2.9304e-01	0.1285	0.015	1471.36	55.235	3.8856	38.341323
0.044	5.8874	32.6896	25.7410	2.9304e-01	0.1285	0.015	1471.38	55.240	3.8856	38.341323
0.057	5.8914	32.6894	25.7404	2.8083e-01	0.1285	0.015	1471.39	55.237	3.8851	38.341324
0.046	5.8947	32.6897	25.7402	2.8083e-01	0.1285	0.015	1471.41	55.234	3.8845	38.341324
0.057	5.8964	32.6896	25.7399	2.6862e-01	0.1285	0.015	1471.41	55.239	3.8847	38.341325
0.056	5.8973	32.6900	25.7401	2.6862e-01	0.1285	0.015	1471.42	55.244	3.8850	38.341325
0.057	5.8979	32.6900	25.7401	2.5641e-01	0.1285	0.015	1471.42	55.240	3.8847	38.341326
0.057	5.8982	32.6901	25.7401	2.5641e-01	0.1298	0.015	1471.42	55.183	3.8806	38.341326
0.057	5.8983	32.6899	25.7399	2.5641e-01	0.1285	0.015	1471.42	55.234	3.8842	38.341327
0.067	5.8985	32.6901	25.7400	2.5641e-01	0.1285	0.015	1471.42	55.230	3.8839	38.341327
0.057	5.8988	32.6899	25.7399	2.5641e-01	0.1285	0.015	1471.42	55.234	3.8842	38.341328
0.082	5.8987	32.6901	25.7400	2.6862e-01	0.1285	0.015	1471.42	55.231	3.8839	38.341328
0.069	5.8986	32.6903	25.7402	2.6862e-01	0.1285	0.015	1471.42	55.235	3.8842	38.341329
0.091	5.8982	32.6901	25.7400	2.6862e-01	0.1285	0.015	1471.42	55.230	3.8840	38.341329
