DepSM	T090C	Sal00	Sigma-t00	FlSP	WetStar	SeaTurbMtr	SvCM	Sbeox0PS	Sbeox0ML/L	TimeJ
0.000	5.8926	32.6911	25.7415	2.6745e-01	0.1284	0.015	1471.40	55.197	3.8821	38.341474
1.000	5.9074	32.6920	25.7405	2.4489e-01	0.1284	0.015	1471.48	55.099	3.8738	38.341706
2.000	5.9251	32.6940	25.7399	2.4614e-01	0.1284	0.015	1471.57	55.182	3.8780	38.341730
3.000	5.9458	32.6964	25.7393	2.4698e-01	0.1285	0.015	1471.67	55.195	3.8770	38.341753
4.000	5.9715	32.7013	25.7400	2.5028e-01	0.1286	0.015	1471.79	55.160	3.8720	38.341775
5.000	5.9550	32.6979	25.7393	2.4523e-01	0.1287	0.015	1471.74	55.029	3.8644	38.341799
6.000	6.0031	32.7069	25.7405	2.4395e-01	0.1286	0.015	1471.96	54.852	3.8475	38.341820
7.000	6.0751	32.7195	25.7416	2.4395e-01	0.1287	0.016	1472.28	54.601	3.8231	38.341844
8.000	6.1563	32.7360	25.7446	2.4227e-01	0.1287	0.015	1472.64	54.730	3.8244	38.341868
9.000	6.1972	32.7415	25.7438	2.3963e-01	0.1287	0.016	1472.83	54.312	3.7914	38.341893
10.000	6.2075	32.7452	25.7455	2.3691e-01	0.1287	0.016	1472.89	54.086	3.7747	38.341916
11.000	6.2276	32.7487	25.7458	2.4041e-01	0.1288	0.016	1472.99	53.683	3.7447	38.341936
12.000	6.2413	32.7518	25.7465	2.4029e-01	0.1287	0.015	1473.06	53.563	3.7351	38.341958
13.000	6.2403	32.7531	25.7476	2.3409e-01	0.1287	0.015	1473.08	53.502	3.7308	38.341980
14.000	6.2458	32.7551	25.7486	2.3543e-01	0.1286	0.015	1473.12	53.475	3.7284	38.342001
15.000	6.2523	32.7573	25.7494	2.3479e-01	0.1286	0.016	1473.16	53.603	3.7367	38.342023
16.000	6.2508	32.7575	25.7498	2.3225e-01	0.1287	0.015	1473.18	53.887	3.7567	38.342045
17.000	6.2502	32.7575	25.7499	2.3488e-01	0.1286	0.015	1473.19	54.189	3.7778	38.342066
18.000	6.2483	32.7577	25.7503	2.3270e-01	0.1287	0.016	1473.20	54.296	3.7854	38.342089
19.000	6.2508	32.7594	25.7513	2.2979e-01	0.1287	0.016	1473.23	54.335	3.7879	38.342110
20.000	6.2543	32.7606	25.7518	2.3302e-01	0.1286	0.016	1473.26	54.269	3.7829	38.342132
21.000	6.2545	32.7611	25.7522	2.3020e-01	0.1286	0.015	1473.28	54.245	3.7812	38.342154
22.000	6.2671	32.7641	25.7529	2.2036e-01	0.1287	0.015	1473.35	54.114	3.7709	38.342176
23.000	6.3295	32.7766	25.7550	2.2245e-01	0.1287	0.016	1473.63	54.174	3.7693	38.342199
24.000	6.4565	32.8072	25.7629	2.1667e-01	0.1287	0.016	1474.18	54.200	3.7592	38.342221
25.000	6.9410	32.9228	25.7903	2.0223e-01	0.1288	0.016	1476.24	54.080	3.7063	38.342243
26.000	7.3763	33.0172	25.8056	1.8634e-01	0.1286	0.016	1478.06	54.114	3.6695	38.342267
27.000	7.4040	33.0281	25.8102	1.7545e-01	0.1287	0.015	1478.20	53.201	3.6051	38.342288
28.000	7.4473	33.0554	25.8256	1.7118e-01	0.1287	0.016	1478.42	49.891	3.3767	38.342311
29.000	7.3913	33.0362	25.8184	1.7094e-01	0.1287	0.016	1478.19	46.703	3.1654	38.342334
30.000	7.5792	33.0974	25.8401	1.6615e-01	0.1288	0.016	1479.01	45.844	3.0927	38.342356
31.000	7.8785	33.1798	25.8621	1.6590e-01	0.1287	0.016	1480.27	47.159	3.1581	38.342378
