DepSM	T090C	Sal00	Sigma-t00	FlSP	WetStar	SeaTurbMtr	SvCM	Sbeox0PS	Sbeox0ML/L	TimeJ
0.000	5.4873	32.6186	25.7323	3.4084e-01	0.1284	0.015	1469.68	52.222	3.7099	38.455216
1.000	5.4935	32.6205	25.7331	3.1957e-01	0.1285	0.015	1469.72	51.695	3.6719	38.455335
2.000	5.5210	32.6237	25.7324	3.2493e-01	0.1283	0.015	1469.86	51.791	3.6762	38.455359
3.000	5.5160	32.6232	25.7327	3.2343e-01	0.1283	0.013	1469.85	51.718	3.6715	38.455383
4.000	5.5952	32.6371	25.7343	3.1263e-01	0.1288	0.015	1470.20	51.650	3.6595	38.455406
5.000	5.7346	32.6675	25.7419	2.9066e-01	0.1290	0.015	1470.82	51.628	3.6452	38.455429
6.000	5.7151	32.6747	25.7499	2.8666e-01	0.1290	0.015	1470.77	51.661	3.6490	38.455452
7.000	5.8995	32.7098	25.7555	2.8003e-01	0.1291	0.015	1471.57	50.950	3.5824	38.455475
8.000	5.9647	32.7217	25.7570	2.8032e-01	0.1290	0.015	1471.86	50.095	3.5166	38.455498
9.000	5.9667	32.7245	25.7589	2.7470e-01	0.1292	0.015	1471.89	49.555	3.4785	38.455521
10.000	5.9787	32.7289	25.7609	2.8040e-01	0.1291	0.015	1471.96	48.303	3.3895	38.455545
11.000	6.0079	32.7361	25.7630	2.7417e-01	0.1293	0.016	1472.10	47.791	3.3511	38.455568
12.000	6.0323	32.7401	25.7632	2.7345e-01	0.1292	0.016	1472.22	47.705	3.3431	38.455592
13.000	6.0384	32.7424	25.7642	2.9080e-01	0.1293	0.015	1472.26	47.164	3.3047	38.455638
