DepSM	T090C	Sal00	Sigma-t00	FlSP	WetStar	SeaTurbMtr	SvCM	Sbeox0PS	Sbeox0ML/L	TimeJ
1.000	5.4245	32.4582	25.6127	3.3780e-01	0.1290	0.015	1469.24	57.789	4.1159	38.606690
2.000	5.4405	32.4590	25.6115	3.0977e-01	0.1292	0.015	1469.32	57.470	4.0916	38.606728
3.000	5.4611	32.4592	25.6093	2.9819e-01	0.1292	0.015	1469.42	57.392	4.0841	38.606746
4.000	5.5534	32.4714	25.6082	2.9644e-01	0.1290	0.015	1469.82	57.434	4.0778	38.606763
5.000	5.6853	32.4949	25.6113	2.8884e-01	0.1291	0.015	1470.40	57.493	4.0687	38.606780
6.000	5.9079	32.5433	25.6229	2.9096e-01	0.1291	0.015	1471.37	57.768	4.0655	38.606799
7.000	6.0223	32.5732	25.6326	2.7449e-01	0.1289	0.015	1471.89	57.935	4.0654	38.606822
8.000	6.2184	32.6095	25.6370	2.5905e-01	0.1292	0.015	1472.73	57.958	4.0475	38.606841
9.000	6.3839	32.6491	25.6475	2.4762e-01	0.1293	0.015	1473.45	57.692	4.0123	38.606859
10.000	6.4215	32.6614	25.6524	2.5467e-01	0.1292	0.015	1473.63	57.648	4.0054	38.606879
11.000	6.4495	32.6728	25.6578	2.4453e-01	0.1290	0.015	1473.77	57.467	3.9899	38.606898
12.000	6.5619	32.6896	25.6566	2.3315e-01	0.1289	0.015	1474.25	57.027	3.9487	38.606916
13.000	6.6742	32.7155	25.6626	2.2299e-01	0.1286	0.013	1474.74	56.787	3.9212	38.606933
14.000	6.8005	32.7426	25.6674	2.2034e-01	0.1289	0.014	1475.29	56.545	3.8924	38.606954
15.000	6.8555	32.7675	25.6797	2.1194e-01	0.1290	0.015	1475.55	56.598	3.8904	38.606971
16.000	6.9633	32.7965	25.6882	2.0695e-01	0.1291	0.015	1476.02	56.647	3.8834	38.606990
17.000	7.0294	32.8196	25.6975	1.9931e-01	0.1293	0.015	1476.33	56.411	3.8608	38.607010
18.000	7.2044	32.8641	25.7088	1.9744e-01	0.1291	0.015	1477.08	56.362	3.8408	38.607028
19.000	7.2855	32.8997	25.7257	1.9178e-01	0.1292	0.015	1477.45	56.341	3.8314	38.607047
20.000	7.4197	32.9452	25.7430	1.8353e-01	0.1291	0.015	1478.04	56.314	3.8167	38.607065
21.000	7.5017	32.9734	25.7536	1.8446e-01	0.1291	0.015	1478.41	56.138	3.7969	38.607085
22.000	7.5879	33.0089	25.7694	1.7978e-01	0.1291	0.015	1478.80	56.084	3.7849	38.607103
23.000	7.7455	33.0696	25.7947	1.7292e-01	0.1293	0.016	1479.49	55.807	3.7513	38.607123
24.000	7.8133	33.1011	25.8098	1.7178e-01	0.1295	0.015	1479.81	55.826	3.7460	38.607143
25.000	8.0377	33.1745	25.8348	1.6390e-01	0.1293	0.016	1480.77	55.827	3.7254	38.607162
26.000	8.3082	33.2372	25.8439	1.5867e-01	0.1293	0.016	1481.88	55.735	3.6951	38.607181
27.000	8.4255	33.2792	25.8593	1.5873e-01	0.1295	0.016	1482.39	55.904	3.6956	38.607200
28.000	8.4807	33.3026	25.8692	1.5973e-01	0.1296	0.016	1482.65	55.719	3.6783	38.607220
29.000	8.4059	33.3108	25.8870	1.5873e-01	0.1296	0.016	1482.39	55.052	3.6402	38.607238
30.000	8.4226	33.3724	25.9328	1.5814e-01	0.1295	0.016	1482.55	54.754	3.6176	38.607258
31.000	8.4659	33.4092	25.9551	1.5406e-01	0.1295	0.015	1482.77	54.727	3.6115	38.607278
32.000	8.5838	33.4546	25.9727	1.5107e-01	0.1295	0.016	1483.29	55.323	3.6402	38.607298
33.000	8.6176	33.4913	25.9963	1.5006e-01	0.1296	0.016	1483.47	55.996	3.6808	38.607317
34.000	8.6250	33.5164	26.0148	1.4920e-01	0.1295	0.016	1483.55	56.172	3.6911	38.607336
35.000	8.6361	33.5472	26.0373	1.4903e-01	0.1296	0.015	1483.64	56.007	3.6786	38.607355
36.000	8.6176	33.5732	26.0605	1.4716e-01	0.1295	0.016	1483.62	56.100	3.6857	38.607374
37.000	8.6012	33.6059	26.0886	1.4770e-01	0.1296	0.015	1483.62	56.276	3.6978	38.607394
38.000	8.6198	33.6423	26.1143	1.4739e-01	0.1296	0.015	1483.75	56.404	3.7038	38.607414
39.000	8.6136	33.6715	26.1381	1.4716e-01	0.1296	0.015	1483.78	56.739	3.7256	38.607433
40.000	8.6140	33.6899	26.1525	1.4652e-01	0.1297	0.016	1483.82	56.879	3.7343	38.607452
41.000	8.6170	33.7193	26.1751	1.4831e-01	0.1296	0.015	1483.88	56.991	3.7407	38.607472
42.000	8.6064	33.7468	26.1982	1.4744e-01	0.1296	0.016	1483.90	57.006	3.7419	38.607491
43.000	8.6017	33.7819	26.2265	1.4844e-01	0.1296	0.016	1483.94	56.922	3.7359	38.607510
44.000	8.6010	33.8074	26.2466	1.4772e-01	0.1297	0.016	1483.98	56.717	3.7219	38.607529
45.000	8.5906	33.8180	26.2565	1.4653e-01	0.1297	0.016	1483.97	57.083	3.7465	38.607548
46.000	8.5864	33.8322	26.2683	1.4652e-01	0.1298	0.015	1483.99	57.068	3.7456	38.607567
47.000	8.5802	33.8443	26.2787	1.4652e-01	0.1296	0.016	1484.00	57.137	3.7503	38.607587
48.000	8.5727	33.8587	26.2911	1.4713e-01	0.1297	0.016	1484.01	57.478	3.7730	38.607607
49.000	8.5644	33.8745	26.3048	1.4681e-01	0.1297	0.015	1484.01	57.500	3.7747	38.607627
50.000	8.5655	33.8810	26.3098	1.4652e-01	0.1297	0.016	1484.04	57.561	3.7785	38.607646
51.000	8.5655	33.8843	26.3123	1.4714e-01	0.1298	0.016	1484.06	57.655	3.7846	38.607666
52.000	8.5584	33.8909	26.3186	1.4835e-01	0.1298	0.016	1484.06	57.361	3.7657	38.607707
