DepSM	T090C	Sal00	Sigma-t00	FlSP	WetStar	SeaTurbMtr	SvCM	Sbeox0PS	Sbeox0ML/L	TimeJ
0.000	6.1371	32.5492	25.5995	3.4782e-01	0.1280	0.012	1472.20	46.043	3.2227	38.437036
1.000	6.1518	32.7307	25.7410	3.0382e-01	0.1288	0.015	1472.50	49.989	3.4936	38.437161
2.000	6.1530	32.7320	25.7419	3.0377e-01	0.1289	0.015	1472.52	49.779	3.4788	38.437184
3.000	6.1671	32.7343	25.7419	2.9709e-01	0.1290	0.015	1472.60	49.801	3.4792	38.437209
4.000	6.1944	32.7393	25.7425	2.8935e-01	0.1289	0.015	1472.73	49.571	3.4607	38.437236
5.000	6.2208	32.7420	25.7413	2.7825e-01	0.1289	0.015	1472.85	49.430	3.4487	38.437257
6.000	6.3346	32.7521	25.7350	2.4803e-01	0.1291	0.015	1473.33	49.344	3.4334	38.437278
7.000	6.4614	32.7765	25.7381	2.4317e-01	0.1290	0.015	1473.88	48.994	3.3984	38.437299
8.000	6.5165	32.7901	25.7417	2.4016e-01	0.1289	0.015	1474.13	48.681	3.3721	38.437321
9.000	6.5823	32.8055	25.7454	2.3953e-01	0.1292	0.015	1474.43	48.438	3.3498	38.437343
10.000	6.6085	32.8112	25.7465	2.4256e-01	0.1290	0.015	1474.56	47.748	3.3000	38.437365
11.000	6.5879	32.8120	25.7498	2.4321e-01	0.1291	0.015	1474.49	47.002	3.2499	38.437388
12.000	6.5785	32.8115	25.7506	2.3805e-01	0.1292	0.015	1474.47	46.342	3.2050	38.437410
13.000	6.5750	32.8112	25.7509	2.3946e-01	0.1291	0.015	1474.47	45.933	3.1770	38.437433
14.000	6.5766	32.8121	25.7513	2.3836e-01	0.1293	0.015	1474.50	45.911	3.1753	38.437455
15.000	6.5746	32.8121	25.7516	2.3753e-01	0.1291	0.015	1474.50	46.035	3.1840	38.437477
16.000	6.5696	32.8117	25.7519	2.4096e-01	0.1290	0.015	1474.50	46.020	3.1834	38.437500
17.000	6.5845	32.8115	25.7498	2.3573e-01	0.1286	0.013	1474.58	45.886	3.1730	38.437522
18.000	6.6143	32.8168	25.7502	2.3432e-01	0.1288	0.014	1474.72	45.713	3.1587	38.437546
19.000	6.6442	32.8238	25.7518	2.3053e-01	0.1291	0.015	1474.86	45.852	3.1660	38.437567
20.000	6.6841	32.8308	25.7521	2.2457e-01	0.1292	0.015	1475.04	46.000	3.1732	38.437590
21.000	6.8155	32.8565	25.7550	1.9657e-01	0.1292	0.015	1475.60	45.803	3.1495	38.437612
22.000	7.3687	32.9562	25.7585	1.7573e-01	0.1293	0.015	1477.89	45.432	3.0826	38.437634
23.000	7.7010	33.0249	25.7660	1.7210e-01	0.1294	0.015	1479.27	45.262	3.0465	38.437658
24.000	7.8023	33.0560	25.7759	1.7121e-01	0.1296	0.015	1479.71	42.895	2.8800	38.437681
25.000	7.8465	33.0712	25.7815	1.7150e-01	0.1295	0.015	1479.92	37.866	2.5395	38.437704
26.000	7.8891	33.0820	25.7838	1.7070e-01	0.1296	0.016	1480.11	35.043	2.3477	38.437727
27.000	7.9228	33.0921	25.7869	1.7094e-01	0.1297	0.016	1480.26	33.594	2.2488	38.437749
28.000	7.9365	33.0991	25.7904	1.7041e-01	0.1298	0.016	1480.34	32.820	2.1962	38.437772
29.000	7.9897	33.1151	25.7952	1.6926e-01	0.1297	0.016	1480.58	32.206	2.1523	38.437794
30.000	8.0199	33.1280	25.8009	1.6849e-01	0.1297	0.016	1480.73	31.914	2.1311	38.437818
31.000	8.0346	33.1344	25.8038	1.6923e-01	0.1298	0.016	1480.81	31.662	2.1135	38.437841
32.000	8.0690	33.1463	25.8081	1.6513e-01	0.1298	0.016	1480.97	31.311	2.0883	38.437864
33.000	8.1189	33.1622	25.8132	1.6106e-01	0.1299	0.016	1481.19	30.944	2.0613	38.437887
34.000	8.1389	33.1712	25.8174	1.6232e-01	0.1298	0.016	1481.30	30.623	2.0389	38.437910
35.000	8.1640	33.1795	25.8201	1.6191e-01	0.1299	0.016	1481.42	30.648	2.0393	38.437934
36.000	8.1797	33.1856	25.8226	1.6322e-01	0.1298	0.016	1481.50	31.373	2.0867	38.437956
37.000	8.1886	33.1886	25.8236	1.6159e-01	0.1298	0.016	1481.56	32.103	2.1348	38.437979
38.000	8.1985	33.1920	25.8249	1.6150e-01	0.1299	0.016	1481.61	32.904	2.1875	38.438002
39.000	8.2083	33.1964	25.8269	1.6107e-01	0.1298	0.016	1481.67	33.239	2.2092	38.438024
40.000	8.2179	33.2003	25.8285	1.6138e-01	0.1299	0.016	1481.73	33.450	2.2228	38.438046
41.000	8.2273	33.2045	25.8304	1.6075e-01	0.1299	0.016	1481.79	33.827	2.2473	38.438069
42.000	8.2334	33.2072	25.8316	1.6005e-01	0.1299	0.016	1481.83	34.271	2.2764	38.438091
43.000	8.2470	33.2121	25.8334	1.6029e-01	0.1299	0.016	1481.91	34.710	2.3048	38.438115
44.000	8.2536	33.2157	25.8353	1.6044e-01	0.1299	0.016	1481.95	35.026	2.3253	38.438138
45.000	8.2692	33.2222	25.8380	1.5931e-01	0.1300	0.016	1482.03	35.360	2.3466	38.438160
46.000	8.2919	33.2318	25.8421	1.5925e-01	0.1299	0.016	1482.15	35.738	2.3704	38.438183
47.000	8.3070	33.2375	25.8443	1.5926e-01	0.1300	0.015	1482.23	36.269	2.4046	38.438205
48.000	8.3149	33.2411	25.8460	1.5872e-01	0.1299	0.016	1482.28	37.168	2.4637	38.438227
49.000	8.3242	33.2440	25.8469	1.5971e-01	0.1301	0.016	1482.33	37.975	2.5167	38.438249
50.000	8.3283	33.2462	25.8480	1.5903e-01	0.1300	0.016	1482.37	38.590	2.5571	38.438271
51.000	8.3298	33.2475	25.8488	1.5979e-01	0.1299	0.016	1482.39	38.862	2.5751	38.438293
