DepSM	T090C	Sal00	Sigma-t00	FlSP	WetStar	SeaTurbMtr	SvCM	Sbeox0PS	Sbeox0ML/L	TimeJ
1.000	5.1798	32.3820	25.5802	3.5627e-01	0.1269	0.008	1468.15	60.742	4.3540	38.556783
2.000	5.1958	32.4642	25.6435	3.5985e-01	0.1273	0.011	1468.33	56.031	4.0123	38.556933
3.000	5.1972	32.4697	25.6477	3.6071e-01	0.1274	0.011	1468.36	56.640	4.0556	38.556962
4.000	5.1957	32.4723	25.6499	3.5997e-01	0.1276	0.012	1468.38	58.465	4.1864	38.556985
5.000	5.2171	32.4776	25.6517	3.4847e-01	0.1280	0.014	1468.49	59.099	4.2294	38.557009
6.000	5.2543	32.4911	25.6582	3.2703e-01	0.1282	0.015	1468.67	60.325	4.3129	38.557032
7.000	5.3390	32.5006	25.6560	3.0057e-01	0.1284	0.015	1469.04	61.887	4.4155	38.557056
8.000	5.5226	32.5286	25.6570	2.9760e-01	0.1285	0.015	1469.84	62.112	4.4115	38.557080
9.000	5.5214	32.5499	25.6741	2.9503e-01	0.1287	0.015	1469.88	61.912	4.3968	38.557103
10.000	5.5824	32.5513	25.6680	2.9645e-01	0.1287	0.015	1470.14	61.929	4.3916	38.557127
11.000	5.6463	32.5645	25.6709	2.9583e-01	0.1288	0.015	1470.43	61.526	4.3560	38.557151
12.000	5.6836	32.5756	25.6753	2.9251e-01	0.1288	0.015	1470.61	61.111	4.3226	38.557175
13.000	5.7104	32.5813	25.6767	2.9180e-01	0.1286	0.015	1470.75	60.756	4.2945	38.557198
14.000	5.7142	32.5927	25.6852	2.8716e-01	0.1286	0.015	1470.79	60.505	4.2761	38.557222
15.000	5.7505	32.6023	25.6885	2.7434e-01	0.1285	0.015	1470.97	60.162	4.2479	38.557246
16.000	5.8294	32.6187	25.6920	2.6865e-01	0.1286	0.015	1471.32	59.902	4.2213	38.557270
17.000	5.8704	32.6273	25.6938	2.6634e-01	0.1287	0.015	1471.51	59.913	4.2178	38.557294
18.000	6.0412	32.6585	25.6976	2.5448e-01	0.1288	0.015	1472.25	59.904	4.1994	38.557317
19.000	6.1315	32.6913	25.7124	2.5246e-01	0.1289	0.015	1472.67	59.669	4.1732	38.557342
20.000	6.0622	32.6872	25.7178	2.5998e-01	0.1287	0.015	1472.40	59.666	4.1799	38.557365
