DepSM	T090C	Sal00	Sigma-t00	FlSP	WetStar	SeaTurbMtr	SvCM	Sbeox0PS	Sbeox0ML/L	TimeJ
0.060	5.2046	31.9682	25.2498	3.6630e-01	0.1261	0.007	1467.71	79.082	5.6805	38.543113
0.060	5.2045	31.9700	25.2513	3.6630e-01	0.1261	0.007	1467.71	79.082	5.6805	38.543114
0.047	5.2047	31.9615	25.2445	3.6630e-01	0.1261	0.007	1467.70	79.082	5.6807	38.543114
0.048	5.2048	31.9592	25.2426	3.7851e-01	0.1261	0.007	1467.70	79.082	5.6808	38.543115
0.035	5.2049	31.9678	25.2495	3.6630e-01	0.1261	0.004	1467.71	79.082	5.6805	38.543115
0.060	5.2049	31.9705	25.2516	3.6630e-01	0.1273	0.007	1467.71	79.082	5.6804	38.543116
0.047	5.2051	31.9633	25.2459	3.6630e-01	0.1261	0.007	1467.70	79.082	5.6806	38.543116
0.048	5.2056	31.9627	25.2454	3.5409e-01	0.1261	0.007	1467.70	79.144	5.6851	38.543117
0.048	5.2055	31.9748	25.2549	3.6630e-01	0.1261	0.007	1467.72	79.090	5.6807	38.543117
0.048	5.2059	31.9756	25.2555	3.6630e-01	0.1261	0.007	1467.72	79.089	5.6806	38.543118
0.058	5.2061	31.9607	25.2437	3.6630e-01	0.1261	0.007	1467.70	79.089	5.6811	38.543118
0.048	5.2067	31.9578	25.2414	3.6630e-01	0.1261	0.007	1467.70	79.089	5.6811	38.543119
0.060	5.2070	31.9768	25.2563	3.6630e-01	0.1261	0.007	1467.73	79.088	5.6803	38.543119
0.060	5.2071	31.9816	25.2602	3.6630e-01	0.1273	0.007	1467.73	79.088	5.6801	38.543120
0.058	5.2070	31.9741	25.2542	3.6630e-01	0.1273	0.007	1467.72	79.088	5.6804	38.543120
0.060	5.2067	31.9802	25.2591	3.7851e-01	0.1261	0.007	1467.73	79.087	5.6801	38.543121
0.071	5.2067	31.9960	25.2716	3.6630e-01	0.1261	0.007	1467.75	79.087	5.6795	38.543121
0.069	5.2061	32.0046	25.2784	3.6630e-01	0.1261	0.007	1467.76	79.087	5.6793	38.543122
0.084	5.2059	32.0099	25.2827	3.6630e-01	0.1261	0.007	1467.77	79.087	5.6791	38.543122
0.071	5.2053	32.0180	25.2891	3.7851e-01	0.1261	0.007	1467.77	79.149	5.6833	38.543123
0.084	5.2057	32.0268	25.2961	3.7851e-01	0.1261	0.007	1467.79	79.094	5.6790	38.543123
0.082	5.2065	32.0389	25.3056	3.6630e-01	0.1261	0.007	1467.80	79.093	5.6783	38.543124
0.095	5.2074	32.0479	25.3126	3.6630e-01	0.1261	0.007	1467.82	79.155	5.6823	38.543124
0.095	5.2082	32.0493	25.3136	3.6630e-01	0.1261	0.007	1467.83	79.099	5.6782	38.543125
0.095	5.2090	32.0554	25.3184	3.6630e-01	0.1261	0.007	1467.84	79.161	5.6823	38.543125
0.094	5.2098	32.0639	25.3250	3.6630e-01	0.1261	0.007	1467.85	79.105	5.6778	38.543125
0.095	5.2105	32.0714	25.3309	3.6630e-01	0.1261	0.007	1467.86	79.103	5.6773	38.543126
0.106	5.2109	32.0780	25.3360	3.5409e-01	0.1261	0.007	1467.87	79.102	5.6769	38.543126
0.106	5.2113	32.0857	25.3420	3.5409e-01	0.1261	0.007	1467.88	79.101	5.6765	38.543127
0.094	5.2120	32.0894	25.3449	3.5409e-01	0.1261	0.007	1467.89	79.099	5.6761	38.543127
0.106	5.2122	32.0935	25.3481	3.5409e-01	0.1249	0.007	1467.90	79.098	5.6759	38.543128
0.095	5.2125	32.0965	25.3505	3.5409e-01	0.1261	0.007	1467.90	79.096	5.6756	38.543128
0.106	5.2128	32.1013	25.3543	3.5409e-01	0.1261	0.007	1467.91	79.157	5.6798	38.543129
0.106	5.2126	32.1035	25.3561	3.5409e-01	0.1261	0.007	1467.91	79.101	5.6757	38.543129
0.095	5.2125	32.0981	25.3518	3.5409e-01	0.1261	0.007	1467.90	79.162	5.6803	38.543130
0.106	5.2122	32.0899	25.3453	3.5409e-01	0.1261	0.007	1467.89	79.106	5.6766	38.543130
0.095	5.2118	32.0932	25.3480	3.5409e-01	0.1261	0.007	1467.90	79.104	5.6764	38.543131
0.106	5.2114	32.1025	25.3554	3.5409e-01	0.1261	0.007	1467.91	79.102	5.6759	38.543131
0.106	5.2111	32.0949	25.3494	3.4188e-01	0.1273	0.007	1467.90	79.100	5.6761	38.543132
0.095	5.2107	32.0818	25.3390	3.4188e-01	0.1261	0.007	1467.88	79.098	5.6765	38.543132
0.119	5.2096	32.0926	25.3477	3.5409e-01	0.1261	0.007	1467.89	79.096	5.6761	38.543133
0.118	5.2081	32.0977	25.3519	3.4188e-01	0.1261	0.007	1467.89	79.094	5.6760	38.543133
0.119	5.2067	32.0926	25.3480	3.4188e-01	0.1261	0.011	1467.87	79.093	5.6763	38.543134
0.131	5.2057	32.0964	25.3512	3.5409e-01	0.1261	0.007	1467.88	79.091	5.6761	38.543134
0.129	5.2047	32.1052	25.3583	3.4188e-01	0.1261	0.007	1467.88	79.089	5.6758	38.543135
0.155	5.2049	32.1217	25.3713	3.5409e-01	0.1261	0.007	1467.90	79.087	5.6750	38.543135
0.144	5.2052	32.1304	25.3781	3.5409e-01	0.1273	0.007	1467.92	79.085	5.6745	38.543136
