DepSM	T090C	Sal00	Sigma-t00	FlSP	WetStar	SeaTurbMtr	SvCM	Sbeox0PS	Sbeox0ML/L	TimeJ
0.000	5.2074	32.1177	25.3679	3.7060e-01	0.1262	0.007	1467.91	79.856	5.7298	38.543159
1.000	5.2126	32.3540	25.5543	3.6943e-01	0.1265	0.009	1468.25	70.240	5.0315	38.543246
2.000	5.2145	32.3792	25.5741	3.6737e-01	0.1267	0.009	1468.30	68.970	4.9394	38.543266
3.000	5.2136	32.3903	25.5830	3.4673e-01	0.1270	0.010	1468.33	66.055	4.7304	38.543288
4.000	5.2110	32.3897	25.5828	3.4349e-01	0.1271	0.011	1468.33	63.278	4.5318	38.543310
5.000	5.2583	32.3582	25.5525	3.3500e-01	0.1272	0.011	1468.50	61.287	4.3853	38.543332
6.000	5.3084	32.3619	25.5498	3.3145e-01	0.1273	0.011	1468.73	60.177	4.3005	38.543354
7.000	5.3436	32.4005	25.5763	3.2601e-01	0.1275	0.013	1468.94	59.747	4.2651	38.543376
8.000	5.4170	32.4772	25.6286	3.0622e-01	0.1277	0.015	1469.35	60.270	4.2928	38.543397
9.000	5.5816	32.5231	25.6458	2.8569e-01	0.1282	0.015	1470.09	61.603	4.3694	38.543418
10.000	5.6944	32.5711	25.6705	2.7788e-01	0.1281	0.015	1470.62	62.453	4.4164	38.543440
11.000	5.7605	32.5920	25.6791	2.7186e-01	0.1285	0.015	1470.93	62.548	4.4157	38.543461
12.000	5.8102	32.6062	25.6844	2.7112e-01	0.1284	0.015	1471.16	62.151	4.3821	38.543482
13.000	5.8265	32.6133	25.6880	2.7079e-01	0.1285	0.015	1471.25	60.786	4.2840	38.543503
14.000	5.8488	32.6203	25.6909	2.6893e-01	0.1286	0.015	1471.37	59.848	4.2155	38.543525
15.000	5.8485	32.6246	25.6943	2.6497e-01	0.1285	0.015	1471.39	59.463	4.1883	38.543546
16.000	5.8637	32.6271	25.6945	2.6446e-01	0.1284	0.015	1471.47	59.284	4.1741	38.543567
17.000	5.8923	32.6370	25.6988	2.6171e-01	0.1283	0.015	1471.61	58.971	4.1490	38.543589
18.000	5.9217	32.6475	25.7035	2.5780e-01	0.1282	0.015	1471.76	58.641	4.1227	38.543611
19.000	5.9437	32.6678	25.7169	2.4163e-01	0.1282	0.015	1471.89	58.471	4.1080	38.543633
20.000	6.0579	32.6941	25.7237	2.3831e-01	0.1282	0.015	1472.39	58.527	4.1003	38.543655
21.000	6.1330	32.7223	25.7367	2.3574e-01	0.1286	0.015	1472.74	58.452	4.0871	38.543677
22.000	6.2163	32.7397	25.7401	2.3126e-01	0.1286	0.015	1473.11	58.635	4.0915	38.543698
23.000	6.3141	32.7619	25.7453	2.2361e-01	0.1287	0.015	1473.55	58.496	4.0719	38.543721
24.000	6.3545	32.7758	25.7512	2.2058e-01	0.1287	0.015	1473.74	58.183	4.0459	38.543743
25.000	6.4925	32.8096	25.7602	2.1157e-01	0.1286	0.015	1474.34	57.908	4.0130	38.543765
26.000	6.6064	32.8298	25.7614	2.0260e-01	0.1287	0.015	1474.83	57.615	3.9816	38.543788
27.000	6.8092	32.8876	25.7803	1.8345e-01	0.1288	0.015	1475.72	57.392	3.9461	38.543810
28.000	7.1015	32.9591	25.7975	1.7356e-01	0.1286	0.015	1476.96	57.240	3.9075	38.543833
29.000	7.2719	33.0031	25.8089	1.7067e-01	0.1285	0.014	1477.69	57.259	3.8923	38.543855
30.000	7.4517	33.0644	25.8321	1.6706e-01	0.1287	0.015	1478.48	57.206	3.8713	38.543877
31.000	7.6269	33.1201	25.8513	1.6048e-01	0.1289	0.015	1479.24	56.828	3.8290	38.543899
32.000	7.8772	33.2543	25.9208	1.5899e-01	0.1289	0.015	1480.37	56.906	3.8092	38.543922
33.000	7.9447	33.2783	25.9298	1.5371e-01	0.1287	0.015	1480.68	56.834	3.7980	38.543945
34.000	8.1387	33.3690	25.9725	1.5129e-01	0.1289	0.015	1481.54	57.042	3.7930	38.543967
35.000	8.2555	33.4227	25.9973	1.4817e-01	0.1288	0.015	1482.07	57.190	3.7915	38.543989
36.000	8.3479	33.4792	26.0278	1.4785e-01	0.1290	0.015	1482.50	57.323	3.7911	38.544010
37.000	8.4275	33.5209	26.0485	1.4838e-01	0.1291	0.016	1482.87	57.433	3.7906	38.544033
38.000	8.5250	33.5858	26.0845	1.4679e-01	0.1291	0.015	1483.33	57.558	3.7889	38.544054
39.000	8.5175	33.5851	26.0852	1.4807e-01	0.1291	0.016	1483.31	57.522	3.7872	38.544077
40.000	8.5608	33.6228	26.1081	1.4676e-01	0.1289	0.016	1483.54	57.296	3.7678	38.544100
41.000	8.5907	33.6580	26.1311	1.4652e-01	0.1291	0.016	1483.71	57.357	3.7685	38.544122
42.000	8.5916	33.6664	26.1375	1.4704e-01	0.1292	0.016	1483.74	57.402	3.7711	38.544144
43.000	8.5945	33.6995	26.1630	1.4814e-01	0.1292	0.016	1483.81	57.391	3.7693	38.544166
44.000	8.5929	33.7135	26.1742	1.4734e-01	0.1293	0.016	1483.84	57.414	3.7707	38.544188
45.000	8.5891	33.7224	26.1818	1.4730e-01	0.1293	0.016	1483.85	57.428	3.7716	38.544210
46.000	8.5824	33.7339	26.1918	1.4763e-01	0.1294	0.015	1483.86	57.401	3.7701	38.544232
47.000	8.5735	33.7396	26.1977	1.4910e-01	0.1294	0.016	1483.85	57.405	3.7710	38.544254
48.000	8.5717	33.7422	26.2000	1.4806e-01	0.1295	0.016	1483.86	57.382	3.7696	38.544277
49.000	8.5541	33.7552	26.2129	1.4768e-01	0.1295	0.015	1483.83	57.466	3.7763	38.544298
50.000	8.5532	33.7554	26.2132	1.4785e-01	0.1293	0.016	1483.84	57.448	3.7752	38.544319
51.000	8.5469	33.7600	26.2177	1.4760e-01	0.1295	0.016	1483.84	57.627	3.7874	38.544342
52.000	8.5393	33.7648	26.2227	1.4709e-01	0.1296	0.016	1483.83	57.708	3.7932	38.544362
53.000	8.5371	33.7651	26.2232	1.4776e-01	0.1295	0.015	1483.84	57.762	3.7969	38.544384
54.000	8.5247	33.7713	26.2300	1.4736e-01	0.1296	0.016	1483.82	57.879	3.8055	38.544407
55.000	8.5240	33.7710	26.2299	1.4790e-01	0.1296	0.015	1483.83	57.857	3.8041	38.544428
56.000	8.5202	33.7727	26.2318	1.4752e-01	0.1295	0.015	1483.84	57.973	3.8120	38.544450
57.000	8.5119	33.7760	26.2357	1.4771e-01	0.1298	0.016	1483.83	58.215	3.8286	38.544472
58.000	8.5090	33.7770	26.2369	1.4761e-01	0.1296	0.016	1483.84	58.066	3.8191	38.544492
59.000	8.5010	33.7791	26.2398	1.4881e-01	0.1298	0.015	1483.82	58.289	3.8343	38.544515
60.000	8.4967	33.7805	26.2415	1.4805e-01	0.1296	0.015	1483.83	58.498	3.8484	38.544536
61.000	8.4948	33.7817	26.2428	1.4794e-01	0.1298	0.016	1483.84	58.402	3.8422	38.544556
62.000	8.4956	33.7835	26.2440	1.4755e-01	0.1297	0.016	1483.86	58.587	3.8543	38.544578
63.000	8.4931	33.7879	26.2478	1.4771e-01	0.1297	0.016	1483.87	58.606	3.8556	38.544599
64.000	8.4906	33.7893	26.2493	1.4935e-01	0.1297	0.016	1483.88	58.525	3.8505	38.544620
65.000	8.4861	33.7948	26.2544	1.4842e-01	0.1298	0.016	1483.89	58.517	3.8502	38.544643
66.000	8.4816	33.7977	26.2573	1.4769e-01	0.1298	0.016	1483.89	58.365	3.8405	38.544663
67.000	8.4801	33.8000	26.2593	1.4910e-01	0.1298	0.015	1483.91	58.324	3.8379	38.544685
68.000	8.4782	33.8031	26.2620	1.4932e-01	0.1297	0.016	1483.92	58.390	3.8423	38.544708
69.000	8.4719	33.8080	26.2668	1.4806e-01	0.1298	0.015	1483.92	58.346	3.8398	38.544729
70.000	8.4688	33.8095	26.2685	1.4826e-01	0.1298	0.015	1483.92	58.527	3.8520	38.544750
71.000	8.4607	33.8142	26.2734	1.4978e-01	0.1299	0.015	1483.92	58.387	3.8434	38.544773
72.000	8.4565	33.8158	26.2753	1.4802e-01	0.1298	0.016	1483.92	58.361	3.8420	38.544794
73.000	8.4545	33.8165	26.2762	1.4931e-01	0.1298	0.016	1483.93	58.498	3.8512	38.544815
74.000	8.4523	33.8173	26.2771	1.4818e-01	0.1298	0.015	1483.94	58.307	3.8387	38.544838
75.000	8.4495	33.8189	26.2788	1.4798e-01	0.1298	0.015	1483.95	58.195	3.8315	38.544858
76.000	8.4502	33.8200	26.2796	1.5015e-01	0.1299	0.016	1483.97	58.234	3.8341	38.544879
77.000	8.4494	33.8206	26.2802	1.4971e-01	0.1298	0.015	1483.98	58.286	3.8375	38.544901
78.000	8.4485	33.8210	26.2806	1.5058e-01	0.1298	0.015	1483.99	58.354	3.8421	38.544921
79.000	8.4470	33.8219	26.2815	1.5100e-01	0.1298	0.015	1484.01	58.232	3.8341	38.544943
80.000	8.4458	33.8223	26.2821	1.4963e-01	0.1298	0.016	1484.02	58.226	3.8338	38.544965
81.000	8.4442	33.8225	26.2825	1.5081e-01	0.1298	0.016	1484.03	58.186	3.8313	38.544987
