DepSM	T090C	Sal00	Sigma-t00	FlSP	WetStar	SeaTurbMtr	SvCM	Sbeox0PS	Sbeox0ML/L	TimeJ
1.000	5.5900	32.4281	25.5697	3.3982e-01	0.1276	0.012	1469.87	59.550	4.2256	38.581306
2.000	5.6063	32.5908	25.6964	3.1204e-01	0.1284	0.015	1470.16	60.494	4.2863	38.581506
3.000	5.6848	32.5997	25.6942	2.9579e-01	0.1287	0.015	1470.50	60.833	4.3020	38.581524
4.000	5.7329	32.6121	25.6983	2.9078e-01	0.1285	0.015	1470.73	60.913	4.3025	38.581544
5.000	5.7452	32.6156	25.6996	2.9335e-01	0.1285	0.015	1470.80	61.035	4.3097	38.581562
6.000	5.8024	32.6232	25.6988	2.8460e-01	0.1286	0.015	1471.05	60.938	4.2969	38.581580
7.000	5.7921	32.6280	25.7038	2.8837e-01	0.1287	0.015	1471.03	60.547	4.2702	38.581598
8.000	5.8289	32.6301	25.7011	2.8060e-01	0.1285	0.015	1471.20	60.035	4.2304	38.581617
9.000	5.8383	32.6355	25.7042	2.8314e-01	0.1286	0.015	1471.26	59.732	4.2079	38.581636
10.000	5.8324	32.6359	25.7052	2.7982e-01	0.1286	0.015	1471.25	59.708	4.2068	38.581654
11.000	5.8305	32.6364	25.7059	2.8633e-01	0.1288	0.015	1471.26	59.724	4.2081	38.581673
12.000	5.8257	32.6364	25.7064	2.8798e-01	0.1288	0.015	1471.26	59.702	4.2071	38.581692
13.000	5.8303	32.6369	25.7063	2.7597e-01	0.1288	0.015	1471.30	59.792	4.2129	38.581711
14.000	5.8404	32.6389	25.7066	2.7962e-01	0.1286	0.015	1471.35	59.796	4.2122	38.581729
15.000	5.8477	32.6406	25.7070	2.7961e-01	0.1289	0.015	1471.40	59.793	4.2112	38.581748
16.000	5.8514	32.6412	25.7071	2.7163e-01	0.1287	0.015	1471.44	59.771	4.2092	38.581767
17.000	5.8532	32.6415	25.7071	2.7126e-01	0.1286	0.015	1471.46	59.706	4.2045	38.581786
18.000	5.8542	32.6420	25.7074	2.7118e-01	0.1285	0.015	1471.48	59.539	4.1926	38.581805
19.000	5.8512	32.6416	25.7074	2.7159e-01	0.1280	0.011	1471.48	59.327	4.1780	38.581824
20.000	5.8529	32.6421	25.7077	2.7469e-01	0.1283	0.014	1471.51	59.194	4.1684	38.581843
21.000	5.8526	32.6430	25.7084	2.7207e-01	0.1287	0.015	1471.52	59.061	4.1591	38.581862
22.000	5.8520	32.6431	25.7085	2.7108e-01	0.1287	0.015	1471.54	59.370	4.1809	38.581882
23.000	5.8537	32.6436	25.7087	2.6861e-01	0.1288	0.015	1471.56	59.345	4.1789	38.581902
24.000	5.8797	32.6485	25.7095	2.3843e-01	0.1287	0.015	1471.69	59.368	4.1779	38.581921
25.000	6.2656	32.7200	25.7181	2.0065e-01	0.1289	0.015	1473.33	59.335	4.1361	38.581941
26.000	6.9143	32.8722	25.7542	1.9518e-01	0.1290	0.015	1476.09	59.395	4.0744	38.581960
27.000	7.2293	32.9350	25.7612	1.9407e-01	0.1290	0.015	1477.41	60.120	4.0926	38.581980
28.000	7.3820	32.9868	25.7809	1.8749e-01	0.1289	0.015	1478.08	60.452	4.0995	38.581999
29.000	7.5649	33.0637	25.8158	1.7989e-01	0.1291	0.015	1478.90	59.554	4.0199	38.582020
30.000	7.6794	33.1151	25.8399	1.7111e-01	0.1290	0.016	1479.41	58.942	3.9668	38.582039
31.000	7.7316	33.1588	25.8668	1.7211e-01	0.1290	0.015	1479.69	58.696	3.9444	38.582059
32.000	7.7149	33.2015	25.9027	1.6945e-01	0.1290	0.016	1479.69	58.523	3.9332	38.582079
33.000	7.7780	33.2599	25.9395	1.6173e-01	0.1291	0.016	1480.02	58.116	3.8988	38.582098
