DepSM	T090C	Sal00	Sigma-t00	FlSP	WetStar	SeaTurbMtr	SvCM	Sbeox0PS	Sbeox0ML/L	TimeJ
0.000	4.1545	31.5922	25.0613	4.0293e-01	0.1273	0.011	1462.89	53.490	3.9505	38.482801
0.000	4.1536	31.6129	25.0779	3.9072e-01	0.1273	0.007	1462.91	53.490	3.9501	38.482801
-0.013	4.1519	31.6168	25.0811	4.0293e-01	0.1273	0.011	1462.91	53.490	3.9502	38.482802
0.024	4.1489	31.6175	25.0819	3.9072e-01	0.1273	0.011	1462.90	53.428	3.9458	38.482802
0.000	4.1462	31.6347	25.0959	3.7851e-01	0.1273	0.011	1462.91	53.420	3.9450	38.482803
0.000	4.1447	31.6323	25.0941	3.7851e-01	0.1285	0.011	1462.90	53.349	3.9400	38.482803
-0.013	4.1434	31.6311	25.0932	3.9072e-01	0.1273	0.011	1462.89	53.334	3.9390	38.482804
0.000	4.1422	31.6409	25.1012	3.9072e-01	0.1273	0.011	1462.90	53.256	3.9331	38.482804
-0.011	4.1413	31.6310	25.0934	3.9072e-01	0.1273	0.011	1462.88	53.233	3.9318	38.482805
0.000	4.1405	31.6246	25.0884	3.9072e-01	0.1261	0.011	1462.87	53.212	3.9305	38.482805
-0.002	4.1402	31.6270	25.0903	3.9072e-01	0.1273	0.011	1462.87	53.129	3.9243	38.482806
-0.023	4.1396	31.6079	25.0752	4.1514e-01	0.1273	0.011	1462.84	53.101	3.9228	38.482806
-0.011	4.1387	31.5931	25.0635	4.1514e-01	0.1261	0.007	1462.82	53.075	3.9214	38.482807
-0.011	4.1382	31.5874	25.0591	4.1514e-01	0.1273	0.011	1462.81	52.988	3.9151	38.482807
-0.013	4.1385	31.5637	25.0402	4.2735e-01	0.1273	0.011	1462.78	52.956	3.9134	38.482808
-0.011	4.1382	31.5532	25.0319	4.3956e-01	0.1261	0.011	1462.77	52.927	3.9115	38.482808
-0.011	4.1390	31.5550	25.0333	4.1514e-01	0.1273	0.011	1462.77	52.899	3.9093	38.482809
-0.024	4.1393	31.5434	25.0240	4.0293e-01	0.1273	0.011	1462.76	52.746	3.8984	38.482809
-0.011	4.1396	31.5444	25.0248	3.6630e-01	0.1273	0.007	1462.76	52.706	3.8953	38.482810
-0.023	4.1401	31.5568	25.0345	3.6630e-01	0.1273	0.011	1462.78	52.667	3.8921	38.482810
-0.023	4.1404	31.5579	25.0354	3.7851e-01	0.1285	0.011	1462.78	52.569	3.8847	38.482811
-0.024	4.1407	31.5817	25.0543	4.0293e-01	0.1273	0.007	1462.81	52.590	3.8857	38.482811
-0.023	4.1410	31.6024	25.0707	4.2735e-01	0.1273	0.011	1462.84	52.497	3.8782	38.482812
-0.036	4.1421	31.6028	25.0709	4.1514e-01	0.1273	0.011	1462.85	52.461	3.8754	38.482812
-0.023	4.1438	31.6153	25.0807	4.0293e-01	0.1273	0.011	1462.87	52.364	3.8678	38.482813
-0.024	4.1460	31.6182	25.0828	3.9072e-01	0.1285	0.011	1462.88	52.326	3.8647	38.482813
-0.023	4.1490	31.6071	25.0736	4.1514e-01	0.1273	0.011	1462.88	52.227	3.8574	38.482813
-0.036	4.1520	31.6139	25.0788	4.2735e-01	0.1273	0.007	1462.90	52.186	3.8539	38.482814
-0.060	4.1541	31.6039	25.0706	4.3956e-01	0.1273	0.011	1462.90	52.149	3.8513	38.482814
-0.011	4.1556	31.5795	25.0511	4.3956e-01	0.1273	0.011	1462.87	52.116	3.8493	38.482815
-0.036	4.1567	31.5707	25.0440	4.2735e-01	0.1261	0.007	1462.87	52.087	3.8472	38.482815
-0.047	4.1571	31.5544	25.0310	4.1514e-01	0.1273	0.011	1462.85	51.997	3.8410	38.482816
-0.037	4.1570	31.5327	25.0138	3.9072e-01	0.1285	0.007	1462.82	51.904	3.8347	38.482816
-0.047	4.1566	31.5254	25.0080	3.7851e-01	0.1273	0.007	1462.81	51.869	3.8323	38.482817
-0.036	4.1567	31.5142	24.9991	3.7851e-01	0.1273	0.011	1462.80	51.838	3.8303	38.482817
-0.023	4.1555	31.5094	24.9954	3.9072e-01	0.1273	0.011	1462.78	51.749	3.8240	38.482818
-0.048	4.1540	31.5243	25.0074	4.0293e-01	0.1273	0.011	1462.80	51.719	3.8215	38.482818
-0.036	4.1526	31.5276	25.0101	4.1514e-01	0.1273	0.015	1462.79	51.693	3.8197	38.482819
-0.036	4.1519	31.5388	25.0191	4.3956e-01	0.1273	0.011	1462.81	51.609	3.8132	38.482819
-0.036	4.1506	31.5595	25.0357	4.5177e-01	0.1285	0.011	1462.83	51.584	3.8110	38.482820
-0.037	4.1503	31.5586	25.0350	4.3956e-01	0.1285	0.015	1462.83	51.565	3.8096	38.482820
-0.047	4.1509	31.5687	25.0430	4.2735e-01	0.1261	0.007	1462.84	51.487	3.8036	38.482821
-0.023	4.1528	31.5779	25.0501	4.0293e-01	0.1273	0.015	1462.86	51.469	3.8018	38.482821
-0.037	4.1545	31.5702	25.0438	3.9072e-01	0.1273	0.011	1462.86	51.457	3.8009	38.482822
-0.036	4.1555	31.5800	25.0515	3.9072e-01	0.1273	0.011	1462.87	51.449	3.8001	38.482822
-0.023	4.1556	31.5885	25.0583	3.9072e-01	0.1273	0.011	1462.89	51.385	3.7950	38.482823
-0.036	4.1548	31.5835	25.0544	3.9072e-01	0.1285	0.011	1462.88	51.317	3.7902	38.482823
-0.013	4.1539	31.5958	25.0642	3.9072e-01	0.1273	0.007	1462.89	51.310	3.7895	38.482824
-0.036	4.1529	31.5993	25.0671	3.7851e-01	0.1273	0.011	1462.89	51.309	3.7894	38.482824
