DepSM	T090C	Sal00	Sigma-t00	FlSP	WetStar	SeaTurbMtr	SvCM	Sbeox0PS	Sbeox0ML/L	TimeJ
0.000	4.1427	31.6784	25.1309	3.9197e-01	0.1275	0.011	1462.95	49.863	3.6816	38.482932
1.000	4.4524	31.8456	25.2326	3.4609e-01	0.1279	0.014	1464.47	49.901	3.6527	38.483022
2.000	4.4949	31.9911	25.3439	3.7720e-01	0.1283	0.015	1464.85	51.713	3.7778	38.483041
3.000	4.4600	32.0458	25.3909	3.8769e-01	0.1285	0.015	1464.79	54.042	3.9497	38.483064
4.000	4.4561	32.0918	25.4278	3.5893e-01	0.1285	0.015	1464.85	55.588	4.0619	38.483085
5.000	5.0497	32.2303	25.4736	3.1693e-01	0.1287	0.015	1467.48	55.058	3.9629	38.483107
6.000	6.6030	32.6346	25.6078	2.5000e-01	0.1285	0.015	1474.24	55.258	3.8239	38.483130
7.000	7.0038	32.7634	25.6565	2.2142e-01	0.1287	0.015	1475.99	56.676	3.8825	38.483151
8.000	7.2942	32.8603	25.6935	1.9769e-01	0.1286	0.015	1477.25	56.941	3.8725	38.483173
9.000	7.5002	32.9190	25.7111	1.8190e-01	0.1286	0.015	1478.14	52.499	3.5523	38.483195
10.000	7.7857	32.9907	25.7270	1.7105e-01	0.1286	0.015	1479.34	47.941	3.2216	38.483217
11.000	7.8760	33.0381	25.7513	1.7070e-01	0.1287	0.015	1479.76	43.633	2.9250	38.483239
12.000	7.9792	33.0712	25.7623	1.7039e-01	0.1287	0.015	1480.20	40.303	2.6948	38.483262
13.000	7.9639	33.0807	25.7719	1.7065e-01	0.1286	0.015	1480.17	36.725	2.4562	38.483283
14.000	7.9125	33.0818	25.7802	1.7094e-01	0.1288	0.015	1480.00	33.903	2.2701	38.483305
15.000	7.9264	33.0880	25.7832	1.7094e-01	0.1288	0.015	1480.07	31.271	2.0932	38.483328
16.000	7.8911	33.0879	25.7881	1.7065e-01	0.1290	0.015	1479.96	30.520	2.0445	38.483348
17.000	7.8607	33.0862	25.7912	1.7094e-01	0.1290	0.015	1479.86	30.706	2.0584	38.483371
18.000	7.8823	33.0915	25.7923	1.7037e-01	0.1291	0.015	1479.96	30.536	2.0459	38.483393
19.000	7.8990	33.0970	25.7942	1.7013e-01	0.1285	0.014	1480.05	30.498	2.0426	38.483414
20.000	7.8958	33.0989	25.7961	1.7070e-01	0.1288	0.014	1480.05	30.244	2.0257	38.483438
21.000	7.9629	33.1194	25.8024	1.6666e-01	0.1287	0.015	1480.35	29.427	1.9677	38.483460
22.000	7.9912	33.1298	25.8065	1.6501e-01	0.1288	0.015	1480.49	28.931	1.9332	38.483481
23.000	8.0859	33.1575	25.8144	1.6496e-01	0.1290	0.015	1480.90	27.746	1.8498	38.483505
24.000	8.1680	33.1844	25.8234	1.6203e-01	0.1289	0.015	1481.26	25.934	1.7254	38.483528
25.000	8.2658	33.2186	25.8357	1.5906e-01	0.1292	0.015	1481.69	25.854	1.7159	38.483549
26.000	8.3754	33.2514	25.8451	1.5873e-01	0.1292	0.015	1482.15	28.103	1.8602	38.483574
27.000	8.4250	33.2667	25.8495	1.5845e-01	0.1294	0.016	1482.38	31.509	2.0831	38.483596
28.000	8.4802	33.2856	25.8560	1.5873e-01	0.1295	0.016	1482.62	36.517	2.4109	38.483619
29.000	8.5341	33.3036	25.8620	1.5634e-01	0.1296	0.016	1482.86	39.863	2.6284	38.483642
30.000	8.5800	33.3194	25.8673	1.5449e-01	0.1296	0.016	1483.07	42.004	2.7664	38.483664
31.000	8.6201	33.3351	25.8735	1.5424e-01	0.1296	0.016	1483.26	44.477	2.9264	38.483687
32.000	8.6554	33.3471	25.8775	1.5302e-01	0.1295	0.016	1483.42	46.478	3.0554	38.483710
33.000	8.6497	33.3517	25.8819	1.5173e-01	0.1296	0.016	1483.42	47.617	3.1306	38.483732
34.000	8.6621	33.3602	25.8867	1.5378e-01	0.1297	0.016	1483.49	48.625	3.1958	38.483756
35.000	8.6682	33.3680	25.8919	1.5379e-01	0.1297	0.016	1483.54	49.185	3.2320	38.483779
36.000	8.6627	33.3734	25.8969	1.5044e-01	0.1297	0.016	1483.55	49.536	3.2554	38.483801
37.000	8.6669	33.3808	25.9021	1.5343e-01	0.1297	0.016	1483.59	49.952	3.2822	38.483824
38.000	8.6701	33.3865	25.9061	1.5146e-01	0.1298	0.016	1483.62	50.122	3.2930	38.483846
39.000	8.6692	33.3910	25.9098	1.5146e-01	0.1297	0.016	1483.64	50.321	3.3061	38.483867
40.000	8.6710	33.3971	25.9143	1.5102e-01	0.1298	0.016	1483.67	50.672	3.3289	38.483890
41.000	8.6677	33.4010	25.9178	1.5163e-01	0.1298	0.016	1483.68	50.783	3.3363	38.483911
42.000	8.6662	33.4032	25.9198	1.5126e-01	0.1298	0.016	1483.69	51.025	3.3523	38.483933
43.000	8.6666	33.4081	25.9235	1.5198e-01	0.1298	0.016	1483.72	51.251	3.3670	38.483957
44.000	8.6635	33.4096	25.9252	1.5445e-01	0.1298	0.016	1483.73	51.233	3.3661	38.483978
45.000	8.6616	33.4134	25.9285	1.5187e-01	0.1297	0.016	1483.74	51.288	3.3697	38.484001
46.000	8.6623	33.4205	25.9339	1.5236e-01	0.1298	0.016	1483.77	51.322	3.3717	38.484024
47.000	8.6642	33.4244	25.9367	1.5233e-01	0.1298	0.016	1483.80	51.378	3.3752	38.484044
48.000	8.6670	33.4312	25.9416	1.5035e-01	0.1298	0.016	1483.83	51.273	3.3679	38.484065
49.000	8.6690	33.4389	25.9473	1.4942e-01	0.1298	0.016	1483.87	51.629	3.3910	38.484087
50.000	8.6695	33.4430	25.9504	1.4908e-01	0.1298	0.016	1483.89	51.925	3.4103	38.484108
51.000	8.6696	33.4472	25.9537	1.5026e-01	0.1298	0.015	1483.91	52.285	3.4339	38.484130
52.000	8.6693	33.4578	25.9621	1.4992e-01	0.1299	0.016	1483.94	52.386	3.4403	38.484152
53.000	8.6680	33.4624	25.9659	1.4810e-01	0.1300	0.016	1483.96	52.514	3.4487	38.484174
54.000	8.6683	33.4681	25.9703	1.4999e-01	0.1298	0.016	1483.98	52.843	3.4701	38.484197
55.000	8.6665	33.4782	25.9785	1.5040e-01	0.1299	0.016	1484.00	53.126	3.4886	38.484218
56.000	8.6685	33.4823	25.9814	1.5085e-01	0.1299	0.016	1484.03	53.206	3.4936	38.484239
57.000	8.6699	33.4844	25.9829	1.4937e-01	0.1300	0.016	1484.06	53.410	3.5069	38.484262
58.000	8.6697	33.4854	25.9836	1.4856e-01	0.1299	0.016	1484.07	53.553	3.5162	38.484283
59.000	8.6702	33.4858	25.9838	1.4869e-01	0.1299	0.016	1484.09	53.650	3.5226	38.484304
60.000	8.6686	33.4864	25.9846	1.4998e-01	0.1300	0.016	1484.11	53.693	3.5255	38.484326
61.000	8.6612	33.4896	25.9882	1.4879e-01	0.1299	0.016	1484.10	53.741	3.5292	38.484348
62.000	8.6579	33.4924	25.9910	1.5067e-01	0.1300	0.016	1484.11	53.881	3.5385	38.484368
63.000	8.6564	33.4938	25.9923	1.5050e-01	0.1300	0.016	1484.12	53.676	3.5252	38.484391
64.000	8.6505	33.5006	25.9986	1.4824e-01	0.1299	0.016	1484.12	53.654	3.5240	38.484411
65.000	8.6428	33.5073	26.0050	1.5012e-01	0.1299	0.016	1484.12	53.483	3.5133	38.484433
66.000	8.6295	33.5136	26.0119	1.5176e-01	0.1299	0.016	1484.09	53.556	3.5189	38.484455
67.000	8.6255	33.5160	26.0144	1.4965e-01	0.1300	0.016	1484.10	53.516	3.5166	38.484475
